cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_K_repair,max_K_repair,avg_K_repair,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
10,1,35.8966024,128.6001585,324798,PIPE_LM,7.505656530410231,47,1.6126762491444215,1.7456810403832992,1.606732433082019,1.0,1.0,1.0,1.0,1.2,1.0356786976438748,12.5,20.833333333333332,9.939268061225555,3.3000000000000003,4.966666666666667,2.1811358571755246,6.835749108488148,12.29989176013464,4.630303270869408,0.199,2.5955,0.762689815631045,150,300,62.733893228409435,0.0284849083225255,0.051254263959069,0.019294705244876326
11,2,35.89445215,128.60188240000002,106661,PIPE_LM,3.664635335370913,42,1.7326488706365502,1.7419028062970567,1.6133699043939074,1.0,1.3,1.012576814575479,1.0,1.6,1.0528101335907851,12.5,20.833333333333332,9.750760092369797,2.3625,4.966666666666667,2.049119303383431,4.87518423952484,18.989567325482906,5.533497388504049,0.175,2.8518,1.224562546585943,50,300,49.05305773293685,0.0203151364853119,0.0791304765236535,0.02305836029276575
12,1,35.8971662,128.6015565,38056,SPLY_LS,2.7080570607871035,63,1.612895277207392,1.7526899383983574,1.654782773339451,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,20.833333333333332,8.867869846230867,1.547126436781609,4.966666666666667,1.9464348373205465,6.576915339266072,10.800406446905429,5.473333278752668,2.9933,4.2717,1.5907226379018051,13,300,44.10374024701975,0.0274063350644886,0.0450058336845772,0.02280765343922626
13,3,35.89466906666667,128.60217573333333,72529,SPLY_LS,7.596300884408325,47,1.6274058863791925,1.7419028062970567,1.6129554294204294,1.0,1.3,1.0046206742660344,1.0,1.6,1.025138575459104,7.471264367816092,20.833333333333332,8.54116690308275,1.547126436781609,4.966666666666667,1.7387648282267583,3.8042036930865217,18.989567325482906,4.230813942156431,1.2892,2.8518,1.1561884423499973,13,300,25.711897435071315,0.0158523069992761,0.0791304765236535,0.017630013237662903
14,1,35.8895649,128.6026112,144002,SPLY_LS,7.155341793227471,60,1.6483778234086242,1.7326488706365502,1.6357188020933306,1.0,1.0,1.0,1.2,1.6,1.0987404978702056,7.471264367816092,16.3265306122449,7.9906891518129655,1.547126436781609,2.840816326530613,1.649258827624555,3.066153717033244,9.405768966380684,5.592771772970265,0.518,4.6374,1.9545258488596706,13,100,20.79212237419717,0.0127768158465633,0.0391943095713566,0.02330535961655569
15,1,35.8936997,128.5981166,244038,PIPE_LM,5.22776346998862,55,1.5726488706365505,1.742669404517454,1.6232001973832126,1.0,1.3,1.0317872233725869,1.2,1.4,1.109124898790888,14.22222222222222,20.833333333333332,9.289657353836466,2.5777777777777775,4.966666666666667,2.044980454098235,4.192206633372592,19.35919431283192,6.020356335844689,0.3833,3.3437,1.2143414379746305,80,300,53.36795138377953,0.0174691346515952,0.0806707306612862,0.02508712586928155
16,3,35.892494166666665,128.5967628,324893,PIPE_LM,4.027309618503413,23,1.712662559890486,1.7151813826146476,1.6370603825292267,1.3,1.3,1.2999999999999996,1.2,1.4,1.1145756952733077,6.666666666666667,20.833333333333332,9.229017962937222,2.1333333333333337,4.966666666666667,2.0855007451218754,6.872521577861954,19.35919431283192,7.763374967936172,0.1613,2.6164,1.1184361163521974,80,300,60.12347340132379,0.0286381410410296,0.0806707306612862,0.03235037166013837
17,1,35.8927783,128.5970696,142086,SPLY_LS,2.776773255798406,31,1.3678576317590692,1.765284052019165,1.593764853732696,1.3,1.3,1.2999999999999996,1.0,1.4,1.1277040348081642,7.471264367816092,20.833333333333332,8.772322623279031,1.547126436781609,4.966666666666667,1.9856539543947007,5.940576498207927,19.35919431283192,7.4481465287626225,2.2716,2.2716,1.2084876673372567,13,300,52.34241310652943,0.0247546792968573,0.0806707306612862,0.03103679899268022
18,1,35.8935219,128.6098311,212288,SPLY_LS,5.750054902444755,39,1.7075701574264204,1.7465023956194388,1.5769617642120433,1.0,1.0,1.0,1.0,1.6,1.1256710970804547,7.471264367816092,14.285714285714286,9.296579844431637,1.547126436781609,3.3000000000000003,1.8308342024566029,4.069013356235396,20.157018752113743,4.59551981149794,1.3336,3.0009,1.0184342970692724,13,150,31.19427037717472,0.0169557821061007,0.0839953049909956,0.019149760830502457
19,2,35.8958136,128.61075695,177224,SPLY_LS,8.622935644935069,48,1.7011088295687884,1.7526899383983574,1.591329915337583,1.0,1.0,1.0,1.0,1.2,1.0209496851532718,7.471264367816092,14.285714285714286,8.337002398098601,1.547126436781609,2.466666666666667,1.7288286380398397,2.881965683283406,8.90068066552235,4.581821558732757,0.6591,4.273,1.454236695754761,13,100,26.918646277936414,0.0120092951005261,0.0370895813672649,0.01909267952631729
20,1,35.8952791,128.6085304,143067,SPLY_LS,4.899724673900717,61,1.6226967830253252,1.7526899383983574,1.6113483736473904,1.0,1.0,1.0,1.0,1.2,1.0250532457684263,7.471264367816092,14.285714285714286,8.504065288165165,1.547126436781609,3.3000000000000003,1.7275059449236632,4.300236595838574,9.256027669599202,4.889049089753462,1.5952,4.5258,1.562732305096895,13,150,24.642271606603412,0.0179193009066891,0.0385703301006033,0.020372912009457126
21,1,35.8955801,128.6084953,37926,SPLY_LS,3.312359331544687,63,1.6132785763175908,1.7526899383983574,1.5974066683201753,1.0,1.0,1.0,1.0,1.2,1.0014676884001807,9.523809523809524,14.285714285714286,8.593959261658712,1.7523809523809524,2.5777777777777775,1.7255511945445223,5.623925030053709,8.520309867712145,4.863748114995989,1.9434,3.9596,1.6652435250307294,20,100,24.68473264243004,0.0234351767964853,0.0355045572342498,0.020267481582593994
22,1,35.8962089,128.5996874,244045,SPLY_LS,1.3257905885118477,60,1.5385352498288842,2.0606981519507186,1.5948614021465721,1.0,1.0,1.0,1.0,1.2,1.0524855527405257,7.471264367816092,20.833333333333332,9.17909756859916,1.547126436781609,4.966666666666667,2.0025701705970187,3.5367606838686885,12.15745498850814,4.94570054486354,1.2512,3.6448,1.1023262598324401,13,300,48.25494218520355,0.014737858607715,0.0506607228098628,0.020608981455473577
