CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
496.0,2.0,True,pipes_found,4.0,PIPE_LM,6.699748440338374,2.8,2.0,2.7661051407189134,5,2,False
497.0,2.0,True,pipes_found,4.0,PIPE_LM,8.90837877746489,3.0,2.0,8.11469947334243,2,1,False
498.0,2.0,True,pipes_found,4.0,PIPE_LM,6.518771943099516,3.0,2.0,4.920385408518702,6,4,False
499.0,2.0,True,pipes_found,4.0,PIPE_LM,8.682271415239539,2.1666666666666665,1.0,6.669605012851202,6,2,False
501.0,2.0,True,pipes_found,4.0,PIPE_LM,8.118390867770593,2.6666666666666665,2.0,7.981897730784767,3,1,False
502.0,3.0,True,pipes_found,2.0,SPLY_LS,9.019371609977826,2.0,2.0,8.760708538655626,2,0,False
503.0,3.0,True,pipes_found,4.0,PIPE_LM,8.053732129861555,2.5,2.0,5.6022470792619465,10,4,False
504.0,2.0,True,pipes_found,4.0,PIPE_LM,8.74079627295975,3.0,3.0,5.149717465731191,9,7,False
505.0,2.0,True,pipes_found,4.0,PIPE_LM,9.898758556907385,2.6666666666666665,2.0,9.104764205290625,3,1,False
506.0,2.0,True,pipes_found,4.0,PIPE_LM,8.271133706998949,3.0,2.0,6.393377799956344,4,2,False
507.0,2.0,True,pipes_found,4.0,PIPE_LM,7.5533227599902,2.857142857142857,2.0,5.360393482231916,7,4,False
508.0,2.0,True,pipes_found,4.0,PIPE_LM,8.373646744288262,2.5,2.0,7.168508031223688,8,4,False
509.0,2.0,True,pipes_found,4.0,PIPE_LM,7.315171688610896,3.0,1.0,7.092638585475252,6,5,False
510.0,3.0,True,pipes_found,4.0,PIPE_LM,9.031377935789234,3.1666666666666665,2.0,7.805409836516529,6,5,False
511.0,2.0,True,pipes_found,4.0,PIPE_LM,6.755428444071616,2.6666666666666665,2.0,6.629889069952764,6,4,False
512.0,2.0,True,pipes_found,4.0,PIPE_LM,9.253389495093145,3.6,2.0,5.406797657572012,5,4,False
513.0,2.0,True,pipes_found,2.0,SPLY_LS,9.127434495676594,1.5,1.0,8.215350366671036,2,0,False
514.0,3.0,True,pipes_found,3.0,PIPE_LM,9.834346580474795,2.5,1.0,7.242271553140451,4,3,False
515.0,2.0,True,pipes_found,4.0,PIPE_LM,9.7957054996792,3.0,2.0,6.301507340729186,3,2,False
516.0,2.0,True,pipes_found,4.0,PIPE_LM,7.509294394765253,3.25,2.0,5.486313753487304,8,6,False
517.0,2.0,True,pipes_found,4.0,PIPE_LM,9.181183790912087,3.0,4.0,4.390623624948277,8,4,False
