OPERATION_ID,REPAIR_COUNT_AT_LOCATION,작업타입,작업종료일,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
60,3,지상누수,,True,pipes_found,4.0,PIPE_LM,21.134833732616954,2.6315789473684212,2.0,4.8820550897144965,76,36,False
61,3,지상누수,,True,pipes_found,4.0,PIPE_LM,21.134833732616954,2.6315789473684212,2.0,4.8820550897144965,76,36,False
62,2,지하누수,,True,pipes_found,4.0,PIPE_LM,23.8034561763255,2.6774193548387095,2.0,12.543811062619536,31,17,False
63,2,지상누수,,True,pipes_found,4.0,PIPE_LM,18.17746871140286,2.9272727272727272,3.0,5.928930028630422,55,38,False
64,2,지상누수,,True,pipes_found,4.0,PIPE_LM,18.17746871140286,2.9272727272727272,3.0,5.928930028630422,55,38,False
65,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.07359980370558,2.32,4.0,10.07359980370558,25,11,False
66,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.07359980370558,2.32,4.0,10.07359980370558,25,11,False
67,2,지상누수,,True,pipes_found,4.0,PIPE_LM,26.402062119782368,2.5357142857142856,2.0,8.609730846277138,28,16,False
68,3,지상누수,,True,pipes_found,4.0,PIPE_LM,25.796741761414417,2.5384615384615383,2.0,6.362511717438663,39,19,False
69,5,지상누수,,True,pipes_found,4.0,PIPE_LM,27.84518373833954,2.7796610169491527,2.0,5.67822043494875,59,32,True
70,2,지상누수,,True,pipes_found,4.0,PIPE_LM,22.082240187018996,2.5945945945945947,1.0,7.833574632586767,37,22,False
71,2,지상누수,,True,pipes_found,4.0,PIPE_LM,20.259962116482786,2.0,2.0,17.370373546692043,15,3,False
72,2,지하누수,,True,pipes_found,4.0,PIPE_LM,12.20987411478932,2.4642857142857144,2.0,7.79892656670592,28,12,False
73,5,지상누수,,True,pipes_found,4.0,PIPE_LM,22.958560363942485,2.9411764705882355,2.0,7.459906371661694,34,17,True
74,2,지하누수,,True,pipes_found,4.0,PIPE_LM,28.91447839986086,2.8048780487804876,2.0,10.009238918070167,41,22,False
75,1,지상누수,,True,pipes_found,4.0,PIPE_LM,29.29230871782563,2.7288135593220337,2.0,8.67909456818191,59,31,False
76,3,지상누수,,True,pipes_found,4.0,PIPE_LM,27.088447727166944,2.918918918918919,2.0,9.423157556108693,37,22,False
77,2,지상누수,,True,pipes_found,4.0,PIPE_LM,23.408083993176376,2.8620689655172415,1.0,6.088196816731687,29,19,False
78,1,지하누수,,True,pipes_found,4.0,PIPE_LM,26.348961312942986,2.772727272727273,2.0,6.005482031451364,44,24,False
79,2,지상누수,,True,pipes_found,4.0,PIPE_LM,23.8034561763255,2.6774193548387095,2.0,12.543811062619536,31,17,False
80,1,지상누수,,True,pipes_found,4.0,PIPE_LM,29.546886095383826,2.6857142857142855,1.0,8.12914158227518,35,18,False
81,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.199509662987534,2.6923076923076925,3.0,6.1987435595469895,52,30,False
82,1,지하누수,,True,pipes_found,4.0,PIPE_LM,23.63219517739867,2.5531914893617023,3.0,8.339612530030065,47,23,False
83,2,지하누수,,True,pipes_found,5.0,PIPE_LM,21.816166089160905,2.6792452830188678,2.0,8.148446710926004,53,26,False
84,3,지하누수,,True,pipes_found,4.0,PIPE_LM,24.02694859040694,2.6206896551724137,3.0,6.522930286884179,58,32,False
85,1,지하누수,,True,pipes_found,4.0,PIPE_LM,21.507149972087696,2.74468085106383,2.0,5.229881326042362,47,25,False
