DATA_SRC,zone,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,AVG_DEP,PIP_TYPE,IST_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,high_total_cycles,low_total_cycles,design_pressure,thickness,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_material,K_repair,K_total,fatigue_limit,D_base,D_final_org,D_final,remaining_life_years,high_fatigue_damage,low_fatigue_damage,SMZ_NUM,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,MDZ_NUM,LGZ_NUM,WTP_CDE,FNS_YMD,MET_IDN
SPLY_LS,0200,SA002,103124,5011025300,336061975,6500000,MOP028,15.0,6.65,JHT910,0.0,0.0,,1,1900/PE/Ø15/L6.7/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.9051440007557059,3.529993155373032,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,4.9868545206237105,100000.0,0.138603,0.6911929971220082,0.6911929971220082,0.446773917218206,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,94216,5011025300,336061975,6500000,MOP028,15.0,13.7,JHT910,0.0,0.0,,1,1900/PE/Ø15/L13.4/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.9051440007557059,3.529993155373032,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,4.9868545206237105,100000.0,0.138603,0.6911929971220082,0.6911929971220082,0.446773917218206,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,33462,5011025300,336061975,6500000,MOP028,15.0,5.84,JHT910,0.0,0.0,,1,2008/PE/Ø15/L5.8/D,,0.0,PE,2008-01-01,2008-01-01,6758.0,18.50239561943874,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.3700479123887748,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9354795674228558,100000.0,0.138603,0.26826327448351006,0.26826327448351006,2.7276813306827403,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,94957,5011025300,336061975,6500000,MOP028,15.0,12.44,JHT910,0.0,0.0,,1,2005/PE/Ø15/L12.1/D,,0.0,PE,2005-01-01,2005-01-01,7853.0,21.50034223134839,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.4300068446269678,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.0201841147471713,100000.0,0.138603,0.28000357885630217,0.28000357885630217,2.5713829233347045,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,76856,5011025300,336061975,6500000,MOP028,15.0,10.87,JHT910,0.0,0.0,,1,1900/PE/Ø15/L10.5/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.9051440007557059,3.529993155373032,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,4.9868545206237105,100000.0,0.138603,0.6911929971220082,0.6911929971220082,0.446773917218206,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,502069,5011025300,336061975,6500317,MOP005,16.0,3.96,JHT910,0.0,0.0,WT2020080220,1,2020/PE/Ø16/L4.0/D,,0.0,PE,2020-01-29,2020-01-29,2347.0,6.425735797399041,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.128514715947981,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6308340618943646,100000.0,0.138603,0.22603849348074462,0.22603849348074462,3.4240252383613865,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,502070,5011025300,336061975,6500317,MOP005,16.0,5.61,JHT910,0.0,0.0,WT2020080220,1,2020/PE/Ø16/L5.6/D,,0.0,PE,2020-01-29,2020-01-29,2347.0,6.425735797399041,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.128514715947981,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6308340618943646,100000.0,0.138603,0.22603849348074462,0.22603849348074462,3.4240252383613865,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600442,5011025300,336061963,6500000,MOP005,16.0,1.61,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L1.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600382,5011025300,336061963,6500000,MOP005,16.0,3.96,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L4.0/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600387,5011025300,336061973,6500000,MOP005,16.0,1.91,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L1.9/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600388,5011025300,336061973,6500000,MOP005,16.0,4.27,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L4.3/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600396,5011025300,336061973,6500000,MOP005,16.0,3.58,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600399,5011025300,336061963,6500000,MOP005,16.0,3.63,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600400,5011025300,336061963,6500000,MOP005,16.0,3.64,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600407,5011025300,336061963,6500000,MOP005,16.0,1.67,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L1.7/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600068,5011025300,336061965,6500000,MOP028,32.0,2.75,JHT910,0.0,0.0,,1,,,0.0,,2015-01-01,2015-01-01,4201.0,11.501711156741958,128583.0,1002.0,1.6,3.25,0.9430282858405817,1.2300342231348391,1.2,1.0,1.05,7.876923076923077,1.7846153846153847,3.0,0.0,7.824891905341726,1000000.0,0.013860299999999999,0.10845534927560792,0.10845534927560792,8.220384302657022,0.0128583,0.001002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600418,5011025300,336061973,6500000,MOP005,16.0,3.0,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.0/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
