FTR_CDE,FTR_IDN,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,PIP_LBL,AVG_DEP,SYS_CHK,IQT_CDE,SHAPE_LEN,MNF
SA002,303953,5011056000,5011010600,336071165,6500000,19970116,SAA005,MOP002,20.0,4.54,JHT903,0.0,0.0,WT2021080329,1997/SP/Ø20/L4.5/D,0.0,1,IQT904,4.53945151516,62
SA002,303731,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,5.79,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L5.8/D,0.0,1,IQT004,5.79494719247,62
SA002,303231,5011056000,5011010600,336071164,6500000,19990101,SAA005,MOP032,15.0,2.93,JHT904,0.0,0.0,WT2021080329,1999/HI-3P/Ø15/L2.9/D,0.0,1,IQT004,2.92861478416,62
SA002,303239,5011056000,5011010600,336071165,6500000,19880229,SAA005,MOP002,15.0,0.85,JHT903,0.0,0.0,WT2021080329,1988/SP/Ø15/L0.9/D,0.0,1,IQT904,0.84950569156,62
SA002,302906,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,2.19,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L2.2/D,0.0,1,IQT004,2.19291007568,62
SA002,303300,5011056000,5011010600,336071165,6500000,19980209,SAA005,MOP002,15.0,2.17,JHT903,0.0,0.0,WT2021080329,1998/SP/Ø15/L2.2/D,0.0,1,IQT904,2.17306262220,62
SA002,303306,5011056000,5011010600,336071174,6500000,19971110,SAA005,MOP032,15.0,36.5,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L36.5/D,0.0,1,IQT004,36.50372870000,62
SA002,302976,5011056000,5011010600,336071175,6500000,20010527,SAA005,MOP002,15.0,1.72,JHT903,0.0,0.0,WT2021080329,2001/SP/Ø15/L1.7/D,0.0,1,IQT904,1.72384240579,62
SA002,303123,5011056000,5011010600,336071165,6500000,19930825,SAA005,MOP002,20.0,2.71,JHT903,0.0,0.0,WT2021080329,1993/SP/Ø20/L2.7/D,0.0,1,IQT904,2.71324621072,62
SA002,303482,5011056000,5011010600,336071164,6500000,20011206,SAA005,MOP002,15.0,5.54,JHT903,0.0,0.0,WT2021080329,2001/SP/Ø15/L5.5/D,0.0,1,IQT904,5.54098210789,62
SA002,303490,5011056000,5011010600,336071164,6500000,20020605,SAA005,MOP002,15.0,6.08,JHT903,0.0,0.0,WT2021080329,2002/SP/Ø15/L6.1/D,0.0,1,IQT904,6.08436432496,62
SA002,303606,5011056000,5011010600,336071164,6500000,20100708,SAA005,MOP032,15.0,20.89,JHT904,0.0,0.0,WT2021080329,2010/HI-3P/Ø15/L20.9/D,0.0,1,IQT004,20.89082323920,62
SA002,303367,5011056000,5011010600,336071165,6500000,19941222,SAA005,MOP921,15.0,12.86,JHT092,0.0,0.0,WT2021080329,1994/PFP/Ø15/L12.9/D,0.0,1,IQT004,12.86148999920,62
SA002,303614,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP000,15.0,2.4,JHT000,0.0,0.0,WT2021080329,2003//Ø15/L2.4/D,0.0,1,IQT000,2.39899845769,62
SA002,303680,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,15.0,4.15,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L4.2/D,0.0,1,IQT004,4.15471269096,62
SA002,303681,5011056000,5011010600,336071174,6500000,20081223,SAA005,MOP032,15.0,2.01,JHT904,0.0,0.0,WT2021080329,2008/HI-3P/Ø15/L2/D,0.0,1,IQT004,2.01268146308,62
SA002,303379,5011056000,5011010600,336071175,6500000,19000101,SAA005,MOP921,15.0,40.04,JHT092,0.0,0.0,WT2021080329,1900/PFP/Ø15/L40/D,0.0,1,IQT004,40.04294215050,62
SA002,303872,5011056000,5011010600,336071165,6500000,19971211,SAA005,MOP032,15.0,2.41,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L2.4/D,0.0,1,IQT004,2.40746150956,62
SA002,303877,5011056000,5011010600,336071175,6500000,20001125,SAA005,MOP002,15.0,9.24,JHT903,0.0,0.0,WT2021080329,2000/SP/Ø15/L9.2/D,0.0,1,IQT904,9.23898927280,62
SA002,303754,5011056000,5011010600,336071175,6500000,19971211,SAA005,MOP032,15.0,0.8,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L0.8/D,0.0,1,IQT004,0.79759345854,62
SA002,303141,5011056000,5011010600,336071164,6500000,19910209,SAA005,MOP002,15.0,4.4,JHT903,0.0,0.0,WT2021080329,1991/SP/Ø15/L4.4/D,0.0,1,IQT904,4.40148486309,62
SA002,303143,5011051000,5011010100,336071175,6500000,19971211,SAA005,MOP032,15.0,2.06,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L2.1/D,0.0,1,IQT004,2.06238869710,62
