FTR_CDE,FTR_IDN,CNT_NUM,SYS_CHK,STD_HOL,STD_VEL,PIP_LBL,IST_YMD,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,AVG_DEP,IQT_CDE,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,SAA_CDE,MOD_CDE,A_MOD_CDE,B_MOD_CDE,SHAPE_LEN
SA001,304486,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø50/L6.1/D,19980101,MOP032,50.0,6.06,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,6.05771175016
SA001,304507,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L0.2/D0.8,20030101,MOP032,80.0,0.24,JHT904,0.80000001,0.80000001,0.80000001,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,0.24273854247
SA001,304512,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø50/L0.6/D,19980101,MOP032,50.0,0.64,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.64453761721
SA001,304513,WT2021080329,1,0.00,0.00,1999/HI-3P/Ø80/L0.5/D,19990101,MOP032,80.0,0.48,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.48285924450
SA001,304533,WT2021080329,1,0.00,0.00,2002/HI-3P/Ø50/L1.2/D,20020101,MOP032,50.0,1.21,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,1.20896984660
SA001,304639,WT2021080329,1,0.00,0.00,2012/HI-3P/Ø80/L43.6/D,20120101,MOP032,80.0,43.62,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,43.61819597490
SA001,304654,WT2021080329,1,0.00,0.00,2010/HI-3P/Ø50/L0.3/D0.7,20100101,MOP032,50.0,0.32,JHT904,0.69999999,0.69999999,0.69999999,IQT001,5011056000,5011010600,336071174,6500000,SAA004,,,,0.31682960720
SA001,304659,WT2021080329,1,0.00,0.00,2002/HI-3P/Ø50/L42.3/D,20020101,MOP032,50.0,42.32,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,42.31721926580
SA001,304677,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø50/L0.3/D,19980101,MOP032,50.0,0.28,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.27654889260
SA001,304682,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L2.0/D,20030101,MOP032,80.0,2.01,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,2.01263528986
SA001,304685,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L0.5/D,20030101,MOP032,80.0,0.5,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,0.50407549038
SA001,304699,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø50/L1.6/D,20030101,MOP032,50.0,1.62,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,1.62321717134
SA001,304708,WT2021080329,1,0.00,0.00,2002/HI-3P/Ø50/L97.3/D,20020101,MOP032,50.0,97.27,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,97.26598883500
SA001,304710,WT2021080329,1,0.00,0.00,1997/HI-3P/Ø50/L2.4/D,19970101,MOP032,50.0,2.4,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,2.39738995159
SA001,304727,WT2021080329,1,0.00,0.00,1994/PFP/Ø50/L0.3/D0.6,19940101,MOP921,50.0,0.31,JHT092,0.60000002,0.60000002,0.60000002,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,0.30591502088
SA001,304729,WT2021080329,1,0.00,0.00,2002/HI-3P/Ø80/L2.3/D,20020101,MOP032,80.0,2.3,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,2.29817692095
SA001,304753,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø50/L110.8/D,20030101,MOP032,50.0,110.84,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,110.83924464200
SA001,304765,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L0.6/D,20030101,MOP032,80.0,0.62,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,0.61731584299
SA001,304782,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø50/L25.8/D,19980101,MOP032,50.0,25.77,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,25.76610381330
SA001,304792,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L5.1/D,20030101,MOP032,80.0,5.1,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,5.10120707284
SA001,304799,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L0.4/D0.8,20030101,MOP032,80.0,0.36,JHT904,0.80000001,0.80000001,0.80000001,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,0.35769400330
SA001,304812,WT2021080329,1,0.00,0.00,1997/HI-3P/Ø80/L73.2/D,19970101,MOP032,80.0,73.15,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,73.15450792160
SA001,304828,WT2021080329,1,0.00,0.00,1900/SP/Ø50/L0.3/D0.6,19000101,MOP002,50.0,0.28,JHT903,0.60000002,0.60000002,0.60000002,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,0.28217724926
SA001,304862,WT2021080329,1,0.00,0.00,2010/HI-3P/Ø50/L0.3/D1.0,20100101,MOP032,50.0,0.25,JHT904,1.0,1.0,1.0,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,0.25333179824
SA001,304870,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L26.4/D0.5,19000101,MOP001,80.0,26.4,JHT002,0.40000001,0.5,0.47999999,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,26.39511341370
SA001,304885,WT2021080329,1,0.00,0.00,1900/DCIP/Ø125/L70.7/D1.0,19000101,MOP001,125.0,70.65,JHT002,0.80000001,1.20000005,1.01999998,IQT001,5011056000,5011010600,336071174,6500000,SAA004,,,,70.65212913650
SA001,304893,WT2021080329,1,0.00,0.00,1900/DCIP/Ø200/L11.8/D1.0,19000101,MOP001,200.0,11.82,JHT002,0.60000002,1.0,1.0,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,11.82214242150
SA001,304897,WT2021080329,1,0.00,0.00,1900/DCIP/Ø200/L16.5/D1.1,19000101,MOP001,200.0,16.51,JHT002,1.0,1.10000002,1.04999995,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,16.50693089490
SA001,304902,WT2021080329,1,0.00,0.00,1997/DCIP/Ø100/L4.6/D0.8,19970101,MOP001,100.0,4.6,JHT002,0.69999999,0.80000001,0.75,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,4.59854703666
SA001,304905,WT2021080329,1,0.00,0.00,1997/DCIP/Ø150/L23.0/D0.7,19970101,MOP001,150.0,22.95,JHT002,0.60000002,0.69999999,0.68000001,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,22.94596685780
SA001,304912,WT2021080329,1,0.00,0.00,1997/DCIP/Ø100/L18.6/D0.7,19970101,MOP001,100.0,18.56,JHT002,0.60000002,0.80000001,0.69999999,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,18.55913508660
SA001,304920,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L67.3/D0.6,19970101,MOP001,80.0,67.33,JHT002,0.40000001,0.80000001,0.57999998,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,67.32607376540
SA001,304923,WT2021080329,1,0.00,0.00,1988/DCIP/Ø80/L10.3/D0.7,19880101,MOP001,80.0,10.31,JHT002,0.69999999,0.69999999,0.69999999,IQT001,5011056000,5011010600,336071165,6500000,SAA004,,,,10.31407412230
SA001,304929,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L75.8/D0.5,19000101,MOP001,80.0,75.8,JHT002,0.2,0.60000002,0.47,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,75.80265006430
SA001,304930,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L6.3/D0.6,19000101,MOP001,80.0,6.3,JHT002,0.60000002,0.60000002,0.60000002,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,6.29992460272
SA001,304932,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L0.4/D0.8,19000101,MOP001,80.0,0.36,JHT002,0.80000001,0.80000001,0.80000001,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,0.35642671056
SA001,304950,WT2021080329,1,0.00,0.00,1988/DCIP/Ø80/L96.0/D0.8,19880101,MOP001,80.0,96.03,JHT002,0.69999999,0.89999998,0.81,IQT001,5011056000,5011010600,336071165,6500000,SAA004,,,,96.02512764470
SA001,304964,WT2021080329,1,0.00,0.00,1997/SP/Ø65/L0.2/D1.1,19970101,MOP002,65.0,0.22,JHT903,1.10000002,1.10000002,1.10000002,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,0.22127810556
SA001,304968,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L18.5/D0.9,19970101,MOP001,80.0,18.54,JHT002,0.89999998,1.0,0.93000001,IQT001,5011056000,5011010600,336071164,6500000,SAA004,,,,18.54067556360
