FTR_IDN,pipe_length,K_repair,K_repair_per_m,K_repair_ground,K_repair_ground_per_m,K_repair_under,K_repair_under_per_m,K_repair_emergency,K_repair_emergency_per_m,K_repair_management,K_repair_management_per_m
142242.0,4.94,1.09,0.1088,0.14,0.0145,0.0,0.0,0.94,0.0944,0.0,0.0
175954.0,2.97,2.7,0.2705,1.31,0.1305,0.0,0.0,1.4,0.14,0.0,0.0
142153.0,3.91,2.9,0.2901,1.43,0.1432,0.0,0.0,1.47,0.1469,0.0,0.0
87196.0,4.7,0.87,0.0872,0.2,0.0202,0.0,0.0,0.67,0.0669,0.0,0.0
142158.0,4.16,1.3,0.1305,0.57,0.0569,0.44,0.0442,0.29,0.0294,0.0,0.0
105176.0,2.2,3.45,0.3449,0.81,0.0808,0.0,0.0,2.64,0.264,0.0,0.0
142085.0,2.53,2.68,0.2683,0.86,0.0857,0.0,0.0,1.83,0.1825,0.0,0.0
142156.0,3.09,4.25,0.4248,1.38,0.1382,1.03,0.1025,1.84,0.184,0.0,0.0
210506.0,3.55,0.81,0.0811,0.04,0.0035,0.62,0.0618,0.16,0.0157,0.0,0.0
175957.0,1.96,1.74,0.1741,0.55,0.0553,0.48,0.0479,0.71,0.0709,0.0,0.0
210497.0,3.01,2.47,0.2466,0.91,0.0915,0.67,0.0674,0.88,0.0877,0.0,0.0
105178.0,3.17,4.31,0.4308,1.48,0.148,0.94,0.0944,1.88,0.1884,0.0,0.0
105153.0,4.59,0.53,0.0531,0.06,0.0065,0.09,0.0085,0.38,0.038,0.0,0.0
210498.0,4.1,2.72,0.2722,1.02,0.1021,0.58,0.058,1.12,0.1121,0.0,0.0
175956.0,2.32,2.4,0.2402,0.82,0.0823,0.72,0.0722,0.86,0.0857,0.0,0.0
2844.0,3.65,0.67,0.0672,0.22,0.0225,0.04,0.0043,0.4,0.0404,0.0,0.0
142152.0,4.35,2.54,0.2535,0.84,0.0835,0.0,0.0,1.7,0.17,0.0,0.0
71461.0,3.61,3.21,0.3207,1.49,0.1491,0.0,0.0,1.72,0.1716,0.0,0.0
2843.0,3.35,0.24,0.0235,0.13,0.0132,0.1,0.0103,0.0,0.0,0.0,0.0
105179.0,4.27,3.04,0.3039,0.69,0.0686,0.54,0.0536,1.82,0.1817,0.0,0.0
142163.0,4.06,4.13,0.4134,1.18,0.118,0.8,0.0804,2.15,0.2151,0.0,0.0
142151.0,4.18,2.39,0.2388,0.92,0.0921,0.0,0.0,1.47,0.1467,0.0,0.0
105177.0,2.51,3.47,0.3468,1.21,0.1211,0.84,0.0836,1.42,0.1421,0.0,0.0
142162.0,3.72,3.71,0.3706,0.93,0.0934,1.1,0.1103,1.67,0.167,0.0,0.0
417695.0,31.02,3.36,0.1084,1.23,0.0396,0.0,0.0,2.13,0.0688,0.0,0.0
142157.0,2.88,1.18,0.1184,0.62,0.0617,0.29,0.0291,0.28,0.0276,0.0,0.0
473190.0,20.25,2.31,0.114,0.74,0.0365,0.0,0.0,1.57,0.0775,0.0,0.0
244083.0,2.62,1.17,0.1172,0.35,0.0349,0.46,0.0464,0.36,0.0359,0.0,0.0
210494.0,3.93,0.88,0.0884,0.0,0.0,0.37,0.0369,0.52,0.0515,0.0,0.0
175964.0,4.38,1.15,0.1147,0.42,0.0424,0.07,0.0071,0.65,0.0652,0.0,0.0
2847.0,4.62,2.37,0.2369,1.11,0.1112,0.15,0.0145,1.11,0.1112,0.0,0.0
175961.0,3.19,2.1,0.2097,0.21,0.0212,1.22,0.1218,0.67,0.0667,0.0,0.0
2870.0,2.86,1.29,0.1291,0.28,0.0277,0.5,0.0498,0.52,0.0516,0.0,0.0
142159.0,3.32,0.88,0.0878,0.0,0.0,0.66,0.066,0.22,0.0218,0.0,0.0
210495.0,3.95,0.76,0.0761,0.0,0.0,0.47,0.0471,0.29,0.0289,0.0,0.0
105183.0,2.15,1.54,0.1541,0.03,0.0035,1.16,0.1161,0.35,0.0345,0.0,0.0
244073.0,3.26,2.62,0.2617,0.76,0.0764,0.0,0.0,1.85,0.1852,0.0,0.0
175959.0,2.8,3.64,0.364,0.82,0.0819,1.22,0.1217,1.6,0.1605,0.0,0.0
2869.0,2.41,0.94,0.0941,0.12,0.0115,0.53,0.0525,0.3,0.0301,0.0,0.0
105182.0,6.1,2.49,0.2493,0.48,0.0485,0.99,0.0988,1.02,0.1021,0.0,0.0
142164.0,4.46,3.6,0.36,0.75,0.0752,1.12,0.1122,1.73,0.1725,0.0,0.0
210499.0,4.25,0.56,0.0564,0.32,0.032,0.24,0.0245,0.0,0.0,0.0,0.0
142167.0,2.04,1.96,0.1964,0.29,0.0294,1.27,0.127,0.4,0.04,0.0,0.0
142169.0,3.81,0.3,0.0302,0.3,0.0302,0.0,0.0,0.0,0.0,0.0,0.0
210505.0,3.16,2.54,0.254,0.55,0.0551,0.83,0.0835,1.15,0.1154,0.0,0.0
210496.0,3.22,1.31,0.131,0.33,0.0331,0.0,0.0,0.98,0.0979,0.0,0.0
36489.0,3.07,0.74,0.0737,0.24,0.0244,0.27,0.0271,0.22,0.0222,0.0,0.0
175958.0,3.51,2.52,0.2517,0.57,0.0567,0.9,0.0903,1.05,0.1048,0.0,0.0
210493.0,12.7,1.08,0.0851,0.0,0.0,0.44,0.0345,0.64,0.0506,0.0,0.0
71467.0,3.15,0.98,0.0985,0.0,0.0,0.61,0.0607,0.38,0.0378,0.0,0.0
71466.0,19.39,1.27,0.0657,0.0,0.0,0.4,0.0204,0.88,0.0454,0.0,0.0
71375.0,16.44,1.59,0.0965,0.0,0.0,0.92,0.0559,0.67,0.0406,0.0,0.0
175963.0,4.37,1.45,0.1447,0.94,0.0942,0.22,0.0225,0.28,0.028,0.0,0.0
175960.0,5.25,3.23,0.3225,0.66,0.0661,1.18,0.1176,1.39,0.1388,0.0,0.0
244047.0,4.19,5.38,0.5384,2.54,0.254,0.0,0.0,2.84,0.2844,0.0,0.0
142160.0,16.04,1.37,0.0854,0.0,0.0,0.84,0.0526,0.53,0.0328,0.0,0.0
142126.0,11.77,3.53,0.3003,1.75,0.1485,0.04,0.0032,1.75,0.1485,0.0,0.0
210500.0,2.0,0.64,0.0644,0.04,0.0036,0.51,0.0509,0.1,0.01,0.0,0.0
105181.0,3.61,2.56,0.2564,0.54,0.0538,0.87,0.0866,1.16,0.116,0.0,0.0
73509.0,3.57,5.23,0.5233,1.06,0.1065,2.15,0.2147,2.02,0.2022,0.0,0.0
105185.0,3.07,2.45,0.2447,1.0,0.1001,0.15,0.0147,1.3,0.13,0.0,0.0
212530.0,4.22,5.41,0.5412,1.46,0.1455,1.49,0.1489,2.47,0.2468,0.0,0.0
39068.0,1.81,3.38,0.3382,0.97,0.0968,0.57,0.0573,1.84,0.1841,0.0,0.0
210508.0,2.45,1.92,0.192,0.77,0.0774,0.19,0.0193,0.95,0.0953,0.0,0.0
246547.0,7.14,3.72,0.372,1.01,0.1008,0.34,0.0344,2.37,0.2368,0.0,0.0
105184.0,3.15,1.87,0.1868,0.17,0.0174,1.41,0.1409,0.28,0.0284,0.0,0.0
3982.0,4.04,6.01,0.6005,0.94,0.0939,2.84,0.2835,2.23,0.2231,0.0,0.0
3983.0,2.32,2.89,0.2891,0.14,0.0138,0.79,0.0785,1.97,0.1968,0.0,0.0
245491.0,3.46,4.01,0.4013,0.48,0.048,1.61,0.1614,1.92,0.192,0.0,0.0
245489.0,3.96,4.45,0.4446,0.15,0.0146,2.64,0.2636,1.66,0.1664,0.0,0.0
177403.0,4.08,5.37,0.5367,1.28,0.1278,1.49,0.149,2.6,0.2599,0.0,0.0
144191.0,4.34,6.01,0.6005,1.3,0.1304,2.2,0.2198,2.5,0.2504,0.0,0.0
36490.0,2.3,2.28,0.2283,0.87,0.0875,0.01,0.0008,1.4,0.1401,0.0,0.0
38067.0,4.55,1.66,0.1662,0.23,0.023,0.42,0.0417,1.01,0.1015,0.0,0.0
245493.0,2.88,3.62,0.3616,0.5,0.0503,0.73,0.0728,2.38,0.2385,0.0,0.0
177404.0,2.91,5.42,0.5419,1.27,0.1275,1.59,0.1587,2.56,0.2558,0.0,0.0
211503.0,3.08,3.97,0.3973,0.53,0.0525,1.07,0.1069,2.38,0.2379,0.0,0.0
143210.0,14.14,3.31,0.2339,0.5,0.0357,0.68,0.0483,2.12,0.1499,0.0,0.0
7396.0,4.04,4.58,0.4583,0.71,0.0708,2.27,0.2272,1.6,0.1604,0.0,0.0
245492.0,3.72,3.23,0.3226,0.85,0.0848,0.53,0.053,1.85,0.1848,0.0,0.0
3984.0,3.43,6.91,0.6914,2.06,0.2063,1.55,0.1553,3.3,0.3299,0.0,0.0
246552.0,3.83,5.34,0.5339,0.84,0.0839,2.61,0.2605,1.89,0.1895,0.0,0.0
38066.0,2.78,2.03,0.2033,0.13,0.0127,0.64,0.0639,1.27,0.1268,0.0,0.0
39069.0,3.13,5.5,0.5497,1.5,0.1505,1.37,0.1372,2.62,0.262,0.0,0.0
143211.0,19.95,5.37,0.2692,1.46,0.0732,0.93,0.0466,2.98,0.1495,0.0,0.0
245490.0,4.63,6.02,0.602,0.84,0.0845,2.71,0.2706,2.47,0.2469,0.0,0.0
72516.0,2.43,1.55,0.1549,0.0,0.0,0.51,0.0513,1.04,0.1036,0.0,0.0
106632.0,3.52,4.02,0.4019,0.52,0.0522,1.11,0.1112,2.39,0.2385,0.0,0.0
143212.0,4.19,2.47,0.2473,0.74,0.074,0.52,0.0522,1.21,0.121,0.0,0.0
36999.0,4.54,1.67,0.1669,0.91,0.091,0.15,0.0152,0.61,0.0606,0.0,0.0
36421.0,6.38,5.93,0.5928,1.57,0.1574,1.56,0.1557,2.8,0.2797,0.0,0.0
2949.0,16.2,8.11,0.5003,1.97,0.1213,2.32,0.1435,3.82,0.2356,0.0,0.0
142240.0,5.68,5.3,0.53,0.92,0.0924,1.49,0.1494,2.88,0.2882,0.0,0.0
244133.0,4.88,3.79,0.3788,0.03,0.0028,1.74,0.1739,2.02,0.202,0.0,0.0
71541.0,4.5,5.19,0.5192,0.32,0.0316,1.84,0.1837,3.04,0.3039,0.0,0.0
36994.0,4.01,6.67,0.6668,0.53,0.0534,2.32,0.2318,3.82,0.3816,0.0,0.0
105250.0,3.45,1.48,0.1475,0.02,0.0017,0.44,0.0438,1.02,0.102,0.0,0.0
176444.0,2.8,6.05,0.6047,0.43,0.0429,2.14,0.2144,3.47,0.3474,0.0,0.0
176446.0,4.35,2.43,0.243,1.16,0.1164,0.0,0.0,1.27,0.1266,0.0,0.0
142239.0,3.84,3.2,0.3199,0.31,0.0311,1.12,0.1121,1.77,0.1767,0.0,0.0
210575.0,5.53,7.09,0.7094,0.67,0.0675,2.65,0.265,3.77,0.3769,0.0,0.0
36995.0,3.68,5.52,0.5523,1.1,0.11,2.58,0.2581,1.84,0.1841,0.0,0.0
71538.0,4.28,1.46,0.1457,0.59,0.0592,0.0,0.0,0.87,0.0865,0.0,0.0
71539.0,1.81,2.86,0.2859,0.77,0.0772,0.77,0.0769,1.32,0.1318,0.0,0.0
244135.0,4.17,2.91,0.2908,0.63,0.0633,1.46,0.1462,0.81,0.0813,0.0,0.0
105244.0,3.64,5.52,0.5523,0.37,0.0369,2.24,0.224,2.91,0.2914,0.0,0.0
105245.0,4.74,5.59,0.5592,0.5,0.0496,2.32,0.2318,2.78,0.2778,0.0,0.0
105246.0,3.53,5.18,0.5182,1.05,0.1051,2.43,0.2425,1.71,0.1705,0.0,0.0
176443.0,2.94,1.39,0.1389,0.72,0.0719,0.04,0.0043,0.63,0.0627,0.0,0.0
176445.0,3.67,1.71,0.1711,0.76,0.0758,0.0,0.0,0.95,0.0953,0.0,0.0
244012.0,2.69,1.43,0.1429,0.16,0.0161,0.31,0.0311,0.96,0.0957,0.0,0.0
210577.0,3.92,5.91,0.5908,0.99,0.0995,2.14,0.2144,2.77,0.277,0.0,0.0
142238.0,15.4,4.34,0.2821,1.25,0.081,1.21,0.0784,1.89,0.1227,0.0,0.0
