FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
4693_11,4693,11,4.969886923993745,False,2
4693_12,4693,12,1.8996301750572577,False,2
4693_13,4693,13,1.4996588279350784,False,3
246252_1,246252,1,14.498450745545693,False,3
246252_2,246252,2,0.5428307576741921,False,2
246252_3,246252,3,4.880092723972136,False,3
246252_4,246252,4,2.0772402196279462,False,3
246252_5,246252,5,4.09600854099973,False,3
246253_1,246253,1,8.973774273461014,False,4
246253_2,246253,2,10.777355236765283,False,4
246253_3,246253,3,9.365636785631375,False,4
246253_4,246253,4,2.1665048621460445,False,2
143878_1,143878,1,1.4996072539617429,False,3
143878_2,143878,2,9.88311311867818,False,3
143878_3,143878,3,2.0474120683047285,False,4
143878_4,143878,4,1.1606497985384487,False,3
143878_5,143878,5,9.182135318499737,False,2
143878_6,143878,6,2.2605010748107186,False,2
143878_7,143878,7,4.205290002362341,False,3
143878_8,143878,8,3.533772774763971,False,4
143878_9,143878,9,2.7128214964567934,False,3
143878_10,143878,10,2.0535682963760533,False,3
143878_11,143878,11,9.335762423414913,False,4
143878_12,143878,12,1.380089258355659,False,4
143878_13,143878,13,1.6186657801533124,False,4
143878_14,143878,14,10.66579295412779,False,4
143878_15,143878,15,2.368521858490885,False,4
143878_16,143878,16,10.309859540388675,False,3
143878_17,143878,17,1.6875758659340174,False,3
143878_18,143878,18,1.3488420043596083,False,3
143878_19,143878,19,10.054957857846833,False,3
143878_20,143878,20,12.242454014420964,False,4
143878_21,143878,21,2.6785485058086134,False,3
143878_22,143878,22,10.03091851788333,False,3
143878_23,143878,23,7.8623811986353775,False,3
143878_24,143878,24,8.818203134084767,False,2
143878_25,143878,25,8.317771535599412,False,2
143878_26,143878,26,1.4088060782488814,False,3
4695_1,4695,1,12.063993797779318,False,3
4695_2,4695,2,3.300505632347945,False,3
4695_3,4695,3,1.5106894481814295,False,3
245201_1,245201,1,14.626742607273112,False,3
72210_1,72210,1,14.798420829166822,False,3
72210_2,72210,2,0.34799198869759795,False,2
4692_1,4692,1,1.0303702276131919,False,3
4692_2,4692,2,5.823497659339772,False,3
4692_3,4692,3,3.8794338586649504,False,4
4692_4,4692,4,0.7171665121490384,False,3
4692_5,4692,5,1.315567486906431,False,2
4694_1,4694,1,0.9559660506919465,False,3
4694_2,4694,2,1.668856779568051,False,2
4694_3,4694,3,0.5238638420198966,False,2
4694_4,4694,4,3.4408179856333656,False,2
4694_5,4694,5,14.430824901443426,False,3
4694_6,4694,6,9.070355927109476,False,4
4694_7,4694,7,1.7665363590695764,False,4
4694_8,4694,8,2.1233755812037414,False,4
4694_9,4694,9,13.499034103182877,False,4
4694_10,4694,10,0.6728632918384232,False,4
4694_11,4694,11,1.6855217085394587,False,3
143877_1,143877,1,1.4997604047767328,False,3
143877_2,143877,2,8.651673488620402,False,3
143877_3,143877,3,10.85852032055732,False,3
143877_4,143877,4,6.047058432528968,False,3
143877_5,143877,5,1.6377576950743755,False,3
143877_6,143877,6,7.712911474451082,False,2
143877_7,143877,7,8.44967177585046,False,3
143877_8,143877,8,1.6688672627845647,False,3
143877_9,143877,9,9.181618221193913,False,3
143877_10,143877,10,8.970654526426136,False,4
143877_11,143877,11,18.133384758123885,False,3
143877_12,143877,12,3.4101688820338834,False,3
143877_13,143877,13,12.191287653532552,False,4
143877_14,143877,14,3.6967303759957626,False,3
143877_15,143877,15,10.965388824019671,False,3
143877_16,143877,16,18.358351833979015,False,3
143877_17,143877,17,0.6220582402379612,False,2
143877_18,143877,18,1.499337105190408,False,3
245336_1,245336,1,2.710512255653933,True,1
3673_1,3673,1,4.988930399109624,False,2
3673_2,3673,2,0.755480882942135,False,2
3673_3,3673,3,0.5248228932812856,False,3
3673_4,3673,4,1.0315615574817534,False,4
3673_5,3673,5,6.212443952934141,False,4
3673_6,3673,6,0.7587352440936392,False,3
245200_1,245200,1,13.327139484229916,False,4
245200_2,245200,2,0.9087955782021964,False,3
106330_1,106330,1,2.609219349694073,False,4
106330_2,106330,2,10.102048001639167,False,3
106330_3,106330,3,0.25693307098986085,False,2
245203_1,245203,1,8.618706514359245,False,3
245203_2,245203,2,7.034160031405836,False,3
245203_3,245203,3,1.6085377452808898,False,3
245303_1,245303,1,8.462817144315327,False,3
245303_2,245303,2,4.394454792017621,False,2
245303_3,245303,3,1.0188721993900887,False,2
442731_1,442731,1,10.124378902331681,False,3
442731_2,442731,2,10.176711305645723,False,4
442731_3,442731,3,10.11069786182107,False,3
442731_4,442731,4,1.4996460516725485,False,3
442730_1,442730,1,1.2207071162493217,False,2
442730_2,442730,2,0.26257528444654354,False,3
442730_3,442730,3,3.878360995825292,False,4
442730_4,442730,4,0.5747799359328563,False,3
442730_5,442730,5,1.5732296116940108,False,2
443322_1,443322,1,7.575025055585415,False,2
443629_1,443629,1,3.6948028896406893,False,3
443629_2,443629,2,1.3299392633206497,False,3
443629_3,443629,3,0.5679595647433803,False,3
440291_1,440291,1,1.2789558328712147,False,3
440291_2,440291,2,3.6757034356169043,False,3
440291_3,440291,3,10.947510604000616,False,4
440291_4,440291,4,2.715757125567927,False,4
440291_5,440291,5,0.677882731017379,False,3
212248_1,212248,1,1.499670012070153,False,3
212248_2,212248,2,2.063681901157064,False,2
212248_3,212248,3,8.599160477200508,False,3
212248_4,212248,4,11.991603959781989,False,4
212248_5,212248,5,5.274757842604264,False,3
212248_6,212248,6,6.759791054417638,False,2
212248_7,212248,7,2.113577669552464,False,3
212248_8,212248,8,0.6858888972020565,False,3
212248_9,212248,9,1.110533173203926,False,2
212248_10,212248,10,1.9994070909411668,False,2
212248_11,212248,11,1.0941617397006431,False,2
212248_12,212248,12,0.7788414188731766,False,2
212248_13,212248,13,1.7919051923525657,False,2
212248_14,212248,14,8.843025307883595,False,3
212248_15,212248,15,15.015710030030542,False,4
212248_16,212248,16,3.6960427621033562,False,4
212248_17,212248,17,0.8658011803287927,False,3
212248_18,212248,18,1.13298502783352,False,2
212248_19,212248,19,1.9993789834453095,False,2
212248_20,212248,20,1.0348087523320164,False,2
212248_21,212248,21,4.933871544981534,False,2
212248_22,212248,22,2.7333880782109072,False,2
212248_23,212248,23,6.827431682094993,False,3
212248_24,212248,24,3.0823034854284237,False,3
212248_25,212248,25,5.136850576716931,False,2
212248_26,212248,26,1.1673357638782305,False,2
212248_27,212248,27,1.8025457944041143,False,2
212248_28,212248,28,1.324965510803738,False,3
212248_29,212248,29,6.901893557140502,False,4
212248_30,212248,30,2.776602153907491,False,3
212248_31,212248,31,2.257647672930633,False,3
212248_32,212248,32,7.961796302298006,False,3
212248_33,212248,33,2.817537814851576,False,3
212248_34,212248,34,1.0894167503801413,False,3
212248_35,212248,35,2.061471748865289,False,2
212248_36,212248,36,1.1525405445862198,False,2
212248_37,212248,37,12.750075483540463,False,2
212248_38,212248,38,1.4998724315636303,False,3
18681_1,18681,1,1.4997560326519328,False,3
18681_2,18681,2,1.3927737476433397,False,2
18681_3,18681,3,3.0224816341807044,False,2
18681_4,18681,4,2.6134264369859235,False,2
18681_5,18681,5,6.509090197146632,False,3
18681_6,18681,6,1.7969291519554351,False,3
18681_7,18681,7,9.584755234091661,False,3
18681_8,18681,8,2.7764073631376194,False,4
18681_9,18681,9,2.2384502877020394,False,3
18681_10,18681,10,7.221152327021966,False,3
18681_11,18681,11,1.2628477771816236,False,4
18681_12,18681,12,10.47763652981939,False,4
18681_13,18681,13,9.118862934441912,False,4
18681_14,18681,14,13.236938569869256,False,4
18681_15,18681,15,2.3324480118628586,False,3
18681_16,18681,16,9.881705038759122,False,3
18681_17,18681,17,1.9265117845679331,False,3
18681_18,18681,18,6.169492398659137,False,3
18681_19,18681,19,4.00315566073572,False,3
18681_20,18681,20,0.2361195120626108,False,3
18681_21,18681,21,4.164808603959263,False,3
18681_22,18681,22,7.27237676522483,False,3
18681_23,18681,23,1.657238827615058,False,3
18681_24,18681,24,6.687796708275414,False,3
18681_25,18681,25,8.744964905862373,False,4
18681_26,18681,26,8.979898992473847,False,4
18681_27,18681,27,4.435059577961954,False,3
18681_28,18681,28,4.696883953296554,False,3
3672_1,3672,1,4.418719641093593,False,3
3672_2,3672,2,5.66544864325903,False,3
3672_3,3672,3,1.4995659000501318,False,3
177112_1,177112,1,1.4996050041781293,False,3
177112_2,177112,2,1.70654386749986,False,3
107319_1,107319,1,1.6529736277888247,False,4
107319_2,107319,2,3.520010859324123,False,2
107319_3,107319,3,4.894107183556055,False,2
107319_4,107319,4,1.7777854535368434,False,3
107319_5,107319,5,2.1155573852618987,False,3
72211_1,72211,1,4.446705591068968,False,4
72211_2,72211,2,8.197704522399597,False,3
178121_1,178121,1,9.980941260771603,False,4
178121_2,178121,2,6.373409570743656,False,5
178121_3,178121,3,0.0,False,3
