긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부)
9911742,53000,서부사업소,,,05,급수관,,20070503000000,,,분기대 교체 D80*15,S,서구,서구 비산동 823-12,0307,0340,,20075300011742,비산1동 823-12,U,지하누수,,,,,,,,01,15,99,,0901,,02,부식,1,누수,,,3,1/3,,123,0,"1,269","2,497",,,
202204035,53000,서부사업소,SS00201,생활용수,04,배수지관,202204280032,202204280912,202204280950,202204281200,D=150*15mm 분기점수선,S,서구,서구 비산동 825-12,0307,0340,238,20229006512,서구 통학로51길 43 (비산동) / 825-12번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,5,1/7,5,118,0,651,"1,005",,"766,170",
201603095,53000,서부사업소,,,04,배수지관,201605260408,201605261619,201605270800,201605271100,"D=80*25mm 분기점 수선
",S,서구,서구 비산동 828-4,0307,0340,371,20169006828,서구 북비산로47길 22 (비산동) / 828-4번지,U,지하누수,01,공도,,01,자체,01,주간,03,25,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,,,5,146,0,"1,367","1,704",0,"667,510",N
202002238,53000,서부사업소,,,04,배수지관,202005220228,202005221357,202005221416,202005221632,D=50*13mm 분기점 수선,S,서구,서구 비산동 83-13,0314,0500,242,20209004526,서구 북비산로76길 6-17 (비산동) / 83-13번지,U,지하누수,01,공도,,02,용역,,,01,15,05,PFP관,0201,이형관,01,노후,1,누수,01,소켓,5,1/7,5,143,0,480,612,,"541,550",N
202202171,53000,서부사업소,SS00201,생활용수,04,배수지관,202203290370,202203291737,202203291812,202203292020,D=50*15mm 분기점 누수수선 ,S,서구,서구 비산동 83-26,0314,0500,99,20229003489,서구 북비산로76길 6-20 (비산동) / 83-26번지,U,지하누수,01,공도,,03,상시누수진단,,,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,4,1/5,5,88,0,697,"1,441",,"661,370",N
202104168,53000,서부사업소,,,05,급수관,202106140378,202106141707,202106141738,202106142041,D=15mm 보호통 교체 수선,S,서구,서구 비산동 83-26,0314,0500,356,20219007294,서구 북비산로76길 6-20 (비산동) / 83-26번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,3,1/3,5,165,0,"1,307","1,441",,"785,530",
202002281,53000,서부사업소,,,,,202005220233,202005221401,202005221416,202005221439,현장확인 결과 미누수,S,서구,서구 비산동 83-9 통6반,0314,0500,244,20209004637,"서구 북비산로76길 12-12, 통6반 (비산동) / 83-9번지",U,지하누수,,,,02,용역,,,,,,,,,,,2,미누수,,,,,,,,,,,"211,760",N
202001405,53000,서부사업소,,,04,배수지관,202003300182,202003301034,202003301059,202003301224,D=80*15mm 분기점 누수 수선,S,서구,서구 비산동 839-30,0305,0330,84,20209002813,서구 서대구로54길 6-22 (비산동) / 839-30번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,5,1/7,5,90,0,497,"1,005",1,"2,892,440",N
201903702,53000,서부사업소,,,04,배수지관,201907180028,201907180927,201907181100,201907181500,"D=40*15mm, D=40*20mm 분기점 누수 수선",S,서구,서구 비산동 85-48,0314,0500,500,20199007018,서구 북비산로76길 13-5 (비산동) / 85-48번지,U,지하누수,01,공도,,02,용역,,,02,20,05,PFP관,0201,이형관,01,노후,1,누수,01,소켓,4,1/5,5,199,0,"1,672","1,529",,"757,890",N
201604213,53000,서부사업소,,,05,급수관,201607080046,201607080910,201607081300,201607081600,D=15mm 계량기 보호통 교체 수선,S,서구,서구 비산동 85-8,0314,0500,465,20169009325,서구 북비산로76길 14-1 (비산동) / 85-8번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,2,1/2,4,190,0,"2,052","1,966",,"376,810",N
201602477,53000,서부사업소,,,05,급수관,201604060666,201604061656,201604070800,201604071200,D=40*15mm 분기점 수선,S,서구,서구 비산동 8-6,0308,0380,277,20169005325,서구 달서로40길 17-22 (비산동) / 8-6번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0201,이형관,01,노후,1,누수,01,소켓,7,1/4,5,96,0,576,"1,092",,"373,490",N
202002287,53000,서부사업소,,,,,202005190417,202005191400,202005191500,202005191800,굴착 결과 미누수,S,서구,서구 비산동 88-12 통3반,0314,0500,232,20209004644,"서구 북비산로76길 20, 통3반 (비산동) / 88-12번지",U,지하누수,,,,02,용역,,,,,,,,,,,2,미누수,,,,,,,,,,0,"545,150",N
201703848,53000,서부사업소,,,04,배수지관,201707270035,201707270922,201707271000,201707271300,D=80*25mm 분기점 누수 수선,S,서구,서구 비산동 881-3,0303,0160,485,20179008148,서구 서대구로 292 (비산동) / 881-3번지,U,지하누수,01,공도,,01,자체,01,주간,03,25,10,부분기대,0501,부분기대,01,노후,1,누수,03,연부,8,1/50,4,208,1,"6,789","5,940",0,"652,470",N
201603679,53000,서부사업소,,,04,배수지관,201606160024,201606160916,201606161000,201606161300,D=80mm 플랜지 접합부 수선,S,서구,서구 비산동 881-5,0303,0160,411,20169008173,서구 서대구로 288 (비산동) / 881-5번지,U,지하누수,01,공도,,01,자체,01,주간,07,80,02,닥타일관,0201,이형관,01,노후,1,누수,03,연부,20,1/200,5,167,0,"1,523","1,660",0,"315,560",N
201603693,53000,서부사업소,,,05,급수관,201606300018,201606300908,201606301030,201606301250,D15mm 계량기 보호통 교체 수선,S,서구,서구 비산동 88-25,0314,0500,442,20169008187,서구 북비산로76길 22 (비산동) / 88-25번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0602,연결부,01,노후,1,누수,01,소켓,4,1/5,5,181,0,869,874,,"358,420",N
201804052,53000,서부사업소,,,04,배수지관,201805310026,201805310909,201805311000,201805311200,D=15mm 접합부 누수 수선,S,서구,서구 비산동 88-25,0314,0500,554,20189007038,서구 북비산로76길 22 (비산동) / 88-25번지,U,지하누수,01,공도,,02,용역,,,01,15,02,닥타일관,0201,이형관,01,노후,1,누수,02,반도,4,1/5,5,151,0,"1,196","1,441",0,"852,610",N
201504084,53000,서부사업소,,,04,배수지관,201508190050,201508190927,,201508241752,D=150mm 제수변 스핀들 수선,S,서구,서구 비산동 887-7,0303,0160,467,20159010473,서구 달서천로 205 (비산동) / 887-7번지,U,지하누수,01,공도,,02,용역,,,09,150,09,변류,0401,본체,11,볼트이완,1,누수,03,연부,21,1/300,5,230,0,"2,705","2,140",0,"232,290",N
202104988,53000,서부사업소,,,05,급수관,202107290032,202107290910,202107290940,202107291300,D=25*15mm 인입선 및 계량기보호통교체수선,S,서구,서구 비산동 889-10,0303,0160,467,20219008462,서구 달서천로41길 6-4 (비산동) / 889-10번지,U,지하누수,02,사유지,,01,자체,01,주간,01,15,06,스텐레스관,0201,이형관,01,노후,1,누수,03,연부,5,1/7,5,210,,0,0,,"1,241,740",N
202005566,53000,서부사업소,,,04,배수지관,202011090388,202011091604,202011091642,202011091756,D=25*15mm 분기점 누수수선.,S,서구,서구 비산동 889-9,0303,0160,791,20209010404,서구 달서천로41길 6-6 (비산동) / 889-9번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,5,1/7,5,314,0,"1,055",612,0,"529,870",N
201900416,53000,서부사업소,,,05,급수관,201812100084,201812101004,201812101100,201812101300,D=20mm 보호통 교체 수선,S,서구,서구 비산동 890-10,0303,0160,1111,20199000742,서구 달서천로 217-6 (비산동) / 890-10번지,U,지하누수,02,사유지,,01,자체,01,주간,02,20,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,04,직관,6,1/10,4,344,1,"6,522","3,451",,"618,610",N
202002961,53000,서부사업소,,,04,배수지관,202006020488,202006021642,202006021712,202006021916,D=15mm 접합부 누수수선,S,서구,서구 비산동 890-2,0303,0160,297,20209005751,서구 달서천로 217-9 (비산동) / 890-2번지,U,지하누수,01,공도,,02,용역,,,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,5,1/7,5,154,0,517,612,0,"683,420",N
202002956,53000,서부사업소,,,05,급수관,202006020485,202006021641,202006021706,202006021848,D=15mm 보호통 교체수선,S,서구,서구 비산동 891-7,0303,0160,296,20209005746,서구 달서천로 219-1 (비산동) / 891-7번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,5,1/7,5,154,0,517,612,,"578,960",N
201600842,53000,서부사업소,,,04,배수지관,201601200334,201601201514,201601201600,201601201900,STS D=15mm 접합부 수선,S,서구,서구 비산동 893-16,0303,0160,44,20169001845,서구 달서천로41안길 10 (비산동) / 893-16번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0101,직관,01,노후,1,누수,01,소켓,3,1/3,5,19,0,150,"1,441",0,"201,120",N
201704332,53000,서부사업소,,,,,201708030019,201708030908,201708030930,201708031030,터파기 결과 미누수,S,서구,서구 비산동 895-2,0303,0160,507,20179009251,서구 서대구로62길 12 (비산동) / 895-2번지,U,지하누수,,,,01,자체,01,주간,,,,,,,,,2,미누수,,,,,,,,,,0,"220,380",N
201604746,53000,서부사업소,,,04,배수지관,201608250256,201608251335,201608251400,201608251600,100*15mm 구분기점 폐쇄,S,서구,서구 비산동 895-9,0303,0160,582,20169010417,서구 달서천로41안길 3 (비산동) / 895-9번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,2,1/2,4,238,1,"4,227","3,232",,"221,740",N
202003003,53000,서부사업소,,,05,급수관,202006050037,202006050920,202006050938,202006051132,D=15mm 보호통 교체수선,S,서구,서구 비산동 898-10,0303,0160,311,20209005802,서구 달서천로41안길 15-4 (비산동) / 898-10번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,5,1/7,5,157,0,528,612,0,"651,300",N
201704331,53000,서부사업소,,,,,201708030018,201708030907,201708030915,201708031015,터파기 결과 미누수,S,서구,서구 비산동 899-3,0303,0160,506,20179009250,서구 서대구로62길 26 (비산동) / 899-3번지,U,지하누수,,,,01,자체,01,주간,,,,,,,,,2,미누수,,,,,,,,,,0,"488,970",N
201801821,53000,서부사업소,,,04,배수지관,201802050186,201802051020,201802051040,201802051300,D=80mm 접합부 누수 수선,S,서구,서구 비산동 899-7,0303,0160,183,20189002896,서구 서대구로62길 24 (비산동) / 899-7번지,U,지하누수,01,공도,,02,용역,,,07,80,02,닥타일관,0101,직관,01,노후,1,누수,03,연부,9,1/100,5,36,1,657,"3,320",0,"710,350",N
201705760,53000,서부사업소,,,05,급수관,201707310067,201707310932,201707311000,201707311400,"D=50*15mm 구분기점 폐쇄
D=15mm 계량기보호통 교체 수선",S,서구,서구 비산동 900-16,0303,0260,495,20179012210,서구 달서천로41안길 21-1 (비산동) / 900-16번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,05,PFP관,0201,이형관,01,노후,1,누수,01,소켓,4,1/5,5,212,1,"5,648","4,848",0,"1,614,950",N
201704827,53000,서부사업소,,,05,급수관,201709110036,201709110929,201709110945,201709111015,D=15mm 앵글밸브 누수 수선,S,서구,서구 비산동 900-5,0303,0160,626,20179010231,서구 달서천로41안길 25-3 (비산동) / 900-5번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0603,앵글밸브,11,볼트이완,1,누수,01,소켓,2,1/2,5,254,1,"3,048","2,184",,"80,670",N
201807320,53000,서부사업소,,,05,급수관,201811290012,201811290907,201811291000,201811291200,D=15mm 보호통 교체 수선,S,서구,서구 비산동 900-5,0303,0160,1066,20189013095,서구 달서천로41안길 25-3 (비산동) / 900-5번지,U,지하누수,02,사유지,,01,자체,01,주간,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,7,1/4,5,333,0,"1,998","1,092",,"511,820",N
201404865,53000,서부사업소,,,05,급수관,201409020209,201409021148,201409021300,201409021600,D=15mm 계량기보호통 교체 수선,S,서구,서구 비산동 903-7 모나리자 ,0303,0160,586,20149011302,"서구 달서천로41안길 18-2 (비산동,모나리자) / 903-7번지",U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,04,직관,1,1,4,275,3,"16,500","10,920",0,"431,450",N
201704387,53000,서부사업소,,,05,급수관,201708250033,201708250922,201708250940,201708251300,D=15mm 계량기보호통 교체 수선,S,서구,서구 비산동 904-5,0303,0160,577,20179009306,서구 달서천로41안길 16-4 (비산동) / 904-5번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,4,1/5,5,237,,0,0,,"490,370",N
201502297,53000,서부사업소,,,04,배수지관,201505060455,201505061411,201505061430,201505061800,PFP D=50*15mm분기점 수선,S,서구,서구 비산동 90-51,0314,0500,252,20159006067,서구 북비산로76길 32-1 (비산동) / 90-51번지,U,지하누수,01,공도,,02,용역,,,01,15,05,PFP관,0201,이형관,02,부식,1,누수,01,소켓,2,1/2,4,125,0,"1,350","1,966",0,"668,060",N
201804054,53000,서부사업소,,,05,급수관,201805300193,201805301109,201805301200,201805301400,D=15mm 보호통 교체 수선,S,서구,서구 비산동 90-51,0314,0500,548,20189007040,서구 북비산로76길 32-1 (비산동) / 90-51번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,4,1/5,5,150,0,720,874,,"551,900",N
