FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,design_pressure,thickness,K_material,fatigue_limit,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_total,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final,0520_remaining_life_years
SA001,324846,2723063100,35803045,54000,4,100,6.0,,0,0,2006540000000.0,1,100-DTC-06,IQT903,324846,SA005,,B,243,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,2006-07-18,2006-07-18,2006-07-18,6971.0,19.085557837097877,1.0,1.3817111567419575,1.0,1.0,1.05,8.333333333333334,2.466666666666667,3.5786318959616703,26519.3826146475,721997.1101984942,0.0013895,0.00378295,0.00517245,0.018510294550266943,53.0239917460189,27254.17659137577,666668.0780287473,0.001428,0.00349305,0.00492105,0.017610626491622178,55.78389695424666,25899.10198494182,681287.6153319643,0.001357,0.00356965,0.00492665,0.017630666830239564,55.71935211689392,24858.939082819983,546715.3470225872,0.0013025,0.00286455,0.00416705,0.01491233804206708,66.05856567756457
SA001,106661,2723063100,35803045,54000,5,50,74.3,,0,0,20119006912.0,1,50-EPS-89,IQT903,106661,SA005,,B,243,520,P0,0.8,SS00201,EPS,1.6,3.2,1.0,1000000,1989-01-01,1989-01-01,1989-01-01,13378.0,36.62696783025325,0.9653426409720027,1.732539356605065,1.0,1.0,1.05,12.5,2.3625,4.148830721694616,50893.17180013689,1385579.8795345654,0.0013895,0.00378295,0.00517245,0.021459619466429318,45.59914876703034,52303.31006160164,1279398.299794661,0.001428,0.00349305,0.00492105,0.02041660342299529,47.979743558798646,49702.79534565366,1307454.5571526352,0.001357,0.00356965,0.00492665,0.020439836875036782,47.92406950768292,47706.62559890486,1049197.8069815196,0.0013025,0.0028645500000000004,0.00416705,0.017288385058837553,56.84230259776726
SA001,177138,2723063100,35803045,54000,13,20,12.16,,0,0,20119006912.0,1,20-STS-93,IQT903,177138,SA005,,B,243,520,P0,0.8,SS00201,STS,2.0,2.1,0.7,1000000,1993-01-01,1993-01-01,1993-01-01,11917.0,32.62696783025325,0.919528104378295,1.652539356605065,1.0,1.0,1.05,9.523809523809524,1.7523809523809524,1.9571886200025828,45335.17180013689,1234261.8795345654,0.0013895,0.00378295,0.00517245,0.010123460277532359,97.78045377620177,46591.31006160164,1139676.299794661,0.001428,0.00349305,0.00492105,0.00963142305846371,102.82681706845386,44274.79534565366,1164668.5571526352,0.001357,0.00356965,0.00492665,0.009642383314735724,102.70879971881803,42496.62559890486,934615.8069815194,0.0013025,0.00286455,0.00416705,0.008155702838981763,121.61358950209735
SA001,37774,2723063100,35803045,54000,13,50,54.0,,0,0,20179005392.0,1,50-STS-17,IQT903,37774,SA005,,B,461,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,2017-05-22,2017-05-22,2017-05-22,3010.0,8.240930869267626,0.9653426409720027,1.1648186173853525,1.0,1.0,1.05,17.857142857142858,2.585714285714286,2.1370154772244327,11450.773442847365,311750.29431895964,0.0013895,0.00378295,0.00517245,0.011053605705169518,89.46821703910814,11768.04928131417,287859.8357289528,0.001428,0.00349305,0.00492105,0.010516360014195295,94.08993593317177,11182.943189596168,294172.3887748118,0.001357,0.00356965,0.00492665,0.010528327300867751,93.9818495780977,10733.812457221082,236065.58521560577,0.0013025,0.00286455,0.00416705,0.008905050344368073,111.29582779758701
SA001,72241,2723063100,35803045,54000,13,25,28.25,,0,0,20119006912.0,1,25-STS-93,IQT903,72241,SA005,,B,461,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,1993-01-01,1993-01-01,1993-01-01,11917.0,32.62696783025325,0.9306852819440055,1.652539356605065,1.0,1.0,1.05,8.928571428571429,1.692857142857143,1.9136491054540412,45335.17180013689,1234261.8795345654,0.0013895,0.00378295,0.00517245,0.009898254315505756,100.02791544095668,46591.31006160164,1139676.299794661,0.001428,0.00349305,0.00492105,0.009417162930394608,105.18909403939738,44274.79534565366,1164668.5571526352,0.001357,0.00356965,0.00492665,0.009427879365385153,105.06839154853223,42496.62559890486,934615.8069815194,0.0013025,0.00286455,0.00416705,0.007974271504882263,124.4033047893777
SA001,37775,2723063100,35803045,54000,13,25,14.4,,0,0,20119006912.0,1,25-STS-93,IQT903,37775,SA005,,B,243,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,1993-01-01,1993-01-01,1993-01-01,11917.0,32.62696783025325,0.9306852819440055,1.652539356605065,1.0,1.0,1.05,8.928571428571429,1.692857142857143,1.9136491054540412,45335.17180013689,1234261.8795345654,0.0013895,0.00378295,0.00517245,0.009898254315505756,100.02791544095668,46591.31006160164,1139676.299794661,0.001428,0.00349305,0.00492105,0.009417162930394608,105.18909403939738,44274.79534565366,1164668.5571526352,0.001357,0.00356965,0.00492665,0.009427879365385153,105.06839154853223,42496.62559890486,934615.8069815194,0.0013025,0.00286455,0.00416705,0.007974271504882263,124.4033047893777
SA001,2840,2723063100,35803045,54000,13,20,10.0,,0,0,20119006912.0,1,20-STS-97,IQT903,2840,SA005,,B,461,520,P0,0.8,SS00201,STS,2.0,2.1,0.7,1000000,1997-01-01,1997-01-01,1997-01-01,10456.0,28.62696783025325,0.919528104378295,1.572539356605065,1.0,1.0,1.05,9.523809523809524,1.7523809523809524,1.8624404441274425,39777.17180013689,1082943.8795345654,0.0013895,0.00378295,0.00517245,0.00963338007522699,102.80572469797805,40879.31006160164,999954.2997946611,0.001428,0.00349305,0.00492105,0.00916516254757335,108.10881228885229,38846.79534565366,1021882.5571526352,0.0013570000000000001,0.00356965,0.00492665,0.009175592214060465,107.98479102718004,37286.62559890486,820033.8069815194,0.0013025,0.00286455,0.00416705,0.0077608824527012595,127.85132664932183
SA001,4736,2723063000,35803045,54000,10,50,56.06,,0,0,20119006912.0,1,50-PFP-91,IQT903,4736,SA005,,B,490,520,P0,0.8,SS00201,PFP,1.6,3.65,0.6,1000000,1991-01-01,1991-01-01,1991-01-01,12648.0,34.62833675564682,0.9653426409720027,1.6925667351129365,1.0,1.0,1.05,10.95890410958904,2.16986301369863,2.233573035429759,48116.073921971256,1309972.6652977413,0.0013895,0.00378295,0.00517245,0.011553044847108658,85.5572680824715,49449.26488706366,1209585.1170431213,0.001428,0.00349305,0.00492105,0.010991524586001614,89.97918966342138,46990.652977412734,1236110.4229979466,0.001357,0.00356965,0.00492665,0.011004032595000022,89.87577589095628,45103.40862422998,991946.020533881,0.0013025,0.00286455,0.00416705,0.009307410517287578,106.44126931358628
SA001,4009,2723063100,35803045,54000,13,40,64.45,,0,0,20169008427.0,1,40-STS-16,IQT903,4009,SA005,,B,243,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,2016-06-27,2016-06-27,2016-06-27,3339.0,9.141683778234086,0.9541854634062923,1.1828336755646818,1.0,1.0,1.05,14.285714285714286,2.2285714285714286,1.848716740718354,12702.369609856261,345825.32648870634,0.0013895,0.00378295,0.00517245,0.00956239490552865,103.57631272076351,13054.324435318274,319323.58521560574,0.001428,0.00349305,0.00492105,0.009097627516912055,108.91876707867493,12405.264887063655,326326.11498973303,0.001357,0.00356965,0.00492665,0.009107980330660079,108.79382516162366,11907.043121149896,261868.1026694045,0.0013025,0.00286455,0.00416705,0.007703695094410418,128.8078373747647
SA001,243995,2723063100,35803045,54000,13,20,19.43,,0,0,20119006912.0,1,20-STS-94,IQT903,243995,SA005,,B,461,520,P0,0.8,SS00201,STS,2.0,2.1,0.7,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,0.919528104378295,1.6325530458590007,1.0,1.0,1.05,9.523809523809524,1.7523809523809524,1.9335177889317912,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.010001024087360243,98.9897601750451,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.00951493771522279,104.09790289011737,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.00952576541484081,103.97844072897648,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.008057065302368221,123.11466985455225
SA001,407422,2723063100,35803045,54000,4,80,60.3,,0,0,20119006912.0,1,80-DTC-89,IQT903,407422,SA005,,B,243,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,1989-01-01,1989-01-01,1989-01-01,13378.0,36.62696783025325,0.9888428224342896,1.732539356605065,1.0,1.0,1.05,6.666666666666667,2.1333333333333337,3.837588400495004,50893.17180013689,1385579.8795345654,0.0013895,0.00378295,0.00517245,0.019849734122140385,49.37850854055523,52303.31006160164,1279398.299794661,0.001428,0.00349305,0.00492105,0.01888496439825594,51.95217819379907,49702.79534565366,1307454.5571526352,0.001357,0.00356965,0.00492665,0.018906454893298712,51.89198877545491,47706.62559890486,1049197.8069815196,0.0013025,0.0028645500000000004,0.00416705,0.015991422744282707,61.53352287603819
SA001,408602,2723063100,35803045,54000,13,50,74.66,,0,0,20079008326.0,1,50-STS-07,IQT903,408602,SA005,,B,243,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,2007-11-14,2007-11-14,2007-11-14,6487.0,17.760438056125942,0.9653426409720027,1.355208761122519,1.0,1.0,1.05,17.857142857142858,2.585714285714286,2.4863116490100414,24678.128678986996,671868.4914442163,0.0013895,0.00378295,0.00517245,0.01286032268892199,76.75854651465394,25361.905544147845,620380.9815195072,0.001428,0.00349305,0.00492105,0.012235263940360864,80.73097081308295,24100.914442162903,633985.4770704997,0.001357,0.00356965,0.00492665,0.012249187285595322,80.63806925998838,23132.97056810404,508756.6283367557,0.0013025,0.00286455,0.00416705,0.010360584957007294,95.51964673323377
SA001,143928,2723063000,35803045,54000,13,25,23.87,,0,0,20119006912.0,1,25-STS-93,IQT903,143928,SA005,,B,490,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,1993-01-01,1993-01-01,1993-01-01,11917.0,32.62696783025325,0.9306852819440055,1.652539356605065,1.0,1.0,1.05,8.928571428571429,1.692857142857143,1.9136491054540412,45335.17180013689,1234261.8795345654,0.0013895,0.00378295,0.00517245,0.009898254315505756,100.02791544095668,46591.31006160164,1139676.299794661,0.001428,0.00349305,0.00492105,0.009417162930394608,105.18909403939738,44274.79534565366,1164668.5571526352,0.001357,0.00356965,0.00492665,0.009427879365385153,105.06839154853223,42496.62559890486,934615.8069815194,0.0013025,0.00286455,0.00416705,0.007974271504882263,124.4033047893777
SA001,413291,2723063100,35803045,54000,10,80,41.03,,0,0,20119006912.0,1,80-PFP-95,IQT903,413291,SA005,,B,461,520,P0,1.0,SS00201,PFP,1.6,4.5,0.6,1000000,1995-01-01,1995-01-01,1995-01-01,11187.0,30.628336755646817,0.9888428224342896,1.6125667351129365,1.0,1.0,1.05,14.222222222222221,2.5777777777777775,2.5895898677414624,42558.073921971256,1158654.6652977413,0.0013895000000000003,0.00378295,0.00517245,0.013394524111399329,73.65737428841956,43737.264887063655,1069863.1170431213,0.001428,0.00349305,0.00492105,0.012743501218649122,77.47137006088859,41562.652977412734,1093324.4229979466,0.001357,0.00356965,0.00492665,0.012758002921908476,77.38217361455264,39893.40862422998,877364.0205338809,0.0013025,0.00286455,0.00416705,0.010790950458372061,91.67024289080662
SA001,413292,2723063100,35803045,54000,4,80,4.76,,0,0,20089008360.0,1,80-DTC-08,IQT903,413292,SA005,,B,461,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,2008-08-11,2008-08-11,2008-08-11,6216.0,17.018480492813143,0.9888428224342896,1.3403696098562627,1.0,1.0,1.05,6.666666666666667,2.1333333333333337,2.9689293045785288,23647.178644763862,643800.6078028748,0.0013895,0.00378295,0.00517245,0.015356638381467213,64.11841818238202,24302.390143737168,594464.0328542095,0.001428,0.00349305,0.00492105,0.014610249554296168,67.44510056338828,23094.078028747437,607500.1889117043,0.001357,0.00356965,0.00492665,0.01462687555840181,67.3673007271598,22166.57084188912,487502.8829568789,0.0013025,0.00286455,0.00416705,0.01237167685864396,79.82978657022637
SA001,413296,2723063100,35803045,54000,10,100,53.9,,0,0,20119006912.0,1,100-PFP-95,IQT903,413296,SA005,,B,461,520,P0,1.0,SS00201,PFP,1.6,4.9,0.6,1000000,1995-01-01,1995-01-01,1995-01-01,11187.0,30.628336755646817,1.0,1.6125667351129365,1.0,1.0,1.05,16.3265306122449,2.8408163265306126,2.886033722499267,42558.073921971256,1158654.6652977413,0.0013895000000000003,0.00378295,0.00517245,0.014927865127941335,65.98881530810746,43737.264887063655,1069863.1170431213,0.001428,0.00349305,0.00492105,0.014202316250105016,69.41105002802664,41562.652977412734,1093324.4229979466,0.001357,0.00356965,0.00492665,0.014218478038951014,69.33101554614605,39893.40862422998,877364.0205338809,0.0013025,0.00286455,0.00416705,0.01202624682334057,82.15146152324078
SA001,413297,2723063100,35803045,54000,4,100,2.27,,0,0,20089008360.0,1,100-DTC-08,IQT903,413297,SA005,,B,461,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,2008-08-11,2008-08-11,2008-08-11,6216.0,17.018480492813143,1.0,1.3403696098562627,1.0,1.0,1.05,8.333333333333334,2.466666666666667,3.4715572895277207,23647.178644763862,643800.6078028748,0.0013895,0.00378295,0.00517245,0.01795645650221766,54.69027496469016,24302.390143737168,594464.0328542095,0.001428,0.00349305,0.00492105,0.01708370699963039,57.535305014399704,23094.078028747437,607500.1889117043,0.001357,0.00356965,0.00492665,0.017103147720451746,57.46876939525065,22166.57084188912,487502.8829568789,0.0013025,0.00286455,0.00416705,0.01446615280332649,68.12687938496337
SA001,413300,2723063100,35803045,54000,4,100,2.35,,0,0,20089008360.0,1,100-DTC-08,IQT903,413300,SA005,,B,243,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,2008-08-11,2008-08-11,2008-08-11,6216.0,17.018480492813143,1.0,1.3403696098562627,1.0,1.0,1.05,8.333333333333334,2.466666666666667,3.4715572895277207,23647.178644763862,643800.6078028748,0.0013895,0.00378295,0.00517245,0.01795645650221766,54.69027496469016,24302.390143737168,594464.0328542095,0.001428,0.00349305,0.00492105,0.01708370699963039,57.535305014399704,23094.078028747437,607500.1889117043,0.001357,0.00356965,0.00492665,0.017103147720451746,57.46876939525065,22166.57084188912,487502.8829568789,0.0013025,0.00286455,0.00416705,0.01446615280332649,68.12687938496337
SA001,413303,2723063100,35803045,54000,10,100,9.59,,0,0,20119006912.0,1,100-PFP-95,IQT903,413303,SA005,,B,461,520,P0,1.0,SS00201,PFP,1.6,4.9,0.6,1000000,1995-01-01,1995-01-01,1995-01-01,11187.0,30.628336755646817,1.0,1.6125667351129365,1.0,1.0,1.05,16.3265306122449,2.8408163265306126,2.886033722499267,42558.073921971256,1158654.6652977413,0.0013895000000000003,0.00378295,0.00517245,0.014927865127941335,65.98881530810746,43737.264887063655,1069863.1170431213,0.001428,0.00349305,0.00492105,0.014202316250105016,69.41105002802664,41562.652977412734,1093324.4229979466,0.001357,0.00356965,0.00492665,0.014218478038951014,69.33101554614605,39893.40862422998,877364.0205338809,0.0013025,0.00286455,0.00416705,0.01202624682334057,82.15146152324078
SA001,413304,2723063100,35803045,54000,4,100,2.04,,0,0,20089008360.0,1,100-DTC-08,IQT903,413304,SA005,,B,461,520,P0,1.0,SS00201,DTC,1.0,6.0,1.0,1000000,2008-08-11,2008-08-11,2008-08-11,6216.0,17.018480492813143,1.0,1.3403696098562627,1.0,1.0,1.05,8.333333333333334,2.466666666666667,3.4715572895277207,23647.178644763862,643800.6078028748,0.0013895,0.00378295,0.00517245,0.01795645650221766,54.69027496469016,24302.390143737168,594464.0328542095,0.001428,0.00349305,0.00492105,0.01708370699963039,57.535305014399704,23094.078028747437,607500.1889117043,0.001357,0.00356965,0.00492665,0.017103147720451746,57.46876939525065,22166.57084188912,487502.8829568789,0.0013025,0.00286455,0.00416705,0.01446615280332649,68.12687938496337
SA001,420515,2723063000,35803045,54000,13,50,18.0,,0,0,20109001284.0,1,50-STS-10,IQT903,420515,SA005,,B,490,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,2010-01-26,2010-01-26,2010-01-26,5683.0,15.55920602327173,0.9653426409720027,1.3111841204654346,1.0,1.0,1.05,17.857142857142858,2.585714285714286,2.40554256010707,21619.51676933607,588596.9842573579,0.0013895,0.00378295,0.00517245,0.012442548615025816,79.36938660560139,22218.54620123203,543490.8459958932,0.001428,0.00349305,0.00492105,0.011837795215414898,83.47518999972424,21113.84257357974,555409.1978097194,0.001357,0.00356965,0.00492665,0.011851266253751498,83.37916916122373,20265.86584531143,445701.2361396304,0.0013025,0.00286455,0.00416705,0.010024016125094168,98.76041414145328
SA001,420516,2723063000,35803045,54000,13,50,3.0,,0,0,20109001284.0,1,50-STS-10,IQT903,420516,SA005,,B,490,520,P0,0.8,SS00201,STS,2.0,2.8,0.7,1000000,2010-01-26,2010-01-26,2010-01-26,5683.0,15.55920602327173,0.9653426409720027,1.3111841204654346,1.0,1.0,1.05,17.857142857142858,2.585714285714286,2.40554256010707,21619.51676933607,588596.9842573579,0.0013895,0.00378295,0.00517245,0.012442548615025816,79.36938660560139,22218.54620123203,543490.8459958932,0.001428,0.00349305,0.00492105,0.011837795215414898,83.47518999972424,21113.84257357974,555409.1978097194,0.001357,0.00356965,0.00492665,0.011851266253751498,83.37916916122373,20265.86584531143,445701.2361396304,0.0013025,0.00286455,0.00416705,0.010024016125094168,98.76041414145328
