FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,design_pressure,thickness,K_material,fatigue_limit,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_total,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final,0520_remaining_life_years
SA002,210448,2723061000,35803044,54000,1,13,5,,0,0,1800010000000.0,1,13-94,210448,SA006,,81905,B,461,520,P0,0,SS002,STS,2.0,1.74,0.7,1000000,1994-12-20,1994-12-20,1994-12-20,11199.0,30.661190965092402,0.8979889585736722,1.6132238193018482,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.141519933193727,42603.724845995894,1159897.523613963,0.0013895,0.00378295,0.00517245,0.011076904778447893,89.27792691200881,43784.18069815195,1071010.7310061601,0.001428,0.00349305,0.00492105,0.01053852666724299,93.88992451936477,41607.23613963039,1094497.203285421,0.001357,0.00356965,0.00492665,0.010550519178868876,93.78206551226897,39936.20123203285,878305.1457905544,0.0013025,0.00286455,0.00416705,0.00892382063761492,111.05962564788518
SA002,105138,2723061000,35803044,54000,1,13,4,,0,0,1800010000000.0,1,,105138,SA006,,14974,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.0,1.2,1.05,7.471264367816092,1.547126436781609,1.961086858257088,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.010143623719991874,97.58409850407986,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.009650606483826043,102.62043066163275,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.009661588570232284,102.50264790627055,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.0081719469927002,121.36985884676878
SA002,175905,2723061000,35803044,54000,1,13,8,,0,0,1800010000000.0,1,13-94,175905,SA006,,177126,B,461,520,P0,0,SS002,STS,2.0,1.74,0.7,1000000,1994-12-20,1994-12-20,1994-12-20,11199.0,30.661190965092402,0.8979889585736722,1.6132238193018482,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.141519933193727,42603.724845995894,1159897.523613963,0.0013895,0.00378295,0.00517245,0.011076904778447893,89.27792691200881,43784.18069815195,1071010.7310061601,0.001428,0.00349305,0.00492105,0.01053852666724299,93.88992451936477,41607.23613963039,1094497.203285421,0.001357,0.00356965,0.00492665,0.010550519178868876,93.78206551226897,39936.20123203285,878305.1457905544,0.0013025,0.00286455,0.00416705,0.00892382063761492,111.05962564788518
SA002,71418,2723061000,35803044,54000,1,13,12,,0,0,1800010000000.0,1,,71418,SA006,,196912,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6342390485475733,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.008453019766659896,117.30091820489582,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.008042172069855035,123.34451679395931,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.008051323808526903,123.20317748752467,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.006809955827250165,145.84383061612255
SA002,2821,2723061000,35803044,54000,1,13,6,,0,0,1800010000000.0,1,,2821,SA006,,88505,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1994-12-20,,1994-12-20,11199.0,30.661190965092402,0.8979889585736722,1.6132238193018482,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.141519933193727,42603.724845995894,1159897.523613963,0.0013895,0.00378295,0.00517245,0.011076904778447893,89.27792691200881,43784.18069815195,1071010.7310061601,0.001428,0.00349305,0.00492105,0.01053852666724299,93.88992451936477,41607.23613963039,1094497.203285421,0.001357,0.00356965,0.00492665,0.010550519178868876,93.78206551226897,39936.20123203285,878305.1457905544,0.0013025,0.00286455,0.00416705,0.00892382063761492,111.05962564788518
SA002,278246,2723061000,35803044,54000,1,13,10,,0,0,1800010000000.0,1,,278246,SA006,,41640,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-05-26,,1992-05-26,12137.0,33.229295003422315,0.8979889585736722,1.6645859000684462,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.209701991043317,46172.10540725531,1257047.6153319646,0.0013895,0.00378295,0.00517245,0.011429573063572005,86.49233190408225,47451.43326488707,1160715.8891170432,0.001428,0.00349305,0.00492105,0.010874053983023714,90.96202277100826,45092.15331964408,1186169.5290896646,0.001357,0.00356965,0.00492665,0.010886428314173559,90.8574918366984,43281.156741957566,951869.7700205339,0.0013025,0.00286455,0.00416705,0.009207938681777056,107.60193953930722
SA002,139357,2723061000,35803044,54000,1,13,14,,0,0,2003080000000.0,1,,139357,SA006,,216817,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1986-06-07,,1986-06-07,14317.0,39.19780971937029,0.8979889585736722,1.7839561943874058,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.368163490096737,54465.35660506502,1482833.5427789185,0.0013895,0.00378295,0.00517245,0.012249207244350867,80.63793623960306,55974.47227926077,1369199.092402464,0.001428,0.00349305,0.00492105,0.011653850942940547,84.80854559545926,53191.42778918549,1399224.6146475016,0.001357,0.00356965,0.00492665,0.01166711265848509,84.71100916495689,51055.147159479806,1122840.8583162217,0.0013025,0.0028645500000000004,0.00416705,0.009868255671407608,100.33503156970396
SA002,105139,2723061000,35803044,54000,1,13,30,,0,0,1800010000000.0,1,13-95,105139,SA006,,164134,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.3,1.2,1.05,7.471264367816092,1.547126436781609,2.5494129157342145,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.013186710835989438,74.83392192621527,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.012545788428973855,78.70802358587136,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.012560065141301969,78.61742146636198,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.01062353109051026,93.1306606513606
SA002,142109,2723061000,35803044,54000,1,13,18,,0,0,1800010000000.0,1,,142109,SA006,,81903,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6342390485475733,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.008453019766659896,117.30091820489582,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.008042172069855035,123.34451679395931,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.008051323808526903,123.20317748752467,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.006809955827250165,145.84383061612255
SA002,24848,2723061000,35803044,54000,1,13,2,,0,0,2002050000000.0,1,,24848,SA006,,163501,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1993-03-26,,1993-03-26,11833.0,32.39698836413415,0.8979889585736722,1.6479397672826832,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.1876046076890785,45015.61533196441,1225561.871321013,0.0013895,0.00378295,0.00517245,0.011315275453041375,87.37610751501548,46262.89938398357,1131643.002053388,0.001428,0.00349305,0.00492105,0.01076531165466834,91.89094752462215,43962.713210130045,1156459.0951403147,0.001357,0.00356965,0.00492665,0.010777562240471399,91.78536070474699,42197.077344284735,928027.9301848048,0.0013025,0.00286455,0.00416705,0.009115857780470775,108.6989470527212
SA002,36447,2723061000,35803044,54000,1,13,6,,0,0,1800010000000.0,1,,36447,SA006,,177124,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.3,1.2,1.05,7.471264367816092,1.547126436781609,2.5494129157342145,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.013186710835989438,74.83392192621527,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.012545788428973855,78.70802358587136,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.012560065141301969,78.61742146636198,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.01062353109051026,93.1306606513606
SA002,71412,2723061000,35803044,54000,1,13,10,,0,0,1800010000000.0,1,,71412,SA006,,164135,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1993-08-16,,1993-08-16,11690.0,32.00547570157426,0.8979889585736722,1.6401095140314852,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.1772101148612624,44471.608487337435,1210751.1430527035,0.0013895,0.00378295,0.00517245,0.011261510458614137,87.79803501270841,45703.819301848045,1117967.2689938399,0.001428,0.00349305,0.00492105,0.010714159835738014,92.33442988823191,43431.430527036275,1142483.4633812457,0.001357,0.00356965,0.00492665,0.010726352212381239,92.22833897303107,41687.13210130048,916812.8542094455,0.0013025,0.00286455,0.00416705,0.009072543409132624,109.22267460229264
SA002,244031,2723061000,35803044,54000,1,13,9,,0,0,1800010000000.0,1,,244031,SA006,,62010,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-11,,1995-08-11,10965.0,30.02053388090349,0.8979889585736722,1.6004106776180698,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6342390485475733,41713.5318275154,1135661.7864476386,0.0013895,0.00378295,0.00517245,0.008453019766659896,117.30091820489582,42869.322381930186,1048632.2587268993,0.001428,0.00349305,0.00492105,0.008042172069855035,123.34451679395931,40737.864476386036,1071627.9876796715,0.001357,0.00356965,0.00492665,0.008051323808526903,123.20317748752467,39101.7453798768,859953.2032854209,0.0013025,0.00286455,0.00416705,0.006809955827250165,145.84383061612255
SA002,36441,2723061000,35803044,54000,1,13,21,,0,0,1800010000000.0,1,,36441,SA006,,138897,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1995-08-22,,1995-08-22,10954.0,29.99041752224504,0.8979889585736722,1.5998083504449008,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.123711186740475,41671.68514715948,1134522.4996577688,0.0013894999999999997,0.00378295,0.00517245,0.010984789927855771,90.03496803922947,42826.31622176592,1047580.2792607803,0.001428,0.00349305,0.00492105,0.010450888935509215,94.68564034799739,40696.99657768652,1070552.93908282,0.001357,0.00356965,0.00492665,0.010462781718154963,94.5768768705941,39062.51882272417,859090.5051334703,0.0013025000000000003,0.00286455,0.00416705,0.008849610700706898,111.99932096675406
SA002,210447,2723061000,35803044,54000,1,13,7,,0,0,1800010000000.0,1,,210447,SA006,,14982,B,461,520,P0,0,,STS,2.0,1.74,0.7,1000000,1988-07-11,,1988-07-11,13552.0,37.10335386721424,0.8979889585736722,1.7420670773442848,1.3,1.0,1.05,7.471264367816092,1.547126436781609,2.312556587905972,51555.110198494185,1403601.325119781,0.0013895,0.00378295,0.00517245,0.011961583323114247,82.6009726294032,52983.58932238193,1296038.702258727,0.001428,0.00349305,0.00492105,0.011380206596914683,86.87186695460456,50349.251197809725,1324459.871321013,0.001357,0.00356965,0.00492665,0.011393156913806959,86.77198519824965,48327.11841204655,1062844.1232032855,0.0013025,0.00286455,0.00416705,0.009636538929633582,102.77169721432587
