FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
4689,3145021,대학로,35.0,3
4691,,,,
4698,3145021,대학로,35.0,3
4699,4235143,대학로15길,5.0,4
4700,4235145,대학로23길,7.0,4
4701,4235145,대학로23길,7.0,4
4702,4235144,대학로17길,8.0,4
4703,4235144,대학로17길,8.0,4
4704,,,,
4705,4235143,대학로15길,5.0,4
4706,4235142,대학로13길,5.0,4
4708,4235142,대학로13길,5.0,4
4709,4235142,대학로13길,5.0,4
4710,,,,
4712,4235143,대학로15길,5.0,4
4713,4235232,산격로8길,6.0,4
4714,4235144,대학로17길,3.0,4
4715,4235144,대학로17길,8.0,4
4716,4235144,대학로17길,8.0,4
4717,4235232,산격로8길,6.0,4
4718,4235133,대동로6길,6.0,4
4719,4235133,대동로6길,6.0,4
4720,4235133,대동로6길,6.0,4
4721,4235145,대학로23길,5.0,4
4722,4235145,대학로23길,7.0,4
4723,4235133,대동로6길,6.0,4
4724,4235145,대학로23길,5.0,4
4725,4235145,대학로23길,5.0,4
4726,4235145,대학로23길,7.0,4
4727,,,,
4729,4235145,대학로23길,7.0,4
4730,3145021,대학로,35.0,3
4731,3145021,대학로,35.0,3
4732,,,,
4733,3145021,대학로,35.0,3
4734,3145021,대학로,35.0,3
4735,,,,
4739,3145029,산격로,14.0,3
4740,,,,
4741,,,,
4742,3145029,산격로,14.0,3
4743,3145029,산격로,3.0,3
4744,4235147,대학로9길,6.0,4
4746,3145021,대학로,6.0,3
4748,3145021,대학로,6.0,3
4749,,,,
4750,,,,
4751,4235147,대학로9길,6.0,4
4752,,,,
4753,4235231,산격로6길,6.0,4
4754,,,,
4755,,,,
4756,4235147,대학로9길,6.0,4
4757,,,,
4758,,,,
4759,4235232,산격로8길,1.0,4
4760,,,,
4761,4235231,산격로6길,6.0,4
4762,4235147,대학로9길,6.0,4
4763,4235147,대학로9길,6.0,4
4764,4235232,산격로8길,2.0,4
4765,,,,
4766,4235147,대학로9길,6.0,4
4767,4235232,산격로8길,1.0,4
4769,,,,
4770,4235232,산격로8길,6.0,4
4771,,,,
4773,,,,
4775,4235147,대학로9길,6.0,4
4776,,,,
4778,,,,
4779,,,,
4780,4235280,연암로4길,4.0,4
4781,,,,
4782,3145017,대구체육관로,13.0,3
4783,4235280,연암로4길,2.0,4
4784,4235124,대구체육관로2길,6.0,4
4785,3145021,대학로,35.0,3
4791,4235280,연암로4길,4.0,4
4792,,,,
4794,4235280,연암로4길,2.0,4
4795,4235280,연암로4길,6.0,4
4796,,,,
4797,4235272,연암로2길,6.0,4
4799,4235280,연암로4길,2.0,4
4800,,,,
4801,,,,
4803,,,,
4804,3145021,대학로,35.0,3
4805,3145021,대학로,35.0,3
4808,4235124,대구체육관로2길,2.0,4
4809,4235124,대구체육관로2길,3.0,4
4810,4235124,대구체육관로2길,3.0,4
4811,4235124,대구체육관로2길,3.0,4
4812,4235124,대구체육관로2길,6.0,4
4813,,,,
4814,4235230,산격로1길,6.0,4
4815,4235230,산격로1길,6.0,4
4816,4235230,산격로1길,6.0,4
4817,4235230,산격로1길,6.0,4
4818,,,,
4819,,,,
4820,,,,
4821,4235230,산격로1길,6.0,4
4822,,,,
4823,,,,
4824,,,,
4825,,,,
4826,4235123,대구체육관로12길,7.0,4
4827,4235123,대구체육관로12길,7.0,4
4828,3145017,대구체육관로,30.0,3
4984,,,,
7300,4235235,산격로서9길,6.0,4
7361,4235272,연암로2길,6.0,4
7396,4235235,산격로서9길,3.0,4
18482,,,,
24494,4235147,대학로9길,6.0,4
24699,4235272,연암로2길,6.0,4
24718,4235232,산격로8길,6.0,4
24836,4235232,산격로8길,6.0,4
24848,,,,
30752,4235235,산격로서9길,6.0,4
36403,,,,
36406,4235267,연암로12길,8.0,4
36407,3145033,연암공원로,3.0,3
36410,4235251,연암공원로10길,6.0,4
36420,,,,
36421,4235265,연암공원로7길,3.0,4
36423,4235266,연암공원로8길,6.0,4
36424,3145034,연암로,3.0,3
36425,3145034,연암로,3.0,3
36426,3145034,연암로,25.0,3
36427,,,,
36428,4235267,연암로12길,8.0,4
36429,4235267,연암로12길,8.0,4
36430,,,,
36431,3145034,연암로,3.0,3
36432,3145034,연암로,25.0,3
36433,,,,
36434,,,,
36435,,,,
36436,,,,
36437,4235267,연암로12길,2.0,4
36438,4235267,연암로12길,4.0,4
36439,4235267,연암로12길,4.0,4
36440,4235267,연암로12길,3.0,4
36441,3145033,연암공원로,3.0,3
36442,3145033,연암공원로,3.0,3
36443,4235267,연암로12길,2.0,4
36444,4235267,연암로12길,2.0,4
36445,3145033,연암공원로,3.0,3
36446,,,,
36447,4235264,연암공원로6길,8.0,4
36448,4235266,연암공원로8길,6.0,4
36449,,,,
36450,4235266,연암공원로8길,6.0,4
36451,3145033,연암공원로,3.0,3
36452,4235266,연암공원로8길,6.0,4
36453,3145033,연암공원로,10.0,3
36454,4235266,연암공원로8길,3.0,4
36461,3145033,연암공원로,3.0,3
36462,,,,
36464,3145033,연암공원로,4.0,3
36465,,,,
36466,4235255,연암공원로14길,2.0,4
36467,,,,
36468,,,,
36469,,,,
36470,,,,
36471,,,,
36472,,,,
36473,,,,
36474,4235254,연암공원로13길,3.0,4
36475,4235254,연암공원로13길,4.0,4
36476,4235252,연암공원로11길,6.0,4
36477,4235254,연암공원로13길,3.0,4
36478,4235254,연암공원로13길,3.0,4
36479,4235252,연암공원로11길,6.0,4
36481,4235252,연암공원로11길,6.0,4
36482,4235252,연암공원로11길,5.0,4
36483,,,,
36484,3145033,연암공원로,10.0,3
36485,,,,
36487,,,,
36488,,,,
36489,4235225,산격로11길,5.0,4
36490,4235225,산격로11길,6.0,4
36491,4235251,연암공원로10길,3.0,4
36492,4235251,연암공원로10길,3.0,4
36493,4235251,연암공원로10길,3.0,4
36494,,,,
36929,4235251,연암공원로10길,4.0,4
36936,3145033,연암공원로,10.0,3
36990,3145033,연암공원로,10.0,3
36991,,,,
36992,,,,
