FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
107323,4235143,대학로15길,5.0,4
107324,4235143,대학로15길,5.0,4
107364,3145029,산격로,14.0,3
107365,3145021,대학로,35.0,3
107367,4235231,산격로6길,6.0,4
107368,4235147,대학로9길,6.0,4
107416,3145017,대구체육관로,30.0,3
107417,3145017,대구체육관로,30.0,3
107418,4235121,대구체육관로10길,6.0,4
107420,4235121,대구체육관로10길,6.0,4
110836,4235233,산격로9길,15.0,4
110958,3145021,대학로,35.0,3
110974,3145029,산격로,14.0,3
110975,3145029,산격로,14.0,3
110993,4235224,산격로10길,8.0,4
116528,4235147,대학로9길,6.0,4
116631,4235142,대학로13길,5.0,4
116648,,,,
128730,4235147,대학로9길,6.0,4
141944,,,,
141947,,,,
141950,3145033,연암공원로,10.0,3
141955,,,,
141956,4235255,연암공원로14길,5.0,4
141957,4235225,산격로11길,6.0,4
141958,4235235,산격로서9길,3.0,4
142051,2007001,중앙대로,40.0,2
142052,3145033,연암공원로,10.0,3
142067,,,,
142068,4235254,연암공원로13길,4.0,4
142069,3145033,연암공원로,10.0,3
142070,,,,
142071,4235265,연암공원로7길,2.0,4
142119,3145033,연암공원로,10.0,3
142120,4235266,연암공원로8길,6.0,4
142121,4235266,연암공원로8길,1.0,4
142123,4235267,연암로12길,2.0,4
142174,4235251,연암공원로10길,6.0,4
142175,4235252,연암공원로11길,4.0,4
142176,,,,
142177,4235251,연암공원로10길,6.0,4
142178,3145033,연암공원로,10.0,3
142909,3145021,대학로,35.0,3
142910,3145021,대학로,6.0,3
142911,3145029,산격로,14.0,3
142914,4235125,대구체육관로4길,2.0,4
142915,,,,
142917,4235128,대동로10길,8.0,4
142919,4235134,대동로8길,6.0,4
142920,,,,
142921,4235147,대학로9길,4.0,4
142923,4235227,산격로14길,6.0,4
142924,4235227,산격로14길,6.0,4
142926,,,,
142928,4235226,산격로13길,7.0,4
142929,,,,
142930,,,,
142932,,,,
142995,4235226,산격로13길,7.0,4
142997,4235128,대동로10길,8.0,4
143020,4235227,산격로14길,6.0,4
143035,4235146,대학로25길,6.0,4
143068,,,,
143072,4235146,대학로25길,6.0,4
143086,4235147,대학로9길,6.0,4
143088,3145029,산격로,14.0,3
143126,4235134,대동로8길,6.0,4
143127,4235146,대학로25길,6.0,4
143128,4235146,대학로25길,4.0,4
143129,4235224,산격로10길,3.0,4
143131,4235133,대동로6길,2.0,4
143182,3145017,대구체육관로,30.0,3
143184,4235233,산격로9길,15.0,4
143186,4235255,연암공원로14길,6.0,4
143187,4235226,산격로13길,7.0,4
143188,,,,
143189,3145033,연암공원로,10.0,3
143230,4235226,산격로13길,4.0,4
143232,4235255,연암공원로14길,5.0,4
143233,4235255,연암공원로14길,6.0,4
143234,4235226,산격로13길,5.0,4
143235,,,,
143236,3145033,연암공원로,1.0,3
143369,4235259,연암공원로20길,6.0,4
143877,4235145,대학로23길,7.0,4
143878,4235145,대학로23길,7.0,4
143879,4235232,산격로8길,6.0,4
143880,3145021,대학로,35.0,3
143884,4235231,산격로6길,6.0,4
143924,4235142,대학로13길,8.0,4
143927,4235147,대학로9길,6.0,4
143928,4235142,대학로13길,5.0,4
143929,4235147,대학로9길,2.0,4
143976,4235272,연암로2길,6.0,4
143982,4235272,연암로2길,6.0,4
143984,3145029,산격로,3.0,3
143985,3145017,대구체육관로,30.0,3
144224,,,,
144225,,,,
144226,,,,
146477,,,,
146525,4235147,대학로9길,6.0,4
146526,4235147,대학로9길,6.0,4
157968,4235231,산격로6길,6.0,4
164021,4235227,산격로14길,3.0,4
164023,4235272,연암로2길,6.0,4
170309,3145029,산격로,14.0,3
175745,,,,
175746,,,,
175747,3018037,호국로,40.0,3
175753,3007005,동북로,35.0,3
175756,3145017,대구체육관로,30.0,3
175848,3145033,연암공원로,10.0,3
175859,4235266,연암공원로8길,6.0,4
175860,4235266,연암공원로8길,3.0,4
175861,4235266,연암공원로8길,6.0,4
175862,4235266,연암공원로8길,3.0,4
175863,4235266,연암공원로8길,3.0,4
175866,,,,
175868,4235252,연암공원로11길,4.0,4
175888,3145034,연암로,25.0,3
175889,3145034,연암로,25.0,3
175926,4235266,연암공원로8길,1.0,4
175927,3145034,연암로,3.0,3
176380,4235252,연암공원로11길,4.0,4
176381,4235254,연암공원로13길,6.0,4
176382,4235225,산격로11길,6.0,4
176383,,,,
177096,4235251,연암공원로10길,6.0,4
177107,3145034,연암로,25.0,3
177110,4235144,대학로17길,8.0,4
177111,4235144,대학로17길,8.0,4
177112,4235145,대학로23길,5.0,4
177114,4235147,대학로9길,6.0,4
177115,4235142,대학로13길,2.0,4
177116,3145029,산격로,14.0,3
177117,3145029,산격로,14.0,3
177118,4235232,산격로8길,6.0,4
177120,4235147,대학로9길,6.0,4
177124,,,,
177125,4235280,연암로4길,6.0,4
177126,,,,
