CLUSTER_ID,REPAIR_COUNT,CNT_JNT,PIPE_TYPE,DISTANCE_M,IS_FREQUENT
131.0,4.0,2,SPLY_LS,8.049269817938805,True
132.0,2.0,3,PIPE_LM,8.08004143209699,False
133.0,3.0,2,SPLY_LS,5.555539331662165,False
134.0,3.0,2,SPLY_LS,7.090213909261353,False
135.0,2.0,2,SPLY_LS,4.486046916923699,False
136.0,2.0,2,PIPE_LM,5.209349436096676,False
137.0,2.0,2,SPLY_LS,7.62099407880206,False
138.0,2.0,2,SPLY_LS,13.657818442844743,False
139.0,4.0,2,SPLY_LS,3.7248807664985946,True
140.0,3.0,1,SPLY_LS,3.3039028909527755,False
141.0,3.0,1,SPLY_LS,5.51786675291204,False
142.0,2.0,2,SPLY_LS,7.7779730175648405,False
143.0,3.0,2,SPLY_LS,7.20170717752503,False
144.0,3.0,2,SPLY_LS,8.776648624108939,False
145.0,2.0,2,PIPE_LM,5.837178658560439,False
146.0,2.0,4,PIPE_LM,9.233855082537653,False
147.0,3.0,2,SPLY_LS,11.327747546733468,False
148.0,2.0,2,SPLY_LS,8.990562232367395,False
149.0,4.0,2,SPLY_LS,4.638066828102575,True
150.0,2.0,1,SPLY_LS,7.276689887214294,False
151.0,2.0,2,SPLY_LS,10.614545935353503,False
152.0,2.0,1,SPLY_LS,15.246369160660603,False
153.0,2.0,2,SPLY_LS,6.389366333556232,False
154.0,2.0,2,SPLY_LS,19.380417365671374,False
155.0,2.0,4,PIPE_LM,5.3353013283348725,False
156.0,2.0,2,PIPE_LM,6.630072016738646,False
157.0,3.0,2,SPLY_LS,6.643717891494081,False
158.0,2.0,1,SPLY_LS,7.915422569215086,False
159.0,2.0,2,SPLY_LS,6.867110803476107,False
160.0,2.0,2,SPLY_LS,6.663203591231944,False
161.0,2.0,2,SPLY_LS,7.084533761008759,False
162.0,2.0,1,SPLY_LS,10.279749435351352,False
163.0,2.0,3,PIPE_LM,5.51774229548533,False
164.0,2.0,2,PIPE_LM,6.532826367560246,False
165.0,2.0,1,SPLY_LS,6.932808026182026,False
166.0,2.0,2,SPLY_LS,6.203900403929051,False
167.0,2.0,2,PIPE_LM,18.21193580965747,False
168.0,2.0,1,SPLY_LS,6.768476107955635,False
169.0,2.0,2,SPLY_LS,7.654984637296462,False
170.0,2.0,2,SPLY_LS,5.727448787604554,False
171.0,2.0,4,PIPE_LM,7.425153191750828,False
172.0,2.0,2,SPLY_LS,4.3826403138399765,False
173.0,2.0,2,SPLY_LS,5.577436251252771,False
174.0,2.0,2,PIPE_LM,7.57725727195071,False
175.0,3.0,2,SPLY_LS,8.156810139203618,False
176.0,2.0,2,SPLY_LS,44.29629642540427,False
177.0,2.0,1,SPLY_LS,7.118416747615147,False
178.0,3.0,2,SPLY_LS,4.577643991172215,False
179.0,2.0,2,SPLY_LS,12.529384708956002,False
180.0,2.0,2,SPLY_LS,6.281655388230902,False
181.0,2.0,1,SPLY_LS,7.493768831269128,False
182.0,2.0,1,SPLY_LS,5.692890777006618,False
183.0,2.0,2,SPLY_LS,7.323432361334144,False
184.0,2.0,2,SPLY_LS,6.3981069046973875,False
185.0,2.0,2,SPLY_LS,6.193627546818328,False
186.0,3.0,3,PIPE_LM,6.586590161541537,False
187.0,3.0,2,SPLY_LS,8.320613274548418,False
188.0,2.0,1,SPLY_LS,7.177281906042183,False
189.0,2.0,3,PIPE_LM,7.72608374107932,False
190.0,2.0,3,SPLY_LS,8.076884254578186,False
191.0,2.0,2,SPLY_LS,7.037232285920311,False
192.0,2.0,3,PIPE_LM,7.315164322743953,False
193.0,2.0,3,PIPE_LM,2.1639415115066645,False
194.0,2.0,1,SPLY_LS,6.638525828295344,False
195.0,2.0,4,PIPE_LM,6.8872230846322084,False
196.0,3.0,3,PIPE_LM,3.501799859055167,False
197.0,2.0,2,SPLY_LS,9.142369056175683,False
198.0,3.0,2,SPLY_LS,8.170415934150725,False
199.0,2.0,2,SPLY_LS,7.998310098297824,False
200.0,2.0,1,SPLY_LS,4.470226458369422,False
201.0,2.0,2,SPLY_LS,5.39603273855621,False
202.0,2.0,4,PIPE_LM,10.060009078949845,False
203.0,2.0,3,PIPE_LM,9.328383674639147,False
204.0,2.0,2,SPLY_LS,7.397980471297024,False
205.0,2.0,2,SPLY_LS,6.269157416084799,False
206.0,3.0,2,SPLY_LS,4.46449087327715,False
207.0,2.0,2,SPLY_LS,8.92546927536182,False
208.0,2.0,2,PIPE_LM,6.711391484155691,False
209.0,2.0,1,SPLY_LS,3.9000587907610194,False
210.0,2.0,3,PIPE_LM,7.869326985982939,False
211.0,2.0,4,PIPE_LM,8.288246187103912,False
212.0,2.0,2,SPLY_LS,5.715128627157089,False
213.0,2.0,2,SPLY_LS,8.168078602157209,False
214.0,3.0,1,SPLY_LS,6.280763107402318,False
215.0,2.0,3,PIPE_LM,8.993615340811864,False
216.0,2.0,2,SPLY_LS,7.35324632405952,False
217.0,2.0,2,SPLY_LS,4.498090638973032,False
218.0,2.0,3,PIPE_LM,8.635256334882747,False
219.0,3.0,2,PIPE_LM,7.33319839553846,False
220.0,2.0,3,PIPE_LM,7.013599829151322,False
221.0,3.0,1,SPLY_LS,9.072870512712564,False
222.0,3.0,3,PIPE_LM,6.891100052488522,False
223.0,3.0,2,SPLY_LS,6.594126610739173,False
224.0,2.0,1,SPLY_LS,5.576533319620788,False
225.0,3.0,4,PIPE_LM,8.52915029223186,False
226.0,2.0,4,PIPE_LM,5.934359465285816,False
227.0,2.0,3,PIPE_LM,6.25849715660104,False
228.0,2.0,2,SPLY_LS,3.817961819982101,False
229.0,3.0,1,SPLY_LS,4.5740582349508845,False
230.0,2.0,3,PIPE_LM,0.4407468670077102,False
231.0,2.0,4,PIPE_LM,9.384125777868574,False
232.0,2.0,1,SPLY_LS,6.940136456335102,False
233.0,3.0,2,PIPE_LM,8.132250128171398,False
234.0,3.0,2,SPLY_LS,8.393932912652952,False
235.0,2.0,3,PIPE_LM,8.359181409428372,False
236.0,2.0,2,SPLY_LS,8.584386101216808,False
237.0,2.0,2,SPLY_LS,10.002596645193343,False
238.0,2.0,2,SPLY_LS,5.996033047064651,False
239.0,2.0,2,SPLY_LS,7.572264353368445,False
240.0,2.0,2,SPLY_LS,11.699664158343023,False
241.0,3.0,3,PIPE_LM,5.230550909528347,False
242.0,3.0,3,PIPE_LM,49.95799084403573,False
243.0,2.0,2,SPLY_LS,11.772007522626355,False
244.0,2.0,2,SPLY_LS,9.06118094920856,False
245.0,2.0,1,SPLY_LS,6.354235050229993,False
246.0,2.0,2,SPLY_LS,10.21031758639386,False
247.0,2.0,2,PIPE_LM,7.887329763674499,False
248.0,2.0,2,SPLY_LS,6.492898943179268,False
249.0,2.0,2,SPLY_LS,8.716239470515776,False
250.0,2.0,3,PIPE_LM,4.883316583130245,False
