repair_id,복구타입,위도,경도,주소,작업일시,구군
73,지상누수,35.8946812,128.60549,북구 산격동 1410-46,,북구
74,지상누수,35.8958128,128.6122184,북구 대학로 127-8 (산격동) / 1279-29번지,,북구
75,지상누수,35.8941917,128.6098301,북구 대학로23길 20 (산격동) / 1309-7번지,,북구
76,지상누수,35.8958898,128.6102138,북구 산격로14길 46-1 (산격동) / 1306-50번지,,북구
77,지상누수,35.8974475,128.6082208,북구 대동로4길 9 (산격동) / 1253-10번지,,북구
78,지상누수,35.8976809,128.6005573,북구 연암공원로 81-16 (산격동) / 1183-28번지,,북구
79,지상누수,35.8970081,128.6100978,북구 대동로 32-1 (산격동) / 1266-13번지,,북구
80,지상누수,35.8945281,128.6102834,북구 대학로23길 14-1 (산격동) / 1308-21번지,,북구
81,지상누수,35.8954018,128.6109694,북구 대학로25길 11-1 (산격동) / 1307-36번지,,북구
82,지상누수,35.897172,128.6035242,북구 산격로13길 16-1 (산격동) / 1221-3번지,,북구
83,지상누수,35.8958181,128.5988243,북구 연암공원로 55-16 (산격동) / 1153-11번지,,북구
84,지상누수,35.8963146,128.608057,북구 대동로8길 25-6 (산격동) / 1249-34번지,,북구
85,지상누수,35.8898416,128.6029412,북구 연암로4길 30 (산격동) / 1498-29번지,,북구
86,지상누수,35.8898967,128.6014117,북구 연암로 18-32 (산격동) / 1441-20번지,,북구
87,지상누수,35.9021058,128.6014762,북구 산격동 546,,북구
88,지상누수,35.896079,128.6124025,북구 대동로 54-1 (산격동) / 1279-4번지,,북구
89,지상누수,35.8953808,128.6108597,북구 산격동 1307-21,,북구
90,지상누수,35.8950228,128.6085868,북구 산격로10길 29-1 (산격동) / 1312-48번지,,북구
91,지상누수,35.8947785,128.6051035,북구 산격로 47 (산격동) / 1425번지,,북구
92,지상누수,35.8976226,128.6048668,북구 연암공원로32길 62-4 (산격동) / 1197-6번지,,북구
93,지상누수,35.8929263,128.6060014,북구 대학로9길 22-1 (산격동) / 1412-8번지,,북구
94,지상누수,35.8961776,128.6111316,북구 대동로10길 6 (산격동) / 1305번지,,북구
95,지상누수,35.8933208,128.6063727,북구 대학로9길 24-13 (산격동) / 1411-3번지,,북구
96,지상누수,35.8968082,128.5991048,북구 연암공원로13길 8-1 (산격동) / 1180-74번지,,북구
97,지상누수,35.8915979,128.5958797,북구 연암로 72 (산격동) / 978번지,,북구
98,지상누수,35.8942939,128.6108759,북구 산격동 1324-4,,북구
99,지상누수,35.8980429,128.6054633,북구 연암공원로32길 54 (산격동) / 1222-41번지,,북구
100,지상누수,35.8903448,128.603526,북구 연암로4길 46 (산격동) / 1498-22번지,,북구
101,지상누수,35.9015936,128.6040458,북구 산격동 517-0,,북구
102,지상누수,35.8963925,128.6093905,북구 대동로6길 10 (산격동) / 1249-31번지,,북구
103,지상누수,35.8948143,128.610655,북구 산격로10길 50 (산격동) / 1308-12번지,,북구
104,지상누수,35.8951427,128.6108632,북구 산격로10길 49-4 (산격동) / 1307-23번지,,북구
105,지상누수,35.8963992,128.5987661,북구 연암공원로11길 3-24 (산격동) / 1167-3번지,,북구
106,지상누수,35.8967871,128.6097942,북구 대동로8길 10 (산격동) / 1266-6번지,,북구
107,지상누수,35.894826,128.6093499,북구 대동로6길 28 (산격동) / 1313번지,,북구
108,지상누수,35.8958578,128.6049185,북구 산격로 59-4 (산격동) / 1422-26번지,,북구
