wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT,BEG_YMD,PIP_TYPE,PIP_TYPE_VALID
"MultiLineString ((1099503.3833574999589473 1767592.5472984800580889, 1099503.91964209009893239 1767591.14769684989005327, 1099504.63704161997884512 1767589.27395194000564516))",SA001,210308,2723061000,35803045,54000,1989-01-01,SA005,12,400,4.0,,0,0,20119006912.0,1,400-ST-89,IQT903,210308,SA005,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099490.96993004996329546 1767560.29988499009050429, 1099493.69487449992448092 1767557.64786481996998191, 1099490.60489382990635931 1767554.46234930003993213, 1099489.5890790200792253 1767553.41505568008869886, 1099488.51610993989743292 1767552.30893947998993099))",SA001,310731,2723063100,35803045,54000,2004-12-01,SA005,4,200,11.24,,0,0,20119006912.0,1,200-DTC-04,IQT903,310731,SA005,,B,240,520,P0,1.2,2004-12-01,SS00201,,2004-12-01,DTC,True
"MultiLineString ((1099492.74824718991294503 1767571.67796725011430681, 1099492.36696514999493957 1767573.08090317994356155, 1099491.98227899009361863 1767573.19700731988996267, 1099491.67435423005372286 1767573.45530656003393233, 1099491.49297099001705647 1767573.8134432400111109, 1099491.49103616992942989 1767573.84437934006564319, 1099491.46782814990729094 1767574.21496701007708907, 1099491.60305303009226918 1767574.59402309008873999, 1099491.87753815995529294 1767574.88815926993265748, 1099489.32251772005110979 1767584.30453579011373222))",SA001,210307,2723061000,35803045,54000,1989-01-01,SA005,12,300,14.0,,0,0,20119006912.0,1,300-ST-89,IQT903,210307,SA005,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099489.5890790200792253 1767553.41505568008869886, 1099491.27370699006132782 1767551.71205667988397181))",SA001,310736,2723063100,35803045,54000,2004-12-01,SA005,4,150,2.4,,0,0,20119006912.0,1,150-DTC-04,IQT903,310736,SA005,,B,243,520,P0,1.1,2004-12-01,SS00201,,2004-12-01,DTC,True
"MultiLineString ((1099490.60489382990635931 1767554.46234930003993213, 1099492.27382507990114391 1767552.74310702993534505))",SA001,310737,2723063100,35803045,54000,2004-12-01,SA005,4,150,2.4,,0,0,20119006912.0,1,150-DTC-04,IQT903,310737,SA005,,B,243,520,P0,1.1,2004-12-01,SS00201,,2004-12-01,DTC,True
"MultiLineString ((1099469.25774442008696496 1767581.30739119998179376, 1099469.88579442002810538 1767581.55588885000906885, 1099469.34285840997472405 1767583.13638236001133919, 1099468.85634343000128865 1767584.55465929000638425))",SA001,36299,2723061000,35803045,54000,2001-01-01,SA004,4,400,4.0,,0,0,20119006912.0,1,400-DTC-01,IQT903,36299,SA004,,B,240,520,P0,1.2,2001-01-01,SS00201,,2001-01-01,DTC,True
"MultiLineString ((1099489.19492898997850716 1767559.85997080011293292, 1099489.50161795993335545 1767559.54867662000469863, 1099490.25559178995899856 1767559.54410990001633763, 1099490.96993004996329546 1767560.29988499009050429, 1099493.63272703997790813 1767563.30666304007172585, 1099494.93797817989252508 1767564.7805517700035125, 1099497.56139413989149034 1767567.7429857300594449, 1099498.13212018995545805 1767567.75172015000134706, 1099500.89592906995676458 1767565.63117923005484045, 1099499.93086520000360906 1767558.29779143002815545, 1099496.49915827997028828 1767554.57516411994583905, 1099490.17104479996487498 1767547.71255385992117226, 1099488.55287056998349726 1767545.95761104999110103, 1099489.03856284008361399 1767544.85622254991903901))",SA001,310733,2723063100,35803045,54000,2001-01-01,SA004,4,400,35.0,,0,0,20119006912.0,1,400-DTC-01,IQT903,310733,SA004,,B,240,520,P0,1.2,2001-01-01,SS00201,,2001-01-01,DTC,True
"MultiLineString ((1099489.19492898997850716 1767559.85997080011293292, 1099481.5330584601033479 1767568.14572078990750015, 1099480.28265410009771585 1767569.49943401990458369, 1099471.6967438398860395 1767578.78399662999436259, 1099469.89721359009854496 1767579.95637009991332889, 1099469.25774442008696496 1767581.30739119998179376, 1099467.54694300005212426 1767580.65942235989496112, 1099466.97098744008690119 1767582.23837016010656953, 1099466.45755280996672809 1767583.64727811003103852))",SA001,310734,2723061000,35803045,54000,2001-01-01,SA004,4,400,34.0,,0,0,20119006912.0,1,400-DTC-01,IQT903,310734,SA004,,B,240,520,P0,1.2,2001-01-01,SS00201,,2001-01-01,DTC,True
"MultiLineString ((1099763.94587272009812295 1767745.36702790996059775, 1099761.34557583997957408 1767744.82454722002148628, 1099752.70756128989160061 1767742.89225247991271317, 1099752.18932569003663957 1767742.77980342996306717, 1099748.35370088997296989 1767741.94707486010156572, 1099742.6576286400668323 1767740.71017669001594186, 1099740.30230830004438758 1767740.19871745002456009, 1099691.11222268990240991 1767729.51713090995326638, 1099617.18739243992604315 1767695.38292722008191049, 1099581.73816478997468948 1767681.37231087009422481, 1099564.18550409004092216 1767675.71386360004544258, 1099537.9954036099370569 1767645.30649616988375783, 1099534.84766093990765512 1767641.65195558988489211, 1099549.99629172007553279 1767607.30285674007609487, 1099534.87397458008490503 1767600.8715919500682503, 1099533.50140624004416168 1767600.26778281992301345))",SA001,209417,2723063100,35803035,54000,1989-01-01,SA003,12,800,313.0,,0,0,20119006912.0,1,800-ST-89,IQT903,209417,SA003,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099508.13355034007690847 1767854.29608929995447397, 1099474.34286481002345681 1767850.99381881998851895, 1099434.45711333001963794 1767847.17777823004871607, 1099339.1363722300156951 1767838.05852475995197892, 1099338.46540315006859601 1767837.99432022008113563))",SA001,175753,2723061000,35803035,54000,1986-01-01,SA003,12,700,171.0,,0,0,20119006912.0,1,700-ST-86,IQT903,175753,SA003,,B,240,520,P0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099531.65019602002575994 1767604.83176169008947909, 1099532.16262042010203004 1767603.42283796006813645, 1099532.79182087001390755 1767601.69473511003889143, 1099506.72071386990137398 1767590.19322737003676593, 1099504.63704161997884512 1767589.27395194000564516, 1099498.03565642004832625 1767586.36088650999590755, 1099494.19861366995610297 1767575.70633474993519485, 1099494.44741648994386196 1767575.39120406005531549, 1099494.55231213988736272 1767575.00286435009911656, 1099494.53562132990919054 1767574.88862696988508105, 1099494.49435531999915838 1767574.60500578000210226, 1099494.28564125997945666 1767574.26193544990383089, 1099493.95721309003420174 1767574.0289588300511241, 1099493.56456501991488039 1767573.94502457999624312, 1099492.74824718991294503 1767571.67796725011430681, 1099494.02571571990847588 1767564.8056528999004513, 1099493.54981586011126637 1767564.34946842002682388, 1099493.40067125996574759 1767564.09625165001489222, 1099493.4056668400298804 1767563.76539004989899695, 1099493.45661381003446877 1767563.50623352010734379, 1099493.63272703997790813 1767563.30666304007172585, 1099493.76384224998764694 1767563.15797395003028214, 1099494.37645022990182042 1767562.91833350993692875, 1099495.38715910003520548 1767557.47769261989742517))",SA001,71253,2723061000,35803045,54000,1989-01-01,SA005,12,400,73.0,,0,0,20119006912.0,1,400-ST-89,IQT903,71253,SA005,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099600.73577335011214018 1767857.20652826991863549, 1099602.91955593996681273 1767850.49953230004757643, 1099603.58243138995021582 1767848.46343943011015654, 1099603.03874647989869118 1767847.79425347992219031, 1099603.17052070004865527 1767847.41432755999267101, 1099603.14066447992809117 1767847.01294178003445268, 1099602.95607882994227111 1767846.65626065991818905, 1099602.82507654000073671 1767846.5489149100612849, 1099602.64502563001587987 1767846.40154028008691967, 1099602.25879939994774759 1767846.29064073995687068, 1099601.86010957998223603 1767846.34055523993447423, 1099597.69609230989590287 1767841.20805179001763463, 1099593.74686412001028657 1767840.96156364004127681, 1099579.42767913010902703 1767840.06789626996032894, 1099545.36179401003755629 1767818.07579263998195529, 1099546.04342115996405482 1767810.08452926995232701, 1099546.55346138007007539 1767804.10256699007004499, 1099547.57484678993932903 1767792.12310931994579732, 1099547.66733806999400258 1767791.03968719998374581, 1099547.70255588996224105 1767790.62927816994488239, 1099548.54320208006538451 1767779.42124686995521188, 1099548.59584261011332273 1767778.71902164001949131, 1099550.0103401099331677 1767777.91395532991737127, 1099551.1744050900451839 1767777.20467913988977671, 1099556.17681938991881907 1767774.26702141994610429, 1099557.47066154005005956 1767773.50718292989768088, 1099557.64326235000044107 1767771.94744904991239309, 1099557.99244193988852203 1767768.79196703992784023, 1099558.15712549001909792 1767767.30173554993234575))",SA001,144224,2723061000,35803035,54000,1979-01-01,SA002,12,800,134.0,,0,0,20119006912.0,1,800-ST-79,IQT903,144224,SA002,,B,240,520,P0,1.2,1979-01-01,SS00201,,1979-01-01,ST,True
"MultiLineString ((1099493.09284035000018775 1767553.58740684995427728, 1099492.78062766999937594 1767553.26557180006057024, 1099492.27382507990114391 1767552.74310702993534505, 1099491.27370699006132782 1767551.71205667988397181, 1099490.59467207989655435 1767551.012045529903844, 1099488.26450943993404508 1767548.60975808999501169, 1099489.19815362989902496 1767547.70216490002349019, 1099489.42973390989936888 1767547.85965106007643044, 1099489.60676173004321754 1767547.92233542003668845, 1099489.76536169997416437 1767547.94369241991080344, 1099490.00379848992452025 1767547.84841981995850801, 1099490.15352444001473486 1767547.73463189997710288, 1099490.17104479996487498 1767547.71255385992117226, 1099490.32581083988770843 1767547.51734401006251574, 1099490.35031221993267536 1767547.21976903988979757, 1099490.31405804003588855 1767547.04125027009285986, 1099490.15902682999148965 1767546.78196332999505103, 1099491.0593672099057585 1767545.89682348002679646))",SA001,324622,2723063100,35803045,54000,2004-12-01,SA005,4,200,12.0,,0,0,2004540000000.0,1,200-DTC-04,IQT903,324622,SA005,,B,243,520,P0,1.3,2004-12-01,SS00201,,2004-12-01,DTC,True
"MultiLineString ((1099476.63811684004031122 1767607.91008456004783511, 1099462.59535875008441508 1767602.41010857000946999, 1099459.12470629997551441 1767601.05044722999446094, 1099459.71532203000970185 1767599.56074776989407837, 1099459.71532247005961835 1767599.56071970006451011, 1099460.26846715994179249 1767598.16741309990175068))",SA001,408308,2723061000,35803045,54000,1989-01-01,SA003,12,400,21.92,,0,0,20119006912.0,1,400-ST-89,IQT903,408308,SA003,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099462.59535875008441508 1767602.41010857000946999, 1099463.22514267009682953 1767600.91095989989116788, 1099463.8061181700322777 1767599.52801883011125028))",SA001,408309,2723061000,35803045,54000,1989-01-01,SA003,12,400,3.13,,0,0,20119006912.0,1,400-ST-89,IQT903,408309,SA003,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099511.1247311900369823 1767580.61935944994911551, 1099510.69365492998622358 1767580.43084846995770931, 1099505.1516370999161154 1767578.5296983600128442, 1099494.53562132990919054 1767574.88862696988508105, 1099491.49103616992942989 1767573.84437934006564319, 1099488.41011785995215178 1767572.78767046006396413, 1099481.67287587001919746 1767570.06151498993858695, 1099480.28265410009771585 1767569.49943401990458369))",SA001,415692,2723061000,35803045,54000,1989-01-01,SA004,4,400,32.81,,0,0,20119006912.0,1,400-DTC-89,IQT903,415692,SA004,,B,240,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,DTC,True
