CLUSTER_ID,REPAIR_COUNT,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
68.0,3.0,4,PIPE_LM,19.49350341933865,2.8333333333333335,2,5.8174499963625905,48,30,False
69.0,3.0,4,PIPE_LM,7.965573486479698,2.84375,2,7.3139710674459,32,21,False
70.0,2.0,4,PIPE_LM,22.316343079968334,2.5517241379310347,3,5.127132620420241,29,15,False
71.0,2.0,4,PIPE_LM,17.96948099872845,2.618181818181818,2,9.598885149966641,55,30,False
73.0,2.0,5,PIPE_LM,14.132323196599963,2.8055555555555554,3,6.696042422999848,36,19,False
74.0,2.0,4,PIPE_LM,20.044745827578385,2.757575757575758,2,6.678755032597203,33,19,False
75.0,2.0,4,PIPE_LM,21.50239701945271,2.6615384615384614,4,5.9760680363302185,65,35,False
76.0,3.0,4,PIPE_LM,26.344780152309745,2.909090909090909,2,3.0069319213365624,44,25,False
77.0,2.0,5,PIPE_LM,29.694646119083025,2.793103448275862,1,5.435528063079175,29,15,False
78.0,3.0,4,PIPE_LM,21.280725737168655,2.6666666666666665,2,12.471362047850844,21,10,False
79.0,2.0,6,PIPE_LM,16.64096642616566,2.806451612903226,3,10.76349538673819,31,21,False
80.0,2.0,5,PIPE_LM,10.331952165184996,2.7027027027027026,2,7.538951424931833,37,20,False
81.0,2.0,4,PIPE_LM,12.30000843547767,2.566666666666667,2,4.8112614037343,30,13,False
82.0,2.0,4,PIPE_LM,15.503131937188964,2.509433962264151,3,8.084187722767695,53,28,False
83.0,3.0,3,PIPE_LM,22.370308699105248,2.5,2,9.288691247490208,10,5,False
84.0,2.0,4,PIPE_LM,26.06708124612761,2.6944444444444446,1,6.22752543596843,36,21,False
85.0,3.0,4,PIPE_LM,24.01782494416481,2.6206896551724137,3,6.514571846599083,58,32,False
86.0,3.0,4,PIPE_LM,10.950646778582144,2.625,2,1.6020658102812297,24,13,False
87.0,2.0,4,PIPE_LM,13.478840100020491,2.6842105263157894,2,8.136965311829712,19,10,False
88.0,3.0,4,PIPE_LM,22.51086043068675,2.8292682926829267,2,8.048429959038302,41,25,False
89.0,3.0,4,PIPE_LM,16.08938352806504,2.8048780487804876,2,6.07411470938897,41,25,False
90.0,2.0,4,PIPE_LM,29.69780419579384,2.6923076923076925,2,13.21160777958038,26,14,False
91.0,2.0,4,PIPE_LM,26.888592895577784,2.4827586206896552,1,6.125458382209455,29,14,False
92.0,3.0,4,PIPE_LM,20.66761829973768,2.772727272727273,2,5.596745110092009,44,24,False
93.0,3.0,4,PIPE_LM,28.81311204440984,2.4210526315789473,2,8.73785168202338,19,9,False
94.0,2.0,5,PIPE_LM,27.256695165502805,2.5925925925925926,3,9.472024148249066,54,25,False
95.0,2.0,4,PIPE_LM,28.679222144002654,2.702127659574468,2,4.602987268959729,47,28,False
96.0,2.0,30,PIPE_LM,23.150282000816215,3.811320754716981,2,6.8508920228742385,53,38,False
97.0,2.0,4,PIPE_LM,28.952167589501016,2.72972972972973,2,8.275565757357974,37,22,False
98.0,2.0,4,PIPE_LM,17.443528098694088,2.5526315789473686,2,11.126525362141903,38,21,False
99.0,3.0,4,PIPE_LM,11.39313670993758,2.8125,3,6.709584784231749,32,20,False
100.0,3.0,4,PIPE_LM,20.145739499548764,2.606060606060606,2,8.090238479778446,33,15,False
101.0,5.0,5,PIPE_LM,26.04558318816688,2.8524590163934427,2,5.4557574251431635,61,38,True
102.0,3.0,4,PIPE_LM,25.293956895361127,2.7346938775510203,2,10.329907833136367,49,28,False
103.0,3.0,4,PIPE_LM,11.245442851677069,2.8461538461538463,1,10.141827886840911,26,16,False
104.0,2.0,4,PIPE_LM,27.318716824895354,2.5813953488372094,1,8.175453930818607,43,25,False
105.0,2.0,4,PIPE_LM,8.50984227262244,2.96,2,7.137504011460859,25,14,False
106.0,3.0,4,PIPE_LM,23.942418845664832,2.8823529411764706,4,6.362873453004796,51,29,False
107.0,2.0,4,PIPE_LM,12.10024156035707,2.744186046511628,3,5.129856156095779,43,27,False
108.0,2.0,4,PIPE_LM,12.933074833578889,2.6451612903225805,2,5.072337920531989,31,14,False
109.0,2.0,4,PIPE_LM,13.795558466703891,2.7058823529411766,3,7.651397398533382,51,30,False
110.0,2.0,4,PIPE_LM,29.232981169023713,2.8461538461538463,2,8.589115545126836,39,23,False
111.0,2.0,4,PIPE_LM,26.220056925231265,2.6923076923076925,2,13.359347489603703,26,13,False
112.0,3.0,4,PIPE_LM,7.898483715832801,2.6052631578947367,2,5.942158345527978,38,21,False
