긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호 ,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분명,시공년도,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,손괴원인,손괴원인코드명,누수부위형태코드,누수부위형태코드명,파열상태,파열상태명,측정수압,누수시간,시간당 누수량,누수량,살수량,총공사비,과수압여부,위도,경도,작업일시
201404060,54000,북부사업소,,,5.0,급수관,201407290252.0,201407291411.0,201407291411.0,201407291725.0,D80*15mm 분기점 수선,B,북구,북구 대학로9길 74-6 (산격동) / 1243-3번지,520.0,480.0,786.0,20149009074,북구 대학로9길 74-6 (산격동) / 1243-3번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,6.0,1/10,3.0,2.0,0.0,0.0,,"124,630",N,35.8969911,128.6067829,2014-07-29 14:11:00
201403276,54000,북부사업소,,,5.0,급수관,201406120071.0,201406121049.0,201406121049.0,201406121230.0,D50*13mm 분기점 수선,B,북구,북구 대동로 2-10 (산격동) / 1232-9번지,520.0,480.0,606.0,20149007515,북구 대동로 2-10 (산격동) / 1232-9번지,G,지상누수,1.0,공도,,1.0,15.0,5.0,PFP관,201.0,이형관,2.0,부식,,,1.0,소켓,6.0,1/10,3.0,2.0,0.0,0.0,,"112,060",N,35.8980616,128.6070068,2014-06-12 10:49:00
201406338,54000,북부사업소,,,4.0,배수지관,201411090002.0,201411090946.0,201411090946.0,201411091130.0,D=100mm 지상식소화전 교체,B,북구,북구 연암공원로20길 34 (산격동) / 1197-31번지,520.0,243.0,1075.0,20149014518,북구 연암공원로20길 34 (산격동) / 1197-31번지,G,지상누수,1.0,공도,,8.0,100.0,2.0,닥타일관,201.0,이형관,1.0,노후,,,3.0,연부,6.0,1/10,3.0,3.0,7.0,20.0,0.0,"1,321,370",N,35.8985563,128.6045313,2014-11-09 09:46:00
201403300,54000,북부사업소,,,5.0,급수관,201406090036.0,201406090911.0,201406090911.0,201406091220.0, D50*15mm 분기점 수선,B,북구,"북구 산격로 94 (산격동,대원유리알미늄) / 1232-2번지",520.0,480.0,589.0,20149007542,"북구 산격로 94 (산격동,대원유리알미늄) / 1232-2번지",G,지상누수,1.0,공도,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,1.0,소켓,5.0,1/7,3.0,3.0,0.0,0.0,0.0,"57,320",N,35.8982902,128.6070869,2014-06-09 09:11:00
201403283,54000,북부사업소,,,5.0,급수관,201406160230.0,201406161424.0,201406161424.0,201406161605.0, D15mm 앵글밸브 교체,B,북구,"북구 대구체육관로 52-2 (산격동,평창칼국수) / 1433-37번지",520.0,470.0,620.0,20149007522,"북구 대구체육관로 52-2 (산격동,평창칼국수) / 1433-37번지",G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),603.0,앵글밸브,1.0,노후,,,,,,,,,,,,"111,330",N,35.8924255,128.6048535,2014-06-16 14:24:00
201406347,54000,북부사업소,,,4.0,배수지관,201411220004.0,201411220851.0,201411220851.0,201411221130.0,D=80*20mm 분기점 수선,B,북구,"북구 대학로15길 3 (산격동,당구일번지) / 1400-1번지",520.0,490.0,1117.0,20149014535,"북구 대학로15길 3 (산격동,당구일번지) / 1400-1번지",G,지상누수,1.0,공도,,2.0,20.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,1.0,소켓,6.0,1/10,3.0,3.0,0.0,0.0,,"663,060",N,35.8922944,128.6080842,2014-11-22 08:51:00
201404491,54000,북부사업소,,,5.0,급수관,201408180336.0,201408181437.0,201408181437.0,201408181655.0,D50*15mm 분기점 수선,B,북구,북구 대학로25길 17-4 (산격동) / 1307-60번지,520.0,490.0,830.0,20149009979,북구 대학로25길 17-4 (산격동) / 1307-60번지,G,지상누수,1.0,공도,,1.0,15.0,5.0,PFP관,201.0,이형관,1.0,노후,,,1.0,소켓,6.0,1/10,3.0,2.0,0.0,0.0,,"282,580",N,35.8952774,128.6101531,2014-08-18 14:37:00
201403977,54000,북부사업소,,,5.0,급수관,201407040110.0,201407041028.0,201407041028.0,201407041305.0, D40*15mm 분기점 수선,B,북구,"북구 대동로10길 7 (산격동,(골든힐)) / 1276-1번지",520.0,490.0,694.0,20149008991,"북구 대동로10길 7 (산격동,(골든힐)) / 1276-1번지",G,지상누수,1.0,공도,,1.0,15.0,5.0,PFP관,201.0,이형관,2.0,부식,,,1.0,소켓,5.0,1/7,3.0,3.0,0.0,0.0,,"64,010",N,35.8960033,128.6113524,2014-07-04 10:28:00
201403288,54000,북부사업소,,,5.0,급수관,201406170275.0,201406171531.0,201406171531.0,201406171820.0, D80mm 직관부 수선(보수용클램프 접합),B,북구,북구 대동로4길 7 (산격동) / 1253-40번지,520.0,480.0,630.0,20149007528,북구 대동로4길 7 (산격동) / 1253-40번지,G,지상누수,1.0,공도,,7.0,80.0,2.0,닥타일관,101.0,직관,3.0,침하,,,4.0,직관,8.0,1/50,3.0,2.0,2.0,3.0,,"891,170",N,35.8975337,128.6080701,2014-06-17 15:31:00
201404909,54000,북부사업소,,,5.0,급수관,201409110167.0,201409111252.0,201409111252.0,201409111430.0,13mm 연결부 수선,B,북구,"북구 대동로6길 33 (산격동,시티원룸) / 1309-39번지",520.0,490.0,920.0,20149011376,"북구 대동로6길 33 (산격동,시티원룸) / 1309-39번지",G,지상누수,1.0,공도,,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,,,1.0,소켓,5.0,1/7,3.0,3.0,0.0,0.0,0.0,"81,480",N,35.8943345,128.6096066,2014-09-11 12:52:00
