cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,구군,대표_주소
5840,7,149.8,42.0,202.0,2010-01-13 ~ 2011-09-07,수성구,수성구 수성로 189-4 (중동) / 357-27번지
6971,7,687.0,10.0,1608.0,2008-01-09 ~ 2019-04-26,남구,남구 중앙대로51길 125 (대명동) / 1892-3번지
1558,7,783.2,29.0,2228.0,2009-02-12 ~ 2021-12-28,달성군,달성군 옥포면 교항리 1657
1559,7,868.3,0.0,2268.0,2007-09-10 ~ 2021-12-17,서구,서구 비산동 44-2
9098,7,769.5,5.0,2555.0,2010-02-19 ~ 2018-07-26,서구,서구 서대구로64길 41-1 (비산동) / 937-15번지
16297,7,856.7,78.0,1612.0,2007-07-02 ~ 2021-07-30,서구,서구 문화로 153-11 (평리동) / 635-14번지
9301,7,630.7,34.0,1776.0,2011-01-19 ~ 2021-06-03,달성군,달성군 옥포면  옥계길 48-56 / 본리리 962번지
174,7,740.2,13.0,2957.0,2010-01-21 ~ 2020-03-13,동구,동구 화랑로25길 62-1 (효목동) / 607-7번지
14475,7,362.5,14.0,755.0,2010-01-25 ~ 2016-01-13,남구,남구 이천로25길 16 (이천동) / 458-12번지
2974,7,402.2,8.0,712.0,2012-12-25 ~ 2019-08-06,서구,서구 북비산로37길 9-46 (평리동) / 286-3번지
5782,7,546.0,123.0,1046.0,2008-08-01 ~ 2016-01-25,중구,중구 대봉동 87
10281,7,510.3,294.0,922.0,2011-02-21 ~ 2015-05-04,중구,"중구 대봉로43길 11, 영남도서 (대봉동) / 169-7번지"
13084,7,330.7,10.0,825.0,2013-10-24 ~ 2019-04-04,달성군,달성군 다사읍  달구벌대로115길 26-15 / 부곡리 720-1번지
2265,7,926.5,16.0,2451.0,2012-04-16 ~ 2022-06-11,서구,서구 문화로69길 19-24 (비산동) / 522-12번지
3525,7,299.8,21.0,745.0,2009-10-19 ~ 2013-11-29,동구,"동구 동북로 392-5, 주간 (신암동) / 153-82번지"
1407,7,641.0,47.0,1645.0,2010-11-23 ~ 2019-09-06,동구,동구 아양로 30 (신암동) / 167-1번지
2944,7,1094.8,122.0,2635.0,2008-12-08 ~ 2020-12-07,남구,남구 안지랑로 42 (대명동) / 936-3번지
1676,7,603.0,161.0,2416.0,2012-07-02 ~ 2022-05-31,달서구,달서구 성서로72길 142 (장기동) / 173-5번지
7568,7,153.8,28.0,328.0,2009-03-19 ~ 2011-09-30,남구,남구 대명로47길 8-2 (대명동) / 1699-13번지
3641,7,706.2,70.0,2177.0,2010-01-05 ~ 2017-10-03,서구,서구 고성로15길 31-7 (원대동3가) / 1251-9번지
3110,7,1034.8,116.0,2447.0,2007-07-02 ~ 2021-09-01,서구,서구 달서로40길 11-3 (비산동) / 32-10번지
2967,7,558.0,10.0,2952.0,2010-01-15 ~ 2019-03-20,북구,"북구 조야로14길 18-5, 그린빌라B 102호 (조야동) / 150-1번지"
9402,7,236.2,118.0,484.0,2008-03-18 ~ 2012-02-05,동구,동구 신암남로 81-4 (신암동) / 234-33번지
5337,7,309.8,1.0,876.0,2009-04-27 ~ 2013-07-26,동구,"동구 아양로 100-5, 용역 (신암동) / 247-1번지"
149,7,783.4,5.0,1750.0,2010-03-26 ~ 2020-12-18,남구,"남구 현충로 263, (94.8.12급수중지) (대명동) / 2131-22번지"
12447,7,726.4,83.0,1742.0,2009-01-14 ~ 2018-12-26,남구,남구 대명로 3 (대명동) / 1591-15번지
272,7,495.5,78.0,1521.0,2013-04-01 ~ 2021-05-24,중구,중구 관덕정길 13-19 (남산동) / 934-49번지
4802,7,618.2,91.0,1359.0,2008-12-09 ~ 2015-09-19,중구,중구 공평로20길 37-13 (동인동1가) / 209번지
5514,7,599.2,180.0,1082.0,2011-02-22 ~ 2019-05-09,중구,중구 달구벌대로 1992-10 (남산동) / 94-18번지
9579,7,604.2,0.0,1413.0,2011-02-14 ~ 2021-01-20,달성군,달성군 논공읍  논공로 597 / 본리리 29-17번지
4430,7,250.2,10.0,709.0,2010-06-08 ~ 2013-11-13,서구,서구 달서천로53길 34-36 (비산동) / 1273-1번지
606,7,663.2,3.0,1840.0,2010-04-26 ~ 2019-05-28,달서구,"달서구 와룡로 190, 알리앙스 (감삼동) / 141-5번지"
6639,7,454.2,5.0,1483.0,2009-02-07 ~ 2016-07-29,동구,동구 동북로81길 25-19 (신암동) / 126-11번지
11190,7,620.7,0.0,1777.0,2011-12-20 ~ 2022-03-03,북구,"북구 관음로 179-12, 관음로179-2/페리카나 (관음동) / 128-2번지"
7382,7,436.3,7.0,1120.0,2008-04-15 ~ 2015-06-18,남구,남구 대명로53길 22-2 (대명동) / 206-4번지
5089,7,651.2,19.0,1654.0,2010-03-16 ~ 2017-05-05,수성구,수성구 파동로38길 10-15 (파동) / 27-112번지
5036,7,566.4,217.0,1447.0,2008-02-04 ~ 2015-11-09,수성구,수성구 상록로 29-7 (범어동) / 480-21번지
8060,7,687.3,2.0,2269.0,2009-02-12 ~ 2020-06-02,북구,"북구 학정로109길 16, 경로당 (학정동) / 350번지"
9887,7,432.3,35.0,786.0,2011-05-18 ~ 2018-06-27,달성군,"달성군 다사읍  달구벌대로126길 58-1, 매곡리 1075 / 매곡리 1075번지"
2606,7,1116.2,374.0,2241.0,2008-01-02 ~ 2020-03-26,북구,북구 칠성시장로9길 1-6 (칠성동1가) / 264-9번지
5092,7,631.2,466.0,887.0,2012-03-14 ~ 2019-02-12,수성구,수성구 들안로73길 18-7 (수성동4가) / 1058-20번지
6647,7,513.8,8.0,1348.0,2009-01-20 ~ 2017-07-03,달성군,달성군 하빈면  하빈남로54길 13 / 봉촌리 209번지
15303,7,357.7,0.0,1060.0,2013-11-18 ~ 2019-10-07,중구,중구 국채보상로 527 (하서동) / 2-4번지
4444,7,1217.3,177.0,3244.0,2011-02-20 ~ 2021-02-19,남구,남구 대명남2길 69-6 (대명동) / 149-8번지
5028,7,560.5,10.0,1851.0,2010-11-23 ~ 2017-01-13,북구,북구 칠곡중앙대로 651-26 (읍내동) / 353번지
3736,7,1040.0,152.0,2876.0,2007-12-02 ~ 2019-04-25,서구,서구 달구벌대로361길 5-20 (내당동) / 218-19번지
938,7,504.3,103.0,1293.0,2013-07-09 ~ 2021-10-25,달성군,달성군 하빈면  하목정1길 16-29 / 하산리 1027번지
14758,7,301.3,16.0,916.0,2012-12-06 ~ 2017-11-21,수성구,"수성구 용학로 62 (두산동,비잔티움) / 909-5번지"
7765,7,449.7,102.0,1443.0,2009-01-06 ~ 2016-05-31,달성군,달성군 논공읍  비슬로 1708
836,7,733.6,129.0,1674.0,2009-12-13 ~ 2019-12-31,남구,"남구 영선시장1길 97, 한스빌 (대명동) / 2005-15번지"
8064,7,675.7,57.0,1602.0,2009-04-18 ~ 2020-05-26,중구,중구 달성로22길 56-20 (수창동) / 82번지
6627,7,450.5,0.0,1342.0,2008-09-07 ~ 2016-02-03,수성구,수성구 파동로18길 36 (파동) / 245-15번지
680,7,647.3,114.0,1295.0,2011-09-20 ~ 2022-05-11,달성군,달성군 다사읍 이천리 403
3480,7,599.2,60.0,1636.0,2008-01-25 ~ 2014-08-20,달서구,달서구 상인로 132 (상인동) / 1530-1번지
3804,7,611.5,110.0,1256.0,2011-09-24 ~ 2018-06-07,서구,서구 통학로49길 13-6 (비산동) / 802-26번지
5057,7,762.4,81.0,1952.0,2008-05-19 ~ 2018-10-30,달서구,달서구 장기로 222 (감삼동) / 501-1번지
749,7,728.5,19.0,1915.0,2008-06-23 ~ 2020-06-13,달성군,달성군 하빈면  하빈로52길 39 / 감문리 249번지
12657,7,244.7,0.0,754.0,2013-02-18 ~ 2017-02-27,수성구,수성구 수성동4가 1085-43 앞 
4443,7,848.8,111.0,1945.0,2012-01-25 ~ 2021-05-14,서구,서구 원대동3가 1263-5
8863,7,150.7,5.0,693.0,2009-01-07 ~ 2011-07-04,서구,서구 국채보상로69길 17-88 (비산동) / 356-1번지
8251,7,417.4,77.0,819.0,2010-02-01 ~ 2015-10-23,북구,"북구 성북로 76-18, (323동일주)시장79호 (침산동) / 323-7번지"
6625,7,249.2,0.0,733.0,2008-01-08 ~ 2012-02-13,달성군,달성군 다사읍 세천리 1043
779,7,850.4,0.0,2443.0,2008-08-06 ~ 2020-03-31,달서구,달서구 송현로7길 51-6 (상인동) / 894번지
6484,7,501.8,64.0,1575.0,2007-12-07 ~ 2016-03-09,달서구,달서구 성서공단로 365 (장동) / 795번지
2628,7,817.3,0.0,1368.0,2008-05-22 ~ 2021-10-28,달성군,달성군 다사읍  다사로 505-7 / 달천리 328번지
