FTR_IDN,lithoidx,lithoname,K_SOIL
3899,Km6,하양층군함안층,1.0
3900,Km6,하양층군함안층,1.0
3907,Km6,하양층군함안층,1.0
3908,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3909,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3910,Km6,하양층군함안층,1.0
3911,Km6,하양층군함안층,1.0
3912,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3913,Km6,하양층군함안층,1.0
3914,Km6,하양층군함안층,1.0
3915,Km6,하양층군함안층,1.0
3916,Km6,하양층군함안층,1.0
3917,Km6,하양층군함안층,1.0
3918,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3919,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3920,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3921,Km6,하양층군함안층,1.0
3922,Km6,하양층군함안층,1.0
3923,Km6,하양층군함안층,1.0
3924,Km6,하양층군함안층,1.0
3925,Km6,하양층군함안층,1.0
3926,Km6,하양층군함안층,1.0
3927,Km6,하양층군함안층,1.0
3928,Km6,하양층군함안층,1.0
3929,Km6,하양층군함안층,1.0
3930,Km6,하양층군함안층,1.0
3931,Km6,하양층군함안층,1.0
3933,Km6,하양층군함안층,1.0
3934,Km6,하양층군함안층,1.0
3935,Km6,하양층군함안층,1.0
3936,Km6,하양층군함안층,1.0
3937,Km6,하양층군함안층,1.0
3938,Km6,하양층군함안층,1.0
3939,Km6,하양층군함안층,1.0
3940,Km6,하양층군함안층,1.0
3941,Km6,하양층군함안층,1.0
3942,Km6,하양층군함안층,1.0
3943,Km6,하양층군함안층,1.0
3944,Km6,하양층군함안층,1.0
3945,Km6,하양층군함안층,1.0
3946,Km6,하양층군함안층,1.0
3947,Km6,하양층군함안층,1.0
3948,Km6,하양층군함안층,1.0
3949,Km6,하양층군함안층,1.0
3950,Km6,하양층군함안층,1.0
3951,Km6,하양층군함안층,1.0
3952,Km6,하양층군함안층,1.0
3953,Km6,하양층군함안층,1.0
3954,Km6,하양층군함안층,1.0
3955,Km6,하양층군함안층,1.0
3956,Km6,하양층군함안층,1.0
3957,Km6,하양층군함안층,1.0
3961,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3962,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3963,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3964,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3965,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3966,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3967,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3968,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3969,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3970,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3971,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
