cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
50,1,35.8945889,128.5984789,0.0932408960502303,299653,PIPE_LM,5.502989195814382,0.0932408960502303,299653,0.027663234052105502,10,Q4
51,3,35.89056696666667,128.60295126666668,0.0072510214805213,212347,SPLY_LS,7.634605157556201,0.014461878683193,212342,0.00833414659947396,7,Q2
52,1,35.8973396,128.5996707,0.0151313769086036,308961,PIPE_LM,7.9646694687027555,0.0151313769086036,308961,0.009590410188504112,7,Q3
53,1,35.8956451,128.6015328,0.0072596424151072,106646,SPLY_LS,10.419776483115905,0.1250944139625557,4008,0.01870132980547597,11,Q4
54,1,35.8899291,128.6016472,0.0073351338422915,246339,SPLY_LS,6.182372180883197,0.0081025874922109,4784,0.007273526310174283,5,Q1
55,1,35.8906833,128.6034433,0.0071254354334462,178220,SPLY_LS,6.287972594862327,0.0532314538300115,4787,0.01073260427803858,14,Q3
56,1,35.8934782,128.6041763,0.0069744525790776,211472,SPLY_LS,11.836923883259495,0.0131031266278912,436993,0.007797995226570546,7,Q1
57,2,35.895324,128.6036788,0.0068675063905665,143155,SPLY_LS,7.906338767249576,0.0443595448583429,211478,0.011202548652980397,10,Q3
58,1,35.8887528,128.6024193,0.0072691953426213,178238,SPLY_LS,9.695228425407741,0.0133525366316834,116648,0.008686496318253311,7,Q2
59,1,35.8934943,128.6071291,0.0123209634288065,212291,PIPE_LM,8.520617949643464,0.0130579167419729,211234,0.008676651198875085,5,Q2
60,1,35.8973255,128.598688,0.03750403827788,308932,PIPE_LM,6.6926804314269654,0.0461722419797946,308930,0.02077588358931277,9,Q4
61,1,35.896862,128.6102019,0.0071457062796346,72321,SPLY_LS,9.201659810930845,0.0164284324186314,37892,0.008890481776549556,12,Q2
62,1,35.8972847,128.6067763,0.0083320363325835,245409,SPLY_LS,8.336304367115167,0.0559181350971663,37987,0.010957217634158405,9,Q3
63,2,35.8933459,128.6080879,0.0072778162772071,107329,SPLY_LS,8.048803202343422,0.0081765113056098,42475,0.007721020734112764,3,Q1
64,3,35.8948698,128.6010136,0.0071452402831705,107614,SPLY_LS,9.721408102192813,0.0150429157723756,37774,0.008294775087616694,7,Q2
65,1,35.8952936,128.6095987,0.0060826931311393,177228,SPLY_LS,7.664555978494862,0.012615583318517,211249,0.0075219627389564005,9,Q1
66,1,35.8933378,128.6098866,0.0128402832045764,143920,SPLY_LS,5.780904819271921,0.0226364347334925,418134,0.013813119530232894,6,Q4
67,1,35.8974779,128.6038346,0.0069744525790776,4146,SPLY_LS,6.601492939036523,0.0160397039126991,211679,0.007817036240067146,9,Q1
68,3,35.8951696,128.6090785,0.0076717303470403,3841,SPLY_LS,6.532143975649282,0.0172752730079525,110993,0.0085090271795587,9,Q2
69,1,35.8937156,128.6060161,0.0063842807773331,246324,SPLY_LS,7.670225134383818,0.0539575075537303,246291,0.013857962845385938,7,Q4
