긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
201106376,51000,중남부사업소,,,5.0,급수관,201109090102.0,201109091132.0,201109091200.0,201109091300.0,"G.P 재질 인입선 발견,공무계 이첩",N,남구,남구 효서4길 6-4 (봉덕동) / 1338-41번지,407.0,520.0,1423.0,20119010911,남구 봉덕동 1338-41 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,7.0,아연도강관,101.0,직관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,252.0,0.0,907,"1,314",0.0,"170,610",N,35.8378319,128.5942682,2011-09-09 11:32:00
201103159,51000,중남부사업소,,,5.0,급수관,201104180037.0,201104180930.0,201104181010.0,201104181230.0,"DTC D=80×25mm 분기점 누수수선
",N,남구,남구 효서길 29-1 (봉덕동) / 1318-33번지,407.0,530.0,735.0,20119004987,남구 봉덕동 1318-33 번지,U,지하누수,1.0,공도,,2.0,용역,,,3.0,25.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,4.0,1/5,3.0,108.0,0.0,985,"3,329",0.0,"605,830",N,35.8378813,128.5972787,2011-04-18 09:30:00
804870,51000,중남부사업소,,,5.0,급수관,,200806060900.0,,,지수전 철거 직관처리,N,남구,남구 효서길 29-2 (봉덕동) / 1318-29번지,407.0,520.0,552.0,20089009636,봉덕3동 1318-29번지선 누수수선공사,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,402.0,접합부,2.0,부식,1,누수,,,,,,158.0,4.0,"16,874","22,108",,,N,35.8378884,128.5971144,2008-06-06 09:00:00
9905989,51000,중남부사업소,,,5.0,급수관,,,,,,N,남구,남구 효서길 47 (봉덕동) / 1361-29번지,407.0,520.0,,5100005989,봉덕3동 1361-29번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,1.0,노후,1,누수,,,4.0,1/5,,294.0,0.0,"2,117",511,,,,,,
201206923,51000,중남부사업소,,,5.0,급수관,201210170003.0,201210170822.0,201210170830.0,201210171200.0,PFP D=40mm 인입선부 개조,N,남구,"남구 효서길 75 (봉덕동,금성주택) / 1350-1번지",407.0,520.0,1152.0,20129013218,"남구 효서길 75 (봉덕동,금성주택) / 1350-1번지",U,지하누수,2.0,사유지,,1.0,자체,2.0,야간,5.0,40.0,12.0,계량기보호통(실),602.0,연결부,2.0,부식,1,누수,4.0,직관,9.0,1/100,3.0,291.0,0.0,"3,003","1,878",0.0,"1,782,420",N,35.8381435,128.5948274,2012-10-17 08:22:00
201001572,51000,중남부사업소,,,5.0,급수관,201002170148.0,201002171512.0,201002171600.0,201002171800.0,PFP D=50x15mm 분기대 누수수선,N,남구,남구 효서길 78 (봉덕동) / 1352-5번지,407.0,520.0,214.0,20109002483,남구 봉덕동 1352-5 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,3.0,1/3,3.0,48.0,0.0,300,"2,278",,"174,890",N,35.8381866,128.5945785,2010-02-17 15:12:00
201102260,51000,중남부사업소,,,,,201103080029.0,201103080914.0,201103081010.0,201103081145.0,미누수(확인굴착 결과 옥내누수),N,남구,남구 효성2길 19-19 (봉덕동) / 1292-146번지,,540.0,519.0,20119003410,남구 봉덕동 1292-146 번지,U,지하누수,,,,1.0,자체,2.0,야간,,,,,,,,,2,미누수,,,,,,,,0,0,0.0,"85,370",N,35.8368856,128.600272,2011-03-08 09:14:00
201302558,51000,중남부사업소,,,4.0,배수지관,201304120013.0,201304120920.0,201304121000.0,201304121100.0,DTC D=80x40mm 분기대 누수수선,N,남구,"남구 효성2길 19-19, (안) (봉덕동) / 1292-146번지",407.0,520.0,467.0,20139004719,"남구 효성2길 19-19, (안) (봉덕동) / 1292-146번지",U,지하누수,1.0,공도,,2.0,용역,,,5.0,40.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,7.0,1/4,3.0,102.0,1.0,"2,644","4,717",0.0,"506,670",N,35.8368856,128.600272,2013-04-12 09:20:00
201102261,51000,중남부사업소,,,5.0,급수관,201103080027.0,201103080913.0,201103080945.0,201103081125.0,"STS D=15mm 접합부 누수수선
",N,남구,남구 효성2길 19-3 (봉덕동) / 1292-154번지,,540.0,518.0,20119003411,남구 봉덕동 1292-154 번지,U,지하누수,2.0,사유지,,1.0,자체,2.0,야간,1.0,15.0,12.0,계량기보호통(실),702.0,접합부,2.0,부식,1,누수,1.0,소켓,2.0,1/2,4.0,67.0,1.0,836,"4,555",0.0,"81,790",N,35.8367742,128.6003368,2011-03-08 09:13:00
9907526,51000,중남부사업소,,,5.0,급수관,,,,,분기점 수선,N,남구,남구 효성2길 19-35 (봉덕동) / 1292-138번지,407.0,520.0,,5100007526,봉덕3동 1292-138번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,8.0,,901.0,,1.0,노후,1,누수,,,2.0,1/2,,153.0,0.0,"1,652","2,290",,,,35.8371018,128.6000587,
201107427,51000,중남부사업소,,,4.0,배수지관,201111230006.0,201111230858.0,201111230920.0,201111231150.0,EPS D=40*15mm 분기점 수선 N=2,N,남구,"남구 효성2길 19-7, (밖) (봉덕동) / 1292-153번지",407.0,540.0,1768.0,20119012809,남구 봉덕동 1292-153 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,6.0,1/10,4.0,326.0,0.0,704,788,0.0,"493,180",N,35.836753,128.6002437,2011-11-23 08:58:00
201302559,51000,중남부사업소,,,4.0,배수지관,201304120014.0,201304120921.0,201304121000.0,201304121100.0,EPS D=40x15mm 접합부 누수수선,N,남구,"남구 효성2길 19-7, 안 (봉덕동) / 1292-153번지",407.0,520.0,468.0,20139004720,"남구 효성2길 19-7, 안 (봉덕동) / 1292-153번지",U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,3.0,1/3,3.0,102.0,0.0,636,"1,136",0.0,"535,490",N,35.836753,128.6002437,2013-04-12 09:21:00
201107426,51000,중남부사업소,,,5.0,급수관,201111160077.0,201111161124.0,201111161300.0,201111161530.0,D=15mm계량기보호통 밑 수선,N,남구,남구 효성2길 5-14 (봉덕동) / 1327-3번지,407.0,540.0,1742.0,20119012798,남구 봉덕동 1327-3 번지,U,지하누수,2.0,사유지,1991.0,2.0,용역,,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,1,누수,1.0,소켓,5.0,1/7,4.0,319.0,0.0,995,"1,139",0.0,"544,520",N,35.8369156,128.5998507,2011-11-16 11:24:00
201105745,51000,중남부사업소,,,3.0,배수본관,201106290009.0,201106290850.0,201106290945.0,201106291120.0,"배기변실 수선 및 D=100mm 배기변 교체수선
",N,남구,남구 효성3길 7 (봉덕동) / 1292-193번지,407.0,540.0,1075.0,20119009648,남구 봉덕동 1292-193 번지,U,지하누수,1.0,공도,2011.0,1.0,자체,2.0,야간,8.0,100.0,9.0,변류,401.0,본체,1.0,노후,1,누수,3.0,연부,,,4.0,180.0,3.0,"11,578","23,477",0.0,"1,896,200",N,35.837294,128.5994737,2011-06-29 08:50:00
201401789,51000,중남부사업소,,,5.0,급수관,201403200308.0,201403201725.0,201403201800.0,201403202000.0,D150누수방지대설치수선,N,남구,남구 효성로 26-1 (봉덕동) / 1327-59번지,407.0,520.0,238.0,20149003697,남구 효성로 26-1 (봉덕동) / 1327-59번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,2.0,20.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,5.0,1/7,4.0,51.0,1.0,685,"2,446",0.0,"323,410",N,35.8358686,128.5999409,2014-03-20 17:25:00
9907527,51000,중남부사업소,,,5.0,급수관,,,,,접합부 수선,N,남구,남구 효성로 31-2 (봉덕동) / 1327-89번지,407.0,520.0,,5100007527,봉덕3동 1327-89번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,6.0,,302.0,,1.0,노후,1,누수,,,4.0,1/5,,153.0,0.0,661,916,,,,35.8362823,128.5992951,
201102442,51000,중남부사업소,,,5.0,급수관,201103100203.0,201103101424.0,201103101500.0,201103101600.0,"계량기 통 밑 STS D=15mm 접합부 누수수선
",N,남구,남구 효성로 79-1 (봉덕동) / 1599-4번지,,530.0,538.0,20119003684,남구 봉덕동 1599-4 번지,U,지하누수,2.0,사유지,,2.0,용역,,,1.0,15.0,12.0,계량기보호통(실),702.0,접합부,2.0,부식,1,누수,1.0,소켓,3.0,1/3,3.0,69.0,0.0,431,"2,278",0.0,"99,180",N,35.8402925,128.5980517,2011-03-10 14:24:00
9908136,51000,중남부사업소,,,5.0,급수관,,,,,접합부 수선,N,남구,남구 효성로 84 (봉덕동) / 626-2번지,407.0,520.0,,5100008136,봉덕2동 626-2번지선 누수수선공사,U,지하누수,,,,,,,,3.0,25.0,6.0,,302.0,,1.0,노후,1,누수,,,5.0,1/7,,270.0,0.0,"1,944",684,,,,35.8406765,128.598217,
9908135,51000,중남부사업소,,,4.0,배수지관,,,,,분기점 폐쇄,N,남구,남구 효성중앙길 9 (봉덕동) / 1327-30번지,407.0,520.0,,5100008135,봉덕2동 1327-30번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,1.0,노후,1,누수,,,4.0,1/5,,270.0,0.0,"1,296",456,,,,35.8355648,128.6007671,
201204309,51000,중남부사업소,,,5.0,급수관,201207120107.0,201207121308.0,201207121600.0,201207181800.0,D=15mm 계량기보호통전 직관부 수선,N,남구,"남구 희망로 60, 통4반 (이천동,이재혁카크리닉) / 577-18번지",404.0,300.0,789.0,20129008400,"남구 희망로 60, 통4반 (이천동,이재혁카크리닉) / 577-18번지",U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,195.0,0.0,702,655,0.0,"105,540",N,35.847346,128.6049891,2012-07-12 13:08:00
201004575,51000,중남부사업소,,,5.0,급수관,201007080049.0,201007080959.0,201007081100.0,201007081300.0,"DTC D=80x15mm 구, 분기점 폐쇄",N,남구,남구 희망로3길 11-2 (봉덕동) / 486-9번지,404.0,280.0,809.0,20109007797,남구 봉덕동 486-9 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,2.0,1/2,3.0,189.0,0.0,"1,769","3,416",,"401,040",N,35.8484297,128.5997106,2010-07-08 09:59:00
201003412,51000,중남부사업소,,,5.0,급수관,201005180004.0,201005180900.0,201005181000.0,201005181200.0,"DTC D=80×20mm 구,분기대 폐쇄",N,남구,"남구 희망로3길 25, 택시노조(희4-47) (봉덕동) / 485-7번지",404.0,280.0,616.0,20109005716,남구 봉덕동 485-7 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,2.0,20.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,2.0,1/2,3.0,138.0,1.0,"2,285","6,044",,"245,850",N,35.8489065,128.5994335,2010-05-18 09:00:00
201204063,51000,중남부사업소,,,4.0,배수지관,201206290021.0,201206290913.0,201206291300.0,201206291700.0,DTC D=80*15mm 구분기점 폐쇄,N,남구,"남구 희망로3길 29 (봉덕동,봉덕소방) / 485-11번지",404.0,130.0,745.0,20129007630,"남구 희망로3길 29 (봉덕동,봉덕소방) / 485-11번지",U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,1,누수,2.0,반도,7.0,1/4,3.0,181.0,0.0,"1,390","1,398",0.0,"606,800",N,35.8490316,128.5992963,2012-06-29 09:13:00
201004957,51000,중남부사업소,,,5.0,급수관,201008050043.0,201008050932.0,201008051000.0,201008051200.0,"DTC D=80×15mm 구,분기대 폐쇄",N,남구,남구 희망로3길 31 (봉덕동) / 481-9번지,404.0,280.0,919.0,20109008470,남구 봉덕동 481-9 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,2.0,1/2,3.0,217.0,0.0,"2,031","3,416",,"283,690",N,35.8491299,128.5992523,2010-08-05 09:32:00
201200654,51000,중남부사업소,,,4.0,배수지관,201201160073.0,201201161033.0,201201161120.0,201201161500.0,DTC D=100*15mm 분기점 수선,N,남구,"남구 희망로3길 31, 소방서옆(희4-51) (봉덕동) / 481-9번지",404.0,280.0,57.0,20129001190,남구 봉덕동 481-9 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,7.0,1/4,3.0,15.0,0.0,115,"1,398",0.0,"753,290",N,35.8491299,128.5992523,2012-01-16 10:33:00
201200658,51000,중남부사업소,,,5.0,급수관,201201160067.0,201201161026.0,201201161300.0,201201161610.0,STS D=25*15mm 지수전 철거,N,남구,"남구 희망로3길 33-12, 한섬컴 (봉덕동) / 479-31번지",404.0,280.0,56.0,20129001194,남구 봉덕동 479-31 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,15.0,0.0,54,655,0.0,"368,150",N,35.8488839,128.59895,2012-01-16 10:26:00
701338,51000,중남부사업소,,,5.0,급수관,,200706080900.0,,,분기점 폐쇄,N,남구,남구 희망로3길 6-10 (이천동) / 754-4번지,404.0,280.0,619.0,20079007670,이천동 754-4번지선 누수수선공사,U,지하누수,1.0,공도,,2.0,용역,1.0,주간,1.0,15.0,7.0,아연도강관,801.0,불용관,13.0,불용관,1,누수,2.0,반도,6.0,1/10,,158.0,0.0,455,596,,,N,35.8484275,128.6004005,2007-06-08 09:00:00
200902441,51000,중남부사업소,,,,,200904160111.0,200904161338.0,200904170900.0,200904171100.0,"DTC D=80x15mm 구, 분기점 패쇄",N,남구,"남구 희망로3길 7, 피카소하이츠(희4-13) (봉덕동) / 486-20번지",404.0,280.0,496.0,20099004589,남구 봉덕동 486-20 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,5.0,1/7,2.0,107.0,0.0,231,788,,"215,840",N,35.8481281,128.599693,2009-04-16 13:38:00
202203850,51000,중남부사업소,SS00201,생활용수,5.0,급수관,202205220056.0,202205171418.0,202205171445.0,202205171845.0,"D20 계량기보호통교체 및 D150x20 분기대신설, L=3.5m",N,남구,중구 남일동 78-2,406.0,162.0,283.0,20229006297,"중구 중앙대로 412-4 (남일동,KT휴대폰) / 78-2번지",U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,101.0,직관,1.0,노후,1,누수,4.0,직관,5.0,1/7,4.0,2.0,0.0,20,"1,835",0.0,"1,344,230",,35.8697309,128.5940578,2022-05-17 14:18:00
