cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
230,2,35.8902334,128.60391405000001,0.0064334306842568,38889,SPLY_LS,6.125458419849796,0.0070033443598519,4796,0.006665296671800919,2,Q1
231,3,35.8950004,128.6102705,0.0097459831450357,211358,SPLY_LS,5.596745107437098,0.0097459831450357,211358,0.0097459831450357,1,Q3
232,1,35.8918433,128.6064363,0.0073227849359928,212301,SPLY_LS,8.125999505379134,0.0073227849359928,212301,0.006359092430719209,2,Q1
233,3,35.89425706666666,128.60623416666667,0.0068700693711191,38865,SPLY_LS,8.737851875856595,0.0072086158022882,107402,0.0070366849827429075,2,Q1
234,1,35.8963222,128.6016409,0.0069012911342138,72517,SPLY_LS,8.682242170346564,0.0120259399502059,142932,0.008643005183445,3,Q3
236,1,35.8892791,128.6026847,0.0069481237788559,178202,SPLY_LS,4.464413448414848,0.0069481237788559,178202,0.0068162768062219325,3,Q1
237,1,35.8978484,128.6039147,0.0070042763527801,106804,SPLY_LS,7.956458402750436,0.0070042763527801,177607,0.007004276352780099,2,Q1
238,1,35.8959807,128.6123805,0.0709752717733486,37855,PIPE_LM,6.5810757701253975,0.0709752717733486,37855,0.030011974644965064,3,Q4
240,2,35.8947208,128.6107649,0.0073220859412967,73265,SPLY_LS,4.602987258486429,0.0124682733736618,72211,0.009689884907442261,2,Q3
241,2,35.89030775,128.60371045,0.0070292071636094,212354,SPLY_LS,6.850892073025038,0.0070292071636094,212354,0.0070292071636094,1,Q1
243,1,35.8944942,128.6004553,0.007407130295995,142171,SPLY_LS,6.387625692801477,0.007407130295995,142171,0.007181784362529403,4,Q2
244,1,35.8943564,128.6046949,0.0070452840416209,3941,SPLY_LS,6.370072580637698,0.0070452840416209,3941,0.0070452840416209,1,Q1
245,1,35.888788,128.6021374,0.0073302408794184,144001,SPLY_LS,4.811512820828187,0.0709752717733486,42425,0.023610623195267442,4,Q4
246,1,35.8921106,128.6071623,0.0062526739819062,244344,SPLY_LS,6.368981031822089,0.0062526739819062,244344,0.0062526739819062,1,Q1
250,1,35.8935898,128.6044517,0.005215781923562,3947,SPLY_LS,8.778476451185929,0.0073957133826246,72476,0.006299943398348115,2,Q1
251,3,35.89484863333333,128.60849043333334,0.0133431178619665,106330,PIPE_LM,6.707091705524145,0.0133431178619665,106330,0.009270848411271007,4,Q3
252,1,35.8899469,128.6035962,0.0059416279417907,246360,SPLY_LS,9.143159711587503,0.0059416279417907,246360,0.005941627941790701,1,Q1
253,1,35.892658,128.597828,0.0088477933144969,36445,SPLY_LS,5.463367075811456,0.0149547819794764,471694,0.010081266696289358,4,Q4
254,3,35.89413726666667,128.59786540000002,0.0072652343726764,142234,SPLY_LS,8.704036637846086,0.0072652343726764,142234,0.007265234372676399,1,Q2
255,1,35.8963482,128.6060171,0.0067449493205081,142922,SPLY_LS,6.266041461402327,0.0067449493205081,142922,0.0067449493205081,1,Q1
256,5,35.89055166,128.60331316000003,0.0073335028546671,3686,SPLY_LS,5.45575735384323,0.0073335028546671,3686,0.006923806542303181,2,Q1
257,1,35.8919494,128.6032447,0.0123209634288065,142915,PIPE_LM,6.978163143740451,0.0123209634288065,142915,0.01010073578913913,2,Q4
258,1,35.8939062,128.6061585,0.0068178777671398,73301,SPLY_LS,4.4450781211621,0.0074085282853873,107406,0.006446236050308049,3,Q1
259,1,35.8967216,128.6108766,0.0071249694369821,37870,SPLY_LS,8.471295020947135,0.0071249694369821,37870,0.0071249694369821,1,Q2
260,1,35.894585,128.6053741,0.006953016741729,212324,SPLY_LS,5.861715248041633,0.0149619280483941,73276,0.009358445414766036,3,Q3
263,1,35.8961785,128.600401,0.0071575891894692,175962,SPLY_LS,7.116554813112522,0.0071575891894692,175962,0.0071575891894692,1,Q2
264,2,35.8917379,128.6067056,0.0070555359638311,143938,SPLY_LS,8.17545384923788,0.0070555359638311,143938,0.007055535963831099,1,Q2
265,2,35.8980051,128.6067201,0.0067295714371928,245420,SPLY_LS,7.137503887419465,0.0067295714371928,245420,0.0067295714371928,1,Q1
266,1,35.8964534,128.607266,0.0071326583786398,72413,SPLY_LS,6.486592413723197,0.0072519534734495,143110,0.007184503948887526,2,Q2
267,3,35.88994066666667,128.60259390000002,0.0071492012531154,38901,SPLY_LS,7.552238159345834,0.0087906970977329,246379,0.0077785426608870285,5,Q3
268,2,35.894287,128.60983435,0.0070606619249362,143906,SPLY_LS,5.542938376232039,0.0070667198789695,178144,0.006977389351017937,3,Q1
269,2,35.8961893,128.6011194,0.0070007813792993,106633,SPLY_LS,5.072337916024094,0.0121732498950612,72237,0.0077684322775334515,5,Q3
270,1,35.894859,128.6107751,0.0082792024396184,107353,SPLY_LS,7.612742976842776,0.0082792024396184,107353,0.007407550984833319,2,Q2
271,1,35.8952507,128.598274,0.00726337038682,176443,SPLY_LS,9.166354504761111,0.00726337038682,176443,0.00726337038682,1,Q2
272,1,35.8944278,128.6099339,0.0070606619249362,143907,SPLY_LS,7.195332729227575,0.0162343340538362,73234,0.011399427462979353,2,Q4
273,1,35.8935602,128.5984186,0.0069770155596302,36450,SPLY_LS,5.871533685060096,0.0069770155596302,36450,0.006890727355346577,2,Q1
274,2,35.8940889,128.6099565,0.0060932532654634,73270,SPLY_LS,8.966260835083663,0.0079681563995028,212285,0.006993746612245824,2,Q1
275,2,35.89770685,128.6018282,0.0072102467899125,38053,SPLY_LS,8.589116626041443,0.0072102467899125,38053,0.007064413849848985,2,Q2
276,1,35.8950436,128.6055463,0.007411557262404,106515,SPLY_LS,7.493817422354003,0.0190147266574847,106356,0.01274626927689795,2,Q4
