FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
36403_1,36403,1,2.364697916130176,False,2
244086_1,244086,1,3.228536287265383,False,2
2884_1,2884,1,1.4987114548577354,False,3
2884_2,2884,2,1.8996363506189122,False,2
2884_3,2884,3,1.913613395883147,False,1
465918_1,465918,1,5.049957487301185,False,2
2950_1,2950,1,5.84635636483475,False,2
142234_1,142234,1,1.5408230589137717,False,3
142234_2,142234,2,0.0,False,2
142234_3,142234,3,1.2037949298081725,False,2
36454_1,36454,1,3.4278321019684697,False,2
105102_1,105102,1,4.954288108476932,False,2
142161_1,142161,1,3.0584915230017335,False,2
71471_1,71471,1,3.842469137374883,False,2
36992_1,36992,1,3.195645660647302,False,1
71366_1,71366,1,2.31040449927354,False,3
71366_2,71366,2,1.0532886035677147,False,2
71366_3,71366,3,7.580924330716537,False,1
244075_1,244075,1,3.5385726907552426,False,2
435704_1,435704,1,1.4496563435271488,False,3
435704_2,435704,2,3.9479288211305095,False,1
142118_1,142118,1,3.386848903424851,False,2
176378_1,176378,1,5.190759682396328,False,2
175924_1,175924,1,2.4393322227220064,False,1
175923_1,175923,1,3.561234314244524,False,2
2833_1,2833,1,10.87060159339598,False,2
71475_1,71475,1,4.245266852958314,False,2
36410_1,36410,1,4.075424315559079,False,2
71433_1,71433,1,8.302480170550544,False,2
210513_1,210513,1,4.096502618934029,False,2
2885_1,2885,1,1.5000739394698543,False,3
2885_2,2885,2,1.8994500415818487,False,2
2885_3,2885,3,1.9785424152375428,False,1
36991_1,36991,1,5.913878876301783,False,1
142233_1,142233,1,6.269654505864279,False,2
71534_1,71534,1,5.531258578712536,False,1
2945_1,2945,1,4.9838454329632675,False,2
71530_1,71530,1,8.043612431668691,False,1
176434_1,176434,1,4.52178590323366,False,2
2946_1,2946,1,2.976063402501212,False,2
176437_1,176437,1,3.638308075032896,False,2
244131_1,244131,1,1.9039330481221164,False,2
176436_1,176436,1,7.027463899807847,False,2
244132_1,244132,1,2.9906975120185577,False,1
142237_1,142237,1,4.013952211071317,False,1
176439_1,176439,1,4.919283912266197,False,2
244000_1,244000,1,3.2660428270479285,False,2
176438_1,176438,1,13.477256836280612,False,3
176438_2,176438,2,2.7883162287040726,False,1
175856_1,175856,1,1.5942599593746916,False,3
175856_2,175856,2,3.2168250768543087,False,1
210437_1,210437,1,4.032710420735808,False,1
2802_1,2802,1,2.6116902148874943,False,2
210420_1,210420,1,2.7896981972486135,False,2
142113_1,142113,1,3.109848542752972,False,2
105123_1,105123,1,3.0464117527246874,False,2
105124_1,105124,1,3.7771743484971427,False,2
176435_1,176435,1,2.728403498335509,False,2
36451_1,36451,1,3.9256933642956024,False,2
2826_1,2826,1,3.0429784085483442,False,2
175914_1,175914,1,14.619666692266545,False,2
105143_1,105143,1,4.551690398911346,False,2
71424_1,71424,1,3.682839390528227,False,2
36448_1,36448,1,5.041617754972454,False,2
71426_1,71426,1,2.7183352137053998,False,1
2828_1,2828,1,3.528503243085881,False,2
105142_1,105142,1,3.147431947311757,False,2
71425_1,71425,1,4.576657812917329,False,1
36450_1,36450,1,3.0544833064952974,False,2
175918_1,175918,1,3.3120619460849627,False,2
244035_1,244035,1,4.039183056713856,False,2
2827_1,2827,1,5.300355318921758,False,2
175917_1,175917,1,14.038704806378215,False,2
36423_1,36423,1,3.995418127581015,False,2
244034_1,244034,1,3.523150492478268,False,2
36449_1,36449,1,4.411649931831284,False,2
71531_1,71531,1,3.415105643268177,False,2
210455_1,210455,1,3.5530617905772712,False,2
175916_1,175916,1,3.5996148296323747,False,2
71420_1,71420,1,5.311444856540462,False,1
175925_1,175925,1,4.764736300981129,False,2
2834_1,2834,1,4.355632236274431,False,2
175922_1,175922,1,3.576657154685937,False,1
