rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
132,Kdi,섬록암,29,68369324.8416214,2357562.9255731516,186413.173775383,1,중생대 백악기(29),3,"강릉, 목포, 여수"
133,Ktsv,퇴적암 및 화산암,5,66513615.154528,13302723.0309056,94724.05166772999,1,중생대 백악기(5),1,강릉
134,Kdd,유천층군다대포층,24,65905711.6876484,2746071.3203186835,140860.705461152,1,중생대 백악기(24),1,부산
135,Qb(I),제4기 현무암(I),21,65761111.14625509,3131481.483155004,215774.714896141,1,신생대 제4기(21),1,제주
136,Kd2,경상루층군영동층군산이리층,2,59736178.49672,29868089.24836,96528.56404580001,1,중생대 백악기(2),1,대전
137,Kk1,경상루층군공주층군하부공주층군,7,54127439.21887901,7732491.316982715,136836.16728273,1,중생대 백악기(7),1,대전
138,PCEp,소백산편마암복합체평해층군,8,54069572.389251,6758696.548656375,101418.23413336,1,선캄브리아시대(8),1,안동
139,Knyc,유치역암,4,53858372.477299005,13464593.119324751,87411.23350009,1,중생대 백악기(4),1,목포
140,PCEgn,소백산편마암복합체호상편마암,8,53676310.8363,6709538.8545375,108632.02137686999,1,선캄브리아시대(8),1,안동
141,PCEsegrgn,서산층군화강편마암,19,53023021.26491421,2790685.329732327,176398.55247936997,1,선캄브리아시대(19),1,대전
142,PCEkagn,경기편마암복합체안구장편마암,10,51281980.299659,5128198.0299659,129105.71972491,1,선캄브리아시대(10),1,대전
143,PCEfgr,세립질화강암,2,47162921.223120004,23581460.611560002,45482.83462449,1,중생대 백악기(2),1,광주
144,Kpgr,반상화강암,1,46159050.1103,46159050.1103,41743.3866799,1,중생대 백악기(1),1,부산
145,Kc1,경상루층군초평층군하부초평층군,9,43454422.4767081,4828269.164078678,107703.673417615,1,중생대 백악기(9),1,대전
146,PCEss,소백산편마암복합체편암류,6,40486188.541028,6747698.090171333,72877.94283002999,1,선캄브리아시대(6),1,광주
147,Jsy,섬장암,14,39746032.843412,2839002.3459579996,106358.714363043,1,중생대 쥐라기(14),3,"강릉, 대전, 서울"
148,Qtt,조면암 및 조면안산암,5,39731489.686280996,7946297.937256199,61850.76435909,1,신생대 제4기(5),1,강릉
149,Tb,현무암,11,37942202.450279996,3449291.131843636,85975.84212352999,1,신생대 신진기~고진기(11),4,"강릉, 부산, 안동, 진남포"
150,TRga,반려암,2,37766214.84185,18883107.420925,69702.37681477,1,중생대 트라이아스기(2),1,광주
151,PCEjs,지리산편마암합체편암,20,37384838.601245,1869241.93006225,172235.49125505003,1,선캄브리아시대(20),4,"광주, 목포, 부산, 여수"
152,bg,방림층군,1,37179155.7231,37179155.7231,137695.40332,1,시대 미상(1),1,강릉
153,Te3,연일층군상부연일층군,2,37030023.71655,18515011.858275,47962.1353442,1,신생대 신진기~고진기(2),1,안동
154,yic,양평화성복합체,4,36838357.517574,9209589.3793935,66647.41027841001,1,시대 미상(4),1,서울
155,Kk2,경상루층군공주층군중부공주층군,6,35245118.701179,5874186.4501965,79303.21275608,1,중생대 백악기(6),1,대전
156,Qtb(III)(S),제4기 조면현무암(III),80,35193502.912964106,439918.7864120513,196590.53311193798,1,신생대 제4기(80),1,제주
157,Qtb(V),제4기 조면현무암(V),4,32162963.6497866,8040740.91244665,63886.959136931,1,신생대 제4기(4),1,제주
158,PCEspgn,소백산편마암합체반상변성질편마암,3,30527367.31358,10175789.104526667,45626.5226136,1,선캄브리아시대(3),1,부산
159,Tbv,염기성화산암,1,28896697.3071,28896697.3071,30339.036124,1,신생대 신진기~고진기(1),1,부산
160,Kmb,진안층군방이리층,1,28524364.2325,28524364.2325,24255.9085348,1,중생대 백악기(1),1,광주
161,Kyjm,경상계층군 유천층군  장목리층,12,27867547.959087122,2322295.6632572603,63133.539519838,1,중생대 백악기(12),1,여수
162,Pp3,평안층군 상부평안층군,12,26898637.712222,2241553.1426851666,131684.30155955002,1,고생대 페름기(12),1,목포
163,ogs,옥천층군 변성사질암류,10,26529078.448432002,2652907.8448432004,97460.48584539001,1,시대 미상(10),1,목포
164,Kysi,경상계층군 유천층군 신성리층,28,26515450.37534013,946980.3705478618,111302.118746781,1,중생대 백악기(28),1,여수
165,Kmg,진안층군길왕리층,4,26374854.489600003,6593713.622400001,58648.0227908,1,중생대 백악기(4),1,광주
166,PCEja,선캠브리아시대 백령층군 장촌층,5,26358184.696495,5271636.939299,80525.18159011999,1,선캄브리아시대(5),1,진남포
167,Qtb,조면암 및 현무암,6,25890014.34350909,4315002.390584848,45264.636458413,1,신생대 제4기(6),1,강릉
168,Kgsv,퇴적암 및 화산암,4,25207386.333110698,6301846.583277674,44669.20595663,1,중생대 백악기(4),1,강릉
169,Qta,제4기 조면안산암,15,24677332.4003897,1645155.4933593133,116097.31526168899,1,신생대 제4기(15),1,제주
170,Jkt,대동층군 통진층,4,24435355.219954997,6108838.804988749,60979.058794369994,1,중생대 쥐라기(4),1,서울
171,Ksdw,경상계층군 신동층군 두원층,9,24406298.15489144,2711810.906099049,57273.266961211,1,중생대 백악기(9),1,여수
172,Jgb,반휘암,3,22528935.03152,7509645.010506667,41325.6809308,1,중생대 쥐라기(3),1,부산
173,CEy,조선누층군양덕층군,4,22510170.092559997,5627542.523139999,51212.668095659996,1,고생대 캄브리아기(4),1,안동
174,Kkv,경상루층군 공주층군 화산암류,10,22058074.550021,2205807.4550021,73687.05495631,1,중생대 백악기(10),1,대전
175,Ktm,경상계층군 초평층군 문수산층,5,20142566.515772,4028513.3031544,43737.974459649995,1,중생대 백악기(5),1,서울
176,TRmqp,변성석영반암,13,19690109.4993448,1514623.8076419076,96652.02003538,2,"중생대 트라이아스기(11), 미분류(2)",2,"광주, 여수"
177,Qs,퇴적암,13,19640870.052102003,1510836.1578540003,100539.00471016,1,신생대 제4기(13),3,"강릉, 제주, 진남포"
178,Kd4,경상누층군영동층군선유동층,6,19454712.846440002,3242452.1410733336,59786.37501227001,1,중생대 백악기(6),1,안동
179,CEls,조선누층군하부대석회암층군,5,19129706.942576,3825941.3885151995,62076.78652732,1,고생대 캄브리아기(5),1,안동
180,Kjv,경상루층군진안층군화산암류,5,18514830.695908,3702966.1391816,37956.80105994,1,중생대 백악기(5),1,대전
181,PCEy,용암산층,8,17660717.548248,2207589.693531,92804.53915135,1,선캄브리아시대(8),1,광주
182,Ke9,경상누층군하양층군신양동층,9,15802022.60317,1755780.2892411111,77760.47010675,1,중생대 백악기(9),1,안동
183,Kjmd,진안층군만덕산층,4,15077015.378081,3769253.84452025,44529.07238676,1,중생대 백악기(4),1,광주
