지시번호,접수번호,공사일자,위치,유형,공사개요,계,도급액,관급자재,도로복구비,건강보험,연금보험,산재보험,고용보험,요양보험,퇴직공제,보험료 (원),"산업안전
보건관리비",관경,관종,부위,원인,누수량,중구역,소구역,살수량,계.1,사용료,물이용부담금,GIS 등록,비고,작업일시,위도,경도
54,20220117-0156,01-17,동구 신천동 807-23,지상사유지,D13 보호통 수선,"649,240 ","649,240 ",0 ,0 ,"7,760 ","10,180 ","9,460 ","2,220 ",890 ,"5,200 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,폐콘 0.1,2022-01-17,35.8691244,128.6166721
55,20220117-0225,01-17,동구 숙천동 118,지상공도,D13 접합부 수선,"712,720 ","712,720 ",0 ,0 ,"7,370 ","9,680 ","8,990 ","2,110 ",840 ,"4,940 ",0,0,15.0,스텐레스관,이형관,부식,4,236.0,223,1.0,"1,137 ",980 ,157 ,미등록,폐아 0.2,2022-01-17,35.8818309,128.7548788
56,20220117-0253,01-17,동구 신암동 115-1,지상공도,D200 직관부 수선,"1,173,330 ","866,430 ","306,900 ",0 ,"11,530 ","15,130 ","14,050 ","3,300 ","1,320 ","7,730 ",,0,200.0,닥타일관,직관,부식,499.5,212.0,5,0.297,380 ,333 ,0 ,미등록,,2022-01-17,35.8857771,128.6322759
57,20220118-0039,01-18,동구 부동 317-5,지상공도,D40 직관부 수선,"722,790 ","722,790 ",0 ,0 ,"8,250 ","10,820 ","10,060 ","2,360 ",950 ,"5,530 ",,0,40.0,PFP관,이형관,노후,1.29,226.0,119-1,0.0,0 ,0 ,0 ,미등록,폐콘 0.3,2022-01-18,35.8896871,128.6864966
58,20220118-0370,01-18,동구 검사동 1027-20,지하공도,D200 직관부수선,"1,186,640 ","879,740 ","306,900 ",0 ,"10,870 ","14,260 ","13,250 ","3,110 ","1,250 ","7,280 ",,0,200.0,닥타일관,직관,노후,"24,926.4",227.0,124-2,,0 ,0 ,0 ,미등록,폐콘 0.4,2022-01-18,35.8866575,128.6485955
59,20220119-0305,01-19,동구 미대동 746-1,지상공도,D25 접합부수선,"327,410 ","327,410 ",0 ,0 ,"5,030 ","6,600 ","6,130 ","1,440 ",570 ,"3,370 ",0,0,25.0,스텐레스관,직관,부식,2,201.0,301,0.0,0 ,0 ,0 ,미등록,,2022-01-19,35.9486169,128.6647221
61,20220120-0033,01-20,동구 신천동 807-13,지상사유지,D13 보호통수선,"634,510 ","634,510 ",0 ,0 ,"7,220 ","9,470 ","8,800 ","2,070 ",830 ,"4,840 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,폐콘 0.23,2022-01-20,35.8691536,128.6165134
64,20220121-0119,01-21,동구 효목동 371-6 3층,지상사유지,D13 앵글밸브수선 후 보호통수선,"630,880 ","630,880 ",0 ,0 ,"7,170 ","9,410 ","8,750 ","2,050 ",820 ,"4,810 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,223.0,37,,,,,미등록,폐콘 0.23,2022-01-21,35.8786911,128.6371499
65,20220121-0151,01-21,동구 신암동 628-3,지하사유지,D13 보호통 수선,"583,540 ","583,540 ",0 ,0 ,"6,400 ","8,400 ","7,800 ","1,830 ",730 ,"4,290 ",,0,15.0,계량기보호통(실),계량기보호통,노후,35.28,211.0,7,,0 ,0 ,0 ,미등록,폐콘 0.23,2022-01-21,35.886322,128.6216662
67,20220122-0004,01-22,동구 백안동 497,지상사유지,STS D13 접합부 수선,"716,380 ","716,380 ",0 ,0 ,"8,060 ","10,580 ","9,830 ","2,310 ",920 ,"5,400 ",0,0,15.0,스텐레스관,이형관,부식,,201.0,309,0.204,260 ,228 ,0 ,미등록,폐콘 1.6,2022-01-22,35.9551899,128.6926416
68,20220122-0024,01-22,동구 신천동 833-4,지상사유지,D13 보호통 수선,"613,980 ","613,980 ",0 ,0 ,"7,110 ","9,330 ","8,670 ","2,030 ",810 ,"4,760 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,폐콘 0.23,2022-01-22,35.8688132,128.616664
69,20220123-0006,01-23,동구 지저동 771-9,지상공도,STS D13mm 불용관수선,"50,290 ","50,290 ",0 ,0 ,60 ,80 ,80 ,10 ,0 ,40 ,0,0,15.0,스텐레스관,이형관,부식,2,208.0,92,0.0,0 ,0 ,0 ,미등록,,2022-01-23,35.8957193,128.637579
70,20220123-0014,01-23,동구 방촌동 1113-212,지상공도,PFP D80*20mm 분기점 누수 수선,"669,210 ","669,210 ",0 ,0 ,"8,450 ","11,090 ","10,300 ","2,420 ",970 ,"5,670 ",0,0,80.0,부분기대,부분기대,노후,1.36,227.0,138,0.0,0 ,0 ,0 ,미등록,폐아 0.2,2022-01-23,35.8773919,128.6717455
71,20220124-0096,01-24,동구 신기동 122-9 스테이호텔,지상사유지,"D13, STS관 접합부 수선","309,130 ","309,130 ",0 ,0 ,"4,170 ","5,480 ","5,090 ","1,190 ",480 ,"2,800 ",0,0,15.0,스텐레스관,이형관,부식,,233.0,251,0.188,241 ,211 ,0 ,미등록,폐아 0.5,2022-01-24,35.872332,128.7045807
72,20220124-0101,01-24,동구 불로동 574-4,지상사유지,D13 보호통 수선,"677,330 ","677,330 ",0 ,0 ,"8,020 ","10,520 ","9,780 ","2,300 ",920 ,"5,380 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,205.0,80,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2022-01-24,35.910586,128.6427186
73,20220124-0316,01-24,동구 도학동 487,,확인굴착(자연수),"407,200 ","407,200 ",0 ,0 ,"5,800 ","7,610 ","7,070 ","1,660 ",660 ,"3,890 ",,0,15.0,기타,기타,기타,0,201.0,311,,,,,미등록,폐콘 0.3,2022-01-24,35.9671771,128.7056977
74,20220125-0024,01-25,동구 신천동 833-17,지상사유지,D13 보호통 수선,"643,840 ","643,840 ",0 ,0 ,"7,830 ","10,280 ","9,550 ","2,240 ",900 ,"5,250 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,폐콘 0.1,2022-01-25,35.8688188,128.6168154
75,20220125-0040,01-25,동구 신천동 262-6,지상사유지,D13mm 보호통 수선,"991,830 ","991,830 ",0 ,0 ,"11,720 ","15,380 ","14,290 ","3,360 ","1,350 ","7,860 ",0,0,15.0,계량기보호통(실),계량기보호통,노후,,221.0,41,0.0,0 ,0 ,0 ,미등록,폐콘 0.16,2022-01-25,35.872541,128.6213351
