긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
201107285,54000,북부사업소,,,5.0,급수관,,201111040900.0,,,D15mm 인입선 수선,B,북구,북구 연암공원로8길 13-9 (산격동) / 1106-14번지,520.0,461.0,1175.0,20119012553,북구 산격동1106-14 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,4.0,1/5,3.0,308.0,0.0,"1,109","1,314",,"454,280",N,35.8936833,128.5991138,2011-11-04 09:00:00
201205354,54000,북부사업소,,,5.0,급수관,,201209210900.0,,,D15 보호통 수선,B,북구,북구 연암공원로8길 17 (산격동) / 1103번지,520.0,461.0,792.0,20129010257,북구 연암공원로8길 17 (산격동) / 1103번지,U,지하누수,2.0,사유지,,1.0,자체,1.0,주간,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,1,누수,1.0,소켓,6.0,1/10,3.0,83.0,0.0,139,306,,"456,800",N,35.8934617,128.5984185,2012-09-21 09:00:00
201103878,54000,북부사업소,,,4.0,배수지관,,201105170900.0,,,D15mm접합부수선,B,북구,북구 연암공원로8길 9 (산격동) / 1106-16번지,520.0,461.0,643.0,20119006304,북구 산격동1106-16 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,11.0,접합부속,303.0,나사,1.0,노후,1,누수,1.0,소켓,4.0,1/5,3.0,137.0,0.0,493,"1,314",,"475,580",N,35.8937043,128.5989861,2011-05-17 09:00:00
201002312,54000,북부사업소,,,4.0,배수지관,,201003050900.0,,,D200mm 직관부수선,B,북구,북구 연암로 18-9 (산격동) / 1441-51번지,520.0,470.0,282.0,20109003636,북구 산격동1441-51 번지,U,지하누수,1.0,공도,,2.0,용역,,,10.0,200.0,11.0,접합부속,302.0,고무링·패킹,10.0,고무링-패킹손상,1,누수,1.0,소켓,9.0,1/100,4.0,64.0,8.0,"12,227","69,730",,"2,640,880",N,35.8898263,128.6010129,2010-03-05 09:00:00
201001651,54000,북부사업소,,,5.0,급수관,,201002230900.0,,,D200X15mm 분기점폐쇄,B,북구,북구 연암로 22 (산격동) / 1441-4번지,520.0,470.0,250.0,20109002606,북구 산격동1441-4 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,2.0,반도,6.0,1/10,4.0,54.0,0.0,181,"1,226",,"380,020",N,35.8899651,128.6009332,2010-02-23 09:00:00
200902724,54000,북부사업소,,,,,,200904030900.0,,,STS(25)직관부수선,B,북구,북구 연암로 56-3 (산격동) / 1017-2번지,1070.0,570.0,253.0,20099004992,북구 산격동1017-2 번지,U,지하누수,1.0,공도,,2.0,용역,,,3.0,25.0,11.0,접합부속,302.0,고무링·패킹,1.0,노후,1,누수,1.0,소켓,3.0,1/3,4.0,93.0,1.0,"1,652","6,482",,"523,040",N,35.8911309,128.5975278,2009-04-03 09:00:00
700492,54000,북부사업소,,,0.0,,,200707231000.0,,,,B,북구,북구 연암로 66-5 (산격동) / 988-3번지,520.0,461.0,487.0,20079005005,산격1동 988-3,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,7.0,아연도강관,303.0,나사,8.0,전식,1,누수,,,,,,365.0,0.0,0,"3,504",,,N,35.8915342,128.5965834,2007-07-23 10:00:00
700493,54000,북부사업소,,,0.0,,,200707231000.0,,,,B,북구,북구 연암로 68-4 (산격동) / 988-4번지,520.0,461.0,488.0,20079005006,산격1동 988-4,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,8.0,에폭시강관,303.0,나사,8.0,전식,1,누수,,,,,,365.0,,0,"4,380",,,N,35.8915603,128.596439,2007-07-23 10:00:00
201401447,54000,북부사업소,,,5.0,급수관,201402170499.0,201402171725.0,201402171725.0,201402172000.0,D80mm  제수변 누수,B,북구,북구 연암로12길 10 (산격동) / 1037-1번지,520.0,461.0,183.0,20149002779,북구 연암로12길 10 (산격동) / 1037-1번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,9.0,변류,402.0,접합부,2.0,부식,1,누수,1.0,소켓,6.0,1/10,3.0,48.0,0.0,81,306,,"205,320",N,35.8918673,128.5973152,2014-02-17 17:25:00
200904129,54000,북부사업소,,,,,,200907010900.0,,,STS(25X15)지수전 2개소 직선처리,B,북구,북구 연암로12길 12-14 (산격동) / 1091번지,1070.0,570.0,438.0,20099007277,북구 산격동1091 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,9.0,변류,401.0,본체,2.0,부식,1,누수,1.0,소켓,6.0,1/10,3.0,182.0,0.0,306,613,,"224,730",N,35.892329,128.597797,2009-07-01 09:00:00
9910402,54000,북부사업소,,,0.0,,,,,,D15 지수전수선,B,북구,북구 연암로12길 17 (산격동) / 1058-4번지,520.0,461.0,,5400010402,산격1동 1058-4,U,지하누수,,,,,,,,1.0,15.0,99.0,,9999.0,,,,1,누수,,,0.0,,,365.0,0.0,701,701,,,,35.8925856,128.5968797,
201201916,54000,북부사업소,,,5.0,급수관,,201203130900.0,,,D=25×15 인입선수선,B,북구,북구 연암로12길 6-29 (산격동) / 1089-2번지,520.0,461.0,270.0,20129003382,북구 산격동1089-2 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,6.0,1/10,3.0,73.0,0.0,123,306,,"252,590",N,35.8919995,128.597909,2012-03-13 09:00:00
9907975,54000,북부사업소,,,4.0,배수지관,,20050805140000.0,,,PFP D80*15분기점수선,B,북구,북구 연암로12길 8 (산격동) / 1037-2번지,520.0,461.0,,20055400007975,산격1동 1037-2,U,지하누수,,,,,,,,1.0,15.0,5.0,,901.0,,2.0,부식,1,누수,,,3.0,1/3,,216.0,0.0,"2,229","1,538",,,,35.8917733,128.5973032,2005-08-05 14:00:00
200904123,54000,북부사업소,,,,,,200907010901.0,,,PFP(40)지수전 교체,B,북구,북구 연암로12길 9-2 (산격동) / 1052번지,1070.0,570.0,439.0,20099007270,북구 산격동1052 번지,U,지하누수,1.0,공도,,2.0,용역,,,5.0,40.0,9.0,변류,401.0,본체,1.0,노후,1,누수,1.0,소켓,6.0,1/10,3.0,182.0,0.0,"1,878","3,767",,"427,780",N,35.8921276,128.5969563,2009-07-01 09:01:00
201802143,54000,북부사업소,,,4.0,배수지관,201802140435.0,201802140949.0,,201802141215.0,PFP50×25연결부 수선(2개소),B,북구,북구 연암로2길 18 (산격동) / 1392-4번지,520.0,470.0,318.0,20189003427,북구 연암로2길 18 (산격동) / 1392-4번지,U,지하누수,1.0,공도,,2.0,용역,,,3.0,25.0,5.0,PFP관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,7.0,1/4,3.0,45.0,0.0,518,"2,097",0.0,"953,630",N,35.8891615,128.6026163,2018-02-14 09:49:00
201003630,54000,북부사업소,,,4.0,배수지관,,201005130900.0,,,D50mm 접합부수선,B,북구,북구 연암로2길 3 (산격동) / 1389-3번지,520.0,470.0,510.0,20109006000,북구 산격동1389-3 번지,U,지하누수,1.0,공도,,2.0,용역,,,6.0,50.0,11.0,접합부속,302.0,고무링·패킹,10.0,고무링-패킹손상,1,누수,1.0,소켓,6.0,1/10,4.0,133.0,1.0,"2,011","5,519",,"466,770",N,35.8889189,128.6020764,2010-05-13 09:00:00
201204280,54000,북부사업소,,,4.0,배수지관,,201205140900.0,,,D15mm 계량기통수선,B,북구,북구 연암로2길 67-8 (산격동) / 1498-107번지,520.0,470.0,476.0,20129008285,북구 연암로2길 67-8 (산격동) / 1498-107번지,U,지하누수,2.0,사유지,,2.0,용역,,,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,1.0,노후,1,누수,1.0,소켓,4.0,1/5,4.0,135.0,0.0,583,786,0.0,"393,900",N,35.8906725,128.6043161,2012-05-14 09:00:00
201002104,54000,북부사업소,,,4.0,배수지관,,201003050900.0,,,D=80mm 접합부 수선,B,북구,북구 연암로2길 70 (산격동) / 1498-46번지,520.0,470.0,281.0,20109003384,북구 산격동1498-46 번지,U,지하누수,1.0,공도,,2.0,용역,,,7.0,80.0,11.0,접합부속,301.0,볼트·너트,2.0,부식,1,누수,1.0,소켓,8.0,1/50,4.0,64.0,2.0,"3,072","17,520",,"686,530",N,35.8907824,128.6046677,2010-03-05 09:00:00
201004777,54000,북부사업소,,,4.0,배수지관,,201007140900.0,,,D=25mm 접합부수선,B,북구,북구 연암로2길 71 (산격동) / 1498-183번지,520.0,470.0,680.0,20109008063,북구 산격동1498-183 번지,U,지하누수,1.0,공도,,2.0,용역,,,3.0,25.0,11.0,접합부속,302.0,고무링·패킹,1.0,노후,1,누수,1.0,소켓,4.0,1/5,4.0,195.0,0.0,"2,059","3,854",,"281,550",N,35.8907876,128.6044362,2010-07-14 09:00:00
201606072,54000,북부사업소,,,4.0,배수지관,201610110322.0,201610111733.0,201610120900.0,201610121200.0,40*15 분기점 수선,B,북구,북구 연암로4길 23 (산격동) / 1395-12번지,523.0,520.0,932.0,20169013382,북구 연암로4길 23 (산격동) / 1395-12번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,2.0,반도,4.0,1/5,2.0,285.0,0.0,"1,436",917,0.0,"763,390",N,35.8898477,128.6024933,2016-10-11 17:33:00
201200425,54000,북부사업소,,,5.0,급수관,,201112260900.0,,,D=15mm 접합부 수선,B,북구,북구 연암로4길 23-1 (산격동) / 1395-11번지,520.0,470.0,1390.0,20129000575,북구 산격동1395-11 번지,U,지하누수,2.0,사유지,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,6.0,1/10,3.0,360.0,0.0,605,613,,"368,940",N,35.8899212,128.6024098,2011-12-26 09:00:00
201605823,54000,북부사업소,,,4.0,배수지관,201610110321.0,201610111729.0,201610120900.0,201610121200.0,50*20 분기점 수선,B,북구,북구 연암로4길 3-8 (산격동) / 1441-70번지,520.0,470.0,931.0,20169012877,북구 연암로4길 3-8 (산격동) / 1441-70번지,U,지하누수,1.0,공도,,2.0,용역,,,2.0,20.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,6.0,1/10,2.0,285.0,0.0,"1,915","1,223",0.0,"855,020",N,35.8894594,128.6016559,2016-10-11 17:29:00
201002124,54000,북부사업소,,,5.0,급수관,,201003150900.0,,,D40*15mm 분기점 수선,B,북구,북구 연암로4길 42-12 (산격동) / 1498-95번지,520.0,470.0,307.0,20109003407,북구 산격동1498-95 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,9.0,변류,402.0,접합부,1.0,노후,1,누수,1.0,소켓,5.0,1/7,4.0,74.0,0.0,231,"1,139",,"349,120",N,35.8899459,128.6034124,2010-03-15 09:00:00
201802152,54000,북부사업소,,,3.0,배수본관,201802200535.0,201802201548.0,,201802201700.0,PFP 100×20분기점수선,B,북구,북구 연암로4길 49 (산격동) / 1498-220번지,520.0,470.0,339.0,20189003455,북구 연암로4길 49 (산격동) / 1498-220번지,U,지하누수,1.0,공도,,2.0,용역,,,2.0,20.0,5.0,PFP관,201.0,이형관,1.0,노후,1,누수,2.0,반도,7.0,1/4,3.0,51.0,1.0,"1,053","3,756",0.0,"975,740",N,35.8906243,128.6037134,2018-02-20 15:48:00
201001648,54000,북부사업소,,,5.0,급수관,,201002180900.0,,,D15mm 지열보호통 교체,B,북구,북구 연암로4길 53-3 (산격동) / 1498-209번지,520.0,470.0,240.0,20109002603,북구 산격동1498-209 번지,U,지하누수,2.0,사유지,,2.0,용역,,,1.0,15.0,9.0,변류,402.0,접합부,1.0,노후,1,누수,1.0,소켓,6.0,1/10,3.0,49.0,0.0,82,613,,"716,910",N,35.8907982,128.6036585,2010-02-18 09:00:00
201800470,54000,북부사업소,,,4.0,배수지관,201712070535.0,201712071652.0,,201712071750.0,(구)관폐쇄,B,북구,북구 연암로4길 8 (산격동) / 1389-18번지,520.0,470.0,1266.0,20189000795,북구 연암로4길 8 (산격동) / 1389-18번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,,,3.0,341.0,0.0,655,349,0.0,"1,092,620",N,35.8893451,128.6020508,2017-12-07 16:52:00
