NO,접수번호,부서,정산년월,지시번호,공사명,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,GIS 입력,위도,경도,epsg5179위도,epsg5179경도
32,20220704-0328,북부사업소,202207,494 ,북구 대학로9길 38-1 (산격동) / 1409-49번지,지상-사유지,,산격동 1409-49,2022-07-04 13:11,,2022-07-04 16:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8943,128.6060303,1099818.689,1766974.762
33,20220629-0297,북부사업소,202206,476 ,북구 대동로 2 (산격동) / 1234-1번지,기타,,산격동 1234-1,2022-06-29 13:52,,2022-06-29 16:00,기타,북구,0520,48,,,,,,,,,생활용수,미입력,35.8982143,128.6074781,1099944.437,1767410.413
34,20220621-0386,북부사업소,202206,450 ,"북구 연암공원로14길 48 (산격동,밸리채) / 1423-8번지",미누수,,산격동 1423-8,2022-06-21 17:59,,2022-06-21 20:00,,북구,0520,47,,,,,,,,,생활용수,미입력,35.8958609,128.6044504,1099674.142,1767146.283
35,20220620-0419,북부사업소,202206,445 ,"북구 산격로13길 5-2 (산격동,원룸) / 1223-15번지",기타,,산격동 1223-15,2022-06-20 16:19,,2022-06-20 20:00,기타,북구,0520,47,,,,,,,,,생활용수,미입력,35.8968585,128.6046674,1099692.475,1767257.157
36,20220616-0276,북부사업소,202206,438 ,북구 산격로11길 36-5 (산격동) / 1434-48번지,지하-사유지,자체-주간,산격동 1434-48,2022-06-16 16:44,,2022-06-16 18:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,84일,504 ,생활용수,미입력,35.8961114,128.6010527,1099367.182,1767170.607
37,20220613-0081,북부사업소,202206,431 ,북구 연암공원로14길 14-4 (산격동) / 1434-6번지,지하-사유지,용역,산격동 1434-6,2022-06-13 10:22,,2022-06-13 18:00,급수관,북구,0520,46-1,사유지,15 ,스텐레스관,직관,노후,,82일,492 ,생활용수,미입력,35.8963222,128.6010698,1099368.462,1767194.006
38,20220613-0077,북부사업소,202206,430 ,북구 연암공원로14길 13-23 (산격동) / 1186-16번지,지하-사유지,용역,산격동 1186-16,2022-06-13 10:19,,2022-06-13 18:00,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,82일,394 ,생활용수,미입력,35.8968524,128.6010428,1099365.362,1767252.788
39,20220613-0075,북부사업소,202206,429 ,북구 산격로13길 14 (산격동) / 1221-11번지,지하-사유지,용역,산격동 1221-11,2022-06-13 10:14,,2022-06-13 14:30,급수관,북구,0520,47,사유지,15 ,PFP관,이형관,노후,,82일,236 ,생활용수,미입력,35.8970546,128.6038392,1099617.484,1767278.064
40,20220609-0083,북부사업소,202206,425 ,북구 연암공원로7길 2-5 (산격동) / 1139-1번지,지하-공도,용역,산격동 1139-1,2022-06-09 09:46,,2022-06-09 15:00,배수지관,북구,0520,46-1,공도,15 ,부분기대,부분기대,노후,,80일,403 ,생활용수,입력,35.8946747,128.5981774,1099109.474,1767008.329
41,20220609-0081,북부사업소,202206,424 ,북구 연암로2길 31 (산격동) / 1498-177번지,지하-사유지,용역,산격동 1498-177,2022-06-09 09:45,,2022-06-09 13:00,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),연결부,노후,,80일,384 ,생활용수,미입력,35.8896693,128.6031274,1099562.492,1766458.167
42,20220531-0280,북부사업소,202205,406 ,북구 대구체육관로8길 13 (산격동) / 1497-6번지,지상-공도,,산격동 1497-6,2022-05-31 14:17,,2022-05-31 16:00,급수관,북구,0520,47,공도,20 ,부분기대,부분기대,노후,,3시간,1 ,생활용수,입력,35.8919152,128.6035066,1099593.905,1766707.667
43,20220528-0020,북부사업소,202205,398 ,"북구 칠성시장로 87-5, 2동 (칠성동2가,칠성고전무용학원) / 403-18번지",지상-사유지,,칠성동2가 403-18 2동,2022-05-28 11:02,,2022-05-28 16:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8816517,128.6006755,1099351.203,1765566.368
44,20220526-0082,북부사업소,202205,392 ,북구 대동로 30 (산격동) / 1266-1번지,지상-사유지,,산격동 1266-1 (주)희성홀딩스,2022-05-26 09:44,,2022-05-26 14:00,급수관,북구,0520,49,사유지,40 ,PFP관,이형관,노후,,,,생활용수,미입력,35.8970889,128.6098921,1100163.715,1767288.057
45,20220524-0006,북부사업소,202205,386 ,북구 산격로14길 46-3 (산격동) / 1306-52번지,지하-공도,자체-주간,산격동 1306-52,2022-05-24 09:06,,2022-05-24 13:00,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,72일,276 ,,입력,35.8957993,128.6102211,1100195.032,1767145.352
46,20220523-0018,북부사업소,202205,378 ,북구 대동로 30 (산격동) / 1266-1번지,지상-사유지,,산격동 1266-1 (주)희성홀딩스,2022-05-23 09:16,,2022-05-23 13:00,급수관,북구,0520,49,사유지,40 ,PFP관,이형관,타공사손괴,건축,,16 ,생활용수,미입력,35.8970889,128.6098921,1100163.715,1767288.057
47,20220522-0139,북부사업소,202207,522 ,북구 구암로42길 11 (구암동) / 467번지,지상-사유지,,구암동 467,2022-07-20 14:09,,2022-07-20 18:00,급수관,북구,0520,46-1,사유지,15 ,스텐레스관,직관,노후,,,,생활용수,미입력,35.9303811,128.5627245,1095866.673,1770933.467
48,20220516-0006,북부사업소,202205,367 ,북구 대학로25길 30 (산격동) / 1311-69번지,지상-공도,,산격동 1311-69,2022-05-16 08:59,,2022-05-16 18:00,배수지관,북구,0520,48,공도,15 ,부분기대,부분기대,노후,,3시간,0 ,생활용수,입력,35.8956077,128.6090721,1100091.575,1767122.923
49,20220429-0545,북부사업소,202204,343 ,북구 대학로13길 51-17 (산격동) / 1246-6번지,지하-사유지,자체-주간,산격동 1246-6,2022-04-29 16:58,,2022-05-03 09:30,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),계량기보호통,노후,,60일,360 ,생활용수,미입력,35.8963365,128.6066673,1099873.622,1767201.3
50,20220426-0031,북부사업소,202204,333 ,북구 대학로9길 86-1 (산격동) / 1241-11번지,지하-공도,용역,산격동 1241-11,2022-04-26 09:44,,2022-04-27 16:30,배수지관,북구,0520,48,공도,15 ,부분기대,부분기대,노후,,58일,348 ,생활용수,입력,35.8979148,128.6077029,1099965.101,1767377.423
51,20220420-0352,북부사업소,202204,311 ,북구 연암공원로8길 20-1 (산격동) / 1102-7번지,미누수,,산격동 1102-7,2022-04-20 16:08,,2022-04-20 17:40,,북구,0520,46-1,,,,,,,,,,미입력,35.8933961,128.5981002,1099104.101,1766866.43
52,20220416-0012,북부사업소,202204,301 ,"북구 산격로8길 35-1 (산격동,화창한약국) / 1313-61번지",지상-사유지,,산격동 1313-61,2022-04-16 10:51,,2022-04-16 13:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.893715,128.6092581,1100110.745,1766913.176
53,20220405-0240,북부사업소,202204,276 ,북구 대구체육관로12길 27 (산격동) / 1433-42번지,지상-사유지,,산격동 1433-42,2022-04-05 14:10,,2022-04-05 18:00,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,미입력,35.8912742,128.6046194,1099695.145,1766637.702
54,20220330-0014,북부사업소,202203,255 ,북구 산격로 82-9 (산격동) / 1231-19번지,지하-사유지,상시누수진단,산격동 1231-19,2022-03-30 08:58,,2022-03-31 11:30,급수관,북구,0520,48,사유지,15 ,PFP관,이형관,노후,,45일,173 ,생활용수,미입력,35.8972362,128.6062609,1099835.814,1767300.678
55,20220303-0055,북부사업소,202203,183 ,북구 연암공원로14길 41 (산격동) / 1226-8번지,지하-공도,용역,산격동 1226-8,2022-03-03 09:23,,2022-03-03 15:00,배수지관,북구,0520,47,공도,15 ,부분기대,부분기대,노후,,31일,260 ,생활용수,입력,35.8964465,128.6045125,1099679.012,1767211.3
56,20220303-0052,북부사업소,202203,182 ,북구 산격로서9길 8-43 (산격동) / 1437-40번지,지하-사유지,용역,산격동 1437-40,2022-03-03 09:22,,2022-03-03 15:00,급수관,북구,0520,24-3,사유지,15 ,기타,기타,노후,,31일,149 ,생활용수,미입력,35.895653,128.601705,1099426.626,1767120.425
