wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099737.92817032989114523 1767433.35189129994250834, 1099734.2230986999347806 1767430.50895346002653241))",SA002,106786,2723063100,35803045,54000,19940119,,1,13,10,,0,0,1.80001E+12,1,,106786,SA006,,101570,B,243,520,P0,0,,,
"MultiLineString ((1099757.91140609001740813 1767407.30898217996582389, 1099754.48799541988410056 1767404.68227273994125426))",SA002,177577,2723063100,35803045,54000,19940119,,1,13,10,,0,0,1.80001E+12,1,,177577,SA006,,110333,B,243,520,P0,0,,,
"MultiLineString ((1099761.46742859994992614 1767469.37326567992568016, 1099762.81875358009710908 1767464.72853067005053163))",SA002,143346,2723063100,35803045,54000,19930929,,1,13,10,,0,0,1.80001E+12,1,,143346,SA006,,149910,B,243,520,P0,0,,,
"MultiLineString ((1099739.48281990992836654 1767431.32493984000757337, 1099742.97432589996606112 1767434.00364957004785538))",SA002,143347,2723063100,35803045,54000,19940119,,1,13,12,,0,0,1.80001E+12,1,,143347,SA006,,55274,B,243,520,P0,0,,,
"MultiLineString ((1099744.75039275991730392 1767424.4613796800840646, 1099740.96038731001317501 1767421.55321298004128039))",SA002,177578,2723063100,35803045,54000,19940119,,1,13,10,,0,0,1.80001E+12,1,,177578,SA006,,101569,B,243,520,P0,0,,,
"MultiLineString ((1099750.75931101990863681 1767798.1257426799274981, 1099749.28192964009940624 1767797.94688220997340977, 1099745.71549991006031632 1767797.51514293998479843, 1099741.26099371002055705 1767796.97588803991675377, 1099737.97719597001560032 1767796.57830312009900808, 1099735.52411823999136686 1767796.28098033997230232))",SA002,192894,2723061000,35803035,54000,19961127,,8,80,18,,0,0,1.80001E+12,1,80-96,192894,SA006,,189965,B,240,520,P0,0,,,
"MultiLineString ((1099691.03274644003249705 1767411.79741565999574959, 1099686.45000212988816202 1767410.98174454993568361))",SA002,177598,2723063100,35803045,54000,19930118,,1,13,10,,0,0,1.80001E+12,1,,177598,SA006,,149914,B,243,520,P0,0,,,
"MultiLineString ((1099715.57420413009822369 1767416.8032908400055021, 1099718.22732141008600593 1767418.86634769989177585))",SA002,4124,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,4124,SA006,,196643,B,243,520,P0,0,,,
"MultiLineString ((1099748.61970976996235549 1767465.1555948699824512, 1099749.91889319010078907 1767460.60278857010416687))",SA002,106785,2723063100,35803045,54000,19930929,,1,13,8,,0,0,1.80001E+12,1,,106785,SA006,,88252,B,243,520,P0,0,,,
"MultiLineString ((1099708.53356731007806957 1767425.85642307996749878, 1099711.10462798993103206 1767427.85519362008199096))",SA002,38216,2723063100,35803045,54000,19880710,,1,13,8,,0,0,1.80001E+12,1,,38216,SA006,,48005,B,243,520,P0,0,,,
