FTR_IDN,lithoidx,lithoname,K_SOIL
308929,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308930,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308932,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308935,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308936,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308937,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308955,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308956,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308957,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308958,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308959,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308960,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308961,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308962,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310508,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310513,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310731,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310733,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310734,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310736,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
310737,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
313835,Km6,하양층군함안층,1.0
316639,Km6,하양층군함안층,1.0
316651,Km6,하양층군함안층,1.0
316652,Km6,하양층군함안층,1.0
316654,Km6,하양층군함안층,1.0
316656,Km6,하양층군함안층,1.0
316859,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
319483,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324619,Km6,하양층군함안층,1.0
324620,Km6,하양층군함안층,1.0
324622,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324623,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324624,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324625,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324765,Km6,하양층군함안층,1.0
324766,Km6,하양층군함안층,1.0
324767,Km6,하양층군함안층,1.0
324768,Km6,하양층군함안층,1.0
324769,Km6,하양층군함안층,1.0
324770,Km6,하양층군함안층,1.0
324771,Km6,하양층군함안층,1.0
324772,Km6,하양층군함안층,1.0
324775,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324776,Km6,하양층군함안층,1.0
324777,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324778,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324779,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324780,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324782,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324783,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324785,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324786,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
