DATA_SRC,zone,FTR_IDN,FTR_CDE,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,design_pressure,thickness,K_material,fatigue_limit,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_repair,K_total,low_total_cycles,high_total_cycles,low_fatigue_damage,high_fatigue_damage,D_base,D_final_org,D_final,remaining_life_years
PIPE_LM,0490,245336,SA001,2723063000,35803045,54000,4,100,2.71,,0,0,20099005354.0,1,100-DTC-09,IQT903,245336,SA005,,,B,490,520,P0,1.0,SS00201,DTC,2009-05-25,2009-05-25,2009-05-25,6050.0,16.56399726214921,1.0,6.0,1.0,1000000,1.0,1.3312799452429842,1.0,1.6,1.05,8.333333333333334,2.466666666666667,0.1369,13.069356276522932,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0271794614182067,0.0643881440997317,14.530809498889823
PIPE_LM,0490,3673,SA001,2723063000,35803045,54000,13,25,14.28,,0,0,20119006912.0,1,25-STS-89,IQT903,3673,SA005,,,B,490,520,P0,0.8,SS00201,STS,1989-01-01,1989-01-01,1989-01-01,13499.0,36.95824777549623,2.0,2.8,0.7,1000000,0.9306852819440056,1.739164955509925,1.0,1.0,1.05,8.928571428571429,1.692857142857143,0.0782,3.5888802771434096,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0099220858683437,0.0176811570173885,55.55738473543035
PIPE_LM,0490,245200,SA001,2723063000,35803045,54000,13,25,14.24,,0,0,20119006912.0,1,25-STS-90,IQT903,245200,SA005,,,B,490,520,P0,0.8,SS00201,STS,1990-01-01,1990-01-01,1990-01-01,13134.0,35.95893223819302,2.0,2.8,0.7,1000000,0.9306852819440056,1.7191786447638604,1.0,1.2,1.05,8.928571428571429,1.692857142857143,0.2027,7.231446377438733,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0117696746929,0.0356268052954085,27.068753055690813
PIPE_LM,0490,106330,SA001,2723063000,35803045,54000,13,20,12.97,,0,0,20119006912.0,1,20-STS-88,IQT903,106330,SA005,,,B,490,520,P0,0.8,SS00201,STS,1988-01-01,1988-01-01,1988-01-01,13865.0,37.960301163586585,2.0,2.1,0.7,1000000,0.919528104378295,1.7592060232717317,1.0,1.0,1.05,9.523809523809524,1.7523809523809524,0.6679,15.999346403060091,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0102647714489693,0.078823179956636,11.686623408877216
PIPE_LM,0490,245203,SA001,2723063000,35803045,54000,10,40,17.27,,0,0,20119006912.0,1,40-PFP-90,IQT903,245203,SA005,,,B,490,520,P0,0.8,SS00201,PFP,1990-01-01,1990-01-01,1990-01-01,13134.0,35.95893223819302,1.6,3.25,0.6,1000000,0.9541854634062924,1.7191786447638604,1.0,1.0,1.05,9.846153846153848,2.0307692307692307,0.3561,9.5722713230675,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0103396690449003,0.0471592305137905,20.20475650482837
PIPE_LM,0490,245303,SA001,2723063000,35803045,54000,13,25,13.88,,0,0,20119006912.0,1,25-STS-92,IQT903,245303,SA005,,,B,490,520,P0,0.8,SS00201,STS,1992-01-01,1992-01-01,1992-01-01,12404.0,33.960301163586585,2.0,2.8,0.7,1000000,0.9306852819440056,1.679206023271732,1.0,1.6,1.05,8.928571428571429,1.692857142857143,0.0356,4.218850645849164,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0153280239929002,0.0207848005343727,47.11208066905688
PIPE_LM,0490,442731,SA001,2723063000,35803045,54000,10,80,31.92,,0,0,20119006912.0,1,80-PFP-95,IQT903,442731,SA005,,,B,490,520,P0,1.0,SS00201,PFP,1995-01-01,1995-01-01,1995-01-01,11308.0,30.9596167008898,1.6,4.5,0.6,1000000,0.9888428224342896,1.619192334017796,1.0,1.0,1.05,14.22222222222222,2.577777777777777,0.184,7.384652602003394,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0128104220921338,0.03638159874166,26.486422658356545
PIPE_LM,0490,442730,SA001,2723063000,35803045,54000,18,80,3.0,,0,0,20159006774.0,1,80-DTEP-15,IQT903,442730,SA005,,,B,490,520,P0,1.0,SS00201,DTEP,2015-05-08,2015-05-08,2015-05-08,3876.0,10.611909650924025,1.6,6.0,1.0,1000000,0.9888428224342896,1.2122381930184805,1.0,1.0,1.05,10.666666666666666,2.1333333333333333,0.236,9.0219937960097,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0132286326592592,0.0444482057351112,21.498096007732997
PIPE_LM,0490,443322,SA001,2723063000,35803045,54000,13,25,7.58,,0,0,20119006912.0,1,25-STS-90,IQT903,443322,SA005,,,B,490,520,P0,0.8,SS00201,STS,1990-01-01,1990-01-01,1990-01-01,13134.0,35.95893223819302,2.0,2.8,0.7,1000000,0.9306852819440056,1.7191786447638604,1.0,1.0,1.05,8.928571428571429,1.692857142857143,0.5822,13.58135865733043,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0098080622440834,0.0669106006291369,13.945314951552517
PIPE_LM,0490,443629,SA001,2723063000,35803045,54000,13,25,5.59,,0,0,20159007679.0,1,25-STS-15,IQT903,443629,SA005,,,B,490,520,P0,0.8,SS00201,STS,2015-07-23,2015-07-23,2015-07-23,3800.0,10.403832991101986,2.0,2.8,0.7,1000000,0.9306852819440056,1.2080766598220398,1.0,1.0,1.05,8.928571428571429,1.692857142857143,0.4129,7.175260753246085,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0068921813979293,0.0353499983899798,27.288544428433585
